date,locality,site,bar,station,tran_length,elev_m
5/25/2010,HB,I,3,HBI3,22.5,-0.152
5/25/2010,HB,I,3,HBI3,20,-0.002
5/25/2010,HB,I,3,HBI3,2.5,-0.572
5/25/2010,HB,I,3,HBI3,12.5,0.063
5/25/2010,HB,I,3,HBI3,5,-0.352
5/25/2010,HB,I,3,HBI3,25,-0.472
5/25/2010,HB,I,3,HBI3,15,0.098
5/25/2010,HB,I,3,HBI3,10,0.048
5/25/2010,HB,I,3,HBI3,7.5,-0.162
5/25/2010,HB,I,4,HBI4,2.5,
5/25/2010,HB,I,4,HBI4,5,
5/25/2010,HB,I,4,HBI4,7.5,
5/25/2010,HB,I,4,HBI4,10,
5/25/2010,HB,I,4,HBI4,12.5,
5/25/2010,HB,I,4,HBI4,15,
5/25/2010,HB,I,4,HBI4,17.5,
5/25/2010,HB,N,1,HBN1,12.5,-0.45
5/25/2010,HB,N,1,HBN1,2.5,-0.565
5/25/2010,HB,N,1,HBN1,5,-0.46
5/25/2010,HB,N,1,HBN1,18.1,-0.6
5/25/2010,HB,N,1,HBN1,7.5,-0.48
5/25/2010,HB,N,1,HBN1,15,-0.58
5/25/2010,HB,N,1,HBN1,10,-0.445
5/25/2010,HB,N,2,HBN2,5,-0.591
5/25/2010,HB,N,2,HBN2,20,-0.436
5/25/2010,HB,N,2,HBN2,17.5,-0.496
5/25/2010,HB,N,2,HBN2,2.5,-0.626
5/25/2010,HB,N,2,HBN2,23.3,-0.441
5/25/2010,HB,N,2,HBN2,15,-0.496
5/25/2010,HB,N,2,HBN2,10,-0.551
5/25/2010,HB,N,2,HBN2,7.5,-0.566
5/25/2010,HB,N,2,HBN2,12.5,-0.536
5/25/2010,HB,N,3,HBN3,16.5,-0.661
5/25/2010,HB,N,3,HBN3,7.5,-0.511
5/25/2010,HB,N,3,HBN3,15,-0.661
5/25/2010,HB,N,3,HBN3,12.5,-0.551
5/25/2010,HB,N,3,HBN3,5,-0.576
5/25/2010,HB,N,3,HBN3,10,-0.491
5/25/2010,HB,N,3,HBN3,2.5,-0.711
