,date,locality,site,bar,station,tran_length,elev_m
21,5/24/2010,CR,N,3,CRN3,17.5,0.192
22,5/24/2010,CR,N,3,CRN3,20,0.172
25,5/24/2010,CR,N,3,CRN3,22.5,0.092
31,5/24/2010,CR,N,3,CRN3,25,0.042
32,5/24/2010,CR,N,3,CRN3,27.5,-0.018
27,5/24/2010,CR,N,3,CRN3,30,-0.368
26,5/24/2010,CR,N,3,CRN3,32.5,-0.468
23,5/24/2010,CR,N,3,CRN3,35,-0.608
53,5/24/2010,CR,O,1,CRO1,2.5,-0.342
51,5/24/2010,CR,O,1,CRO1,5,-0.077
52,5/24/2010,CR,O,1,CRO1,7.5,0.098
50,5/24/2010,CR,O,1,CRO1,10,0.248
44,5/24/2010,CR,O,1,CRO1,12.5,0.308
46,5/24/2010,CR,O,1,CRO1,15,0.388
43,5/24/2010,CR,O,1,CRO1,17.5,0.348
34,5/24/2010,CR,O,1,CRO1,20,0.268
35,5/24/2010,CR,O,1,CRO1,22.5,0.233
36,5/24/2010,CR,O,1,CRO1,25,0.168
37,5/24/2010,CR,O,1,CRO1,27.5,0.148
38,5/24/2010,CR,O,1,CRO1,30,0.128
39,5/24/2010,CR,O,1,CRO1,32.5,0.098
45,5/24/2010,CR,O,1,CRO1,35,0.048
40,5/24/2010,CR,O,1,CRO1,37.5,0.038
47,5/24/2010,CR,O,1,CRO1,40,-0.002
48,5/24/2010,CR,O,1,CRO1,42.5,-0.002
49,5/24/2010,CR,O,1,CRO1,45,-0.057
41,5/24/2010,CR,O,1,CRO1,47.5,-0.102
42,5/24/2010,CR,O,1,CRO1,50,-0.162
55,5/24/2010,CR,O,2,CRO2,2.5,-0.127
56,5/24/2010,CR,O,2,CRO2,5,0.083
54,5/24/2010,CR,O,2,CRO2,7.5,0.193
61,5/24/2010,CR,O,2,CRO2,10,0.098
65,5/24/2010,CR,O,2,CRO2,12.5,0.083
59,5/24/2010,CR,O,2,CRO2,15,0.078
62,5/24/2010,CR,O,2,CRO2,17.5,0.068
67,5/24/2010,CR,O,2,CRO2,20,0.043
66,5/24/2010,CR,O,2,CRO2,22.5,0.003
63,5/24/2010,CR,O,2,CRO2,25,-0.217
84,5/24/2010,CR,O,3,CRO3,2.5,-0.493
73,5/24/2010,CR,O,3,CRO3,5,-0.098
