"","station","month_num","year","side","cnt"
"140","WQ7","11",2018,"SIDE",0
"141","WQ7","11",2018,"BOTTOM",0
"142","WQ8","11",2018,"TOP",0
"143","WQ8","11",2018,"SIDE",0
"144","WQ8","11",2018,"BOTTOM",0
"145","WQ9","11",2018,"TOP",0
"146","WQ9","11",2018,"SIDE",0
"147","WQ9","11",2018,"BOTTOM",0
"148","WQ1","12",2018,"TOP",0
"149","WQ1","12",2018,"SIDE",0
"150","WQ1","12",2018,"BOTTOM",0
"151","WQ2","12",2018,"TOP",0
"152","WQ2","12",2018,"SIDE",0
"153","WQ2","12",2018,"BOTTOM",0
"154","WQ3","12",2018,"TOP",0
"155","WQ3","12",2018,"SIDE",0
"156","WQ3","12",2018,"BOTTOM",0
"157","WQ4","12",2018,"TOP",0
"158","WQ4","12",2018,"SIDE",0
"159","WQ4","12",2018,"BOTTOM",0
"160","WQ5","12",2018,"TOP",0
"161","WQ5","12",2018,"SIDE",0
"162","WQ5","12",2018,"BOTTOM",0
"163","WQ6","12",2018,"TOP",0
"164","WQ6","12",2018,"SIDE",0
"165","WQ6","12",2018,"BOTTOM",0
"166","WQ7","12",2018,"TOP",0
"167","WQ7","12",2018,"SIDE",0
"168","WQ7","12",2018,"BOTTOM",0
"169","WQ8","12",2018,"TOP",0
"170","WQ8","12",2018,"SIDE",0
"171","WQ8","12",2018,"BOTTOM",0
"172","WQ9","12",2018,"TOP",0
"173","WQ9","12",2018,"SIDE",0
"174","WQ9","12",2018,"BOTTOM",0
"175","WQ1","1",2019,"TOP",0
"176","WQ1","1",2019,"BOTTOM",0
"177","WQ1","1",2019,"SIDE",0
"178","WQ2","1",2019,"TOP",0
"179","WQ2","1",2019,"BOTTOM",0
"180","WQ2","1",2019,"SIDE",0
"181","WQ3","1",2019,"TOP",0
"182","WQ3","1",2019,"BOTTOM",0
"183","WQ3","1",2019,"SIDE",0
"184","WQ4","1",2019,"TOP",0
"185","WQ4","1",2019,"BOTTOM",0
"186","WQ4","1",2019,"SIDE",0
"187","WQ5","1",2019,"TOP",0
"188","WQ5","1",2019,"BOTTOM",0
"189","WQ5","1",2019,"SIDE",0
"190","WQ6","1",2019,"TOP",0
"191","WQ6","1",2019,"BOTTOM",0
"192","WQ6","1",2019,"SIDE",0
"193","WQ7","1",2019,"TOP",0
"194","WQ7","1",2019,"BOTTOM",0
"195","WQ7","1",2019,"SIDE",0
"196","WQ8","1",2019,"TOP",0
"197","WQ8","1",2019,"BOTTOM",0
"198","WQ8","1",2019,"SIDE",0
"199","WQ9","1",2019,"TOP",0
"200","WQ9","1",2019,"BOTTOM",0
"201","WQ9","1",2019,"SIDE",0
"202","WQ1","2",2019,"TOP",0
"203","WQ1","2",2019,"BOTTOM",0
"204","WQ1","2",2019,"SIDE",0
"205","WQ2","2",2019,"TOP",0
"206","WQ2","2",2019,"BOTTOM",0
"207","WQ2","2",2019,"SIDE",0
"208","WQ3","2",2019,"TOP",0
"209","WQ3","2",2019,"BOTTOM",0
"210","WQ3","2",2019,"SIDE",0
"211","WQ4","2",2019,"TOP",0
"212","WQ4","2",2019,"BOTTOM",0
"213","WQ4","2",2019,"SIDE",0
"214","WQ5","2",2019,"TOP",0
"215","WQ5","2",2019,"BOTTOM",0
"216","WQ5","2",2019,"SIDE",0
"217","WQ6","2",2019,"TOP",0
"218","WQ6","2",2019,"BOTTOM",0
"219","WQ6","2",2019,"SIDE",0
"220","WQ7","2",2019,"TOP",0
"221","WQ7","2",2019,"BOTTOM",0
"222","WQ7","2",2019,"SIDE",0
"223","WQ8","2",2019,"TOP",0
"224","WQ8","2",2019,"BOTTOM",0
"225","WQ8","2",2019,"SIDE",0
"226","WQ9","2",2019,"TOP",0
"227","WQ9","2",2019,"BOTTOM",0
"228","WQ9","2",2019,"SIDE",0
"229","WQ1","3",2019,"TOP",0
