"","year","month_num","size_mean","size_std.error"
"1","2018","6",7.3,1.19670600531538
"2","2018","7",8.61538461538461,1.41211998082199
"3","2018","8",5.06666666666667,1.32545290253007
"4","2018","9",6.32432432432432,0.562936922807646
"5","2018","10",2.83333333333333,0.477260702109212
"6","2018","11",2.66666666666667,0.666666666666667
"7","2019","4",3.68,0.221509969677815
"8","2019","5",7.23611111111111,0.461122777347377
"9","2019","6",5.96,0.584465567848098
"10","2019","7",6.96774193548387,0.909311296718143
"11","2019","8",3.91428571428571,0.276142176787104
"12","2019","9",4,0.298142396999972
"13","2019","10",5.83333333333333,0.703167436990966
"14","2019","11",2.81818181818182,0.263479577203444
