"","station","month_num","year","total","type","rel_total"
"1","WQ1","1","2019",0,"TILE",0
"2","WQ1","2","2019",0,"TILE",0
"3","WQ1","3","2019",0,"TILE",0
"4","WQ1","4","2019",0,"TILE",0
"5","WQ1","5","2019",326,"TILE",0.33130081300813
"6","WQ1","6","2018",0,"TILE",0
"7","WQ1","6","2019",11,"TILE",0.0738255033557047
"8","WQ1","7","2019",15,"TILE",0.129310344827586
"9","WQ1","8","2018",0,"TILE",0
"10","WQ1","8","2019",103,"TILE",0.585227272727273
"11","WQ1","9","2018",0,"TILE",0
"12","WQ1","9","2019",7,"TILE",0.777777777777778
"13","WQ1","10","2018",0,"TILE",0
"14","WQ1","11","2018",0,"TILE",0
"15","WQ1","12","2018",0,"TILE",0
"16","WQ10","3","2019",0,"TILE",0
"17","WQ10","4","2019",28,"TILE",0.311111111111111
"18","WQ10","5","2019",197,"TILE",0.20020325203252
"19","WQ10","6","2019",81,"TILE",0.543624161073825
"20","WQ10","7","2019",10,"TILE",0.0862068965517241
"21","WQ10","8","2019",56,"TILE",0.318181818181818
"22","WQ10","9","2019",0,"TILE",0
"23","WQ2","1","2019",0,"TILE",0
"24","WQ2","2","2019",0,"TILE",0
"25","WQ2","3","2019",0,"TILE",0
"26","WQ2","4","2019",11,"TILE",0.122222222222222
"27","WQ2","5","2019",174,"TILE",0.176829268292683
"28","WQ2","6","2018",1151,"TILE",0.913492063492063
"29","WQ2","6","2019",0,"TILE",0
"30","WQ2","7","2019",18,"TILE",0.155172413793103
"31","WQ2","8","2019",4,"TILE",0.0227272727272727
"32","WQ2","9","2018",38,"TILE",0.2375
"33","WQ2","9","2019",0,"TILE",0
"34","WQ2","10","2018",0,"TILE",0
"35","WQ2","11","2018",0,"TILE",0
"36","WQ2","12","2018",0,"TILE",0
"37","WQ3","1","2019",0,"TILE",0
"38","WQ3","2","2019",0,"TILE",0
"39","WQ3","3","2019",0,"TILE",0
"40","WQ3","4","2019",8,"TILE",0.0888888888888889
"41","WQ3","5","2019",100,"TILE",0.101626016260163
"42","WQ3","6","2018",1260,"TILE",1
"43","WQ3","6","2019",0,"TILE",0
"44","WQ3","7","2018",4,"TILE",0.00852878464818763
"45","WQ3","7","2019",13,"TILE",0.112068965517241
"46","WQ3","8","2018",38,"TILE",0.644067796610169
"47","WQ3","8","2019",7,"TILE",0.0397727272727273
"48","WQ3","9","2018",12,"TILE",0.075
"49","WQ3","9","2019",0,"TILE",0
"50","WQ3","10","2018",0,"TILE",0
"51","WQ3","11","2018",3,"TILE",1
"52","WQ3","12","2018",0,"TILE",0
"53","WQ4","1","2019",0,"TILE",0
"54","WQ4","2","2019",0,"TILE",0
"55","WQ4","3","2019",0,"TILE",0
"56","WQ4","4","2019",0,"TILE",0
"57","WQ4","5","2019",68,"TILE",0.0691056910569106
"58","WQ4","6","2018",199,"TILE",0.157936507936508
"59","WQ4","6","2019",1,"TILE",0.00671140939597315
"60","WQ4","7","2018",0,"TILE",0
"61","WQ4","7","2019",0,"TILE",0
"62","WQ4","8","2019",0,"TILE",0
"63","WQ4","9","2018",46,"TILE",0.2875
"64","WQ4","9","2019",0,"TILE",0
"65","WQ4","11","2018",0,"TILE",0
"66","WQ4","12","2018",0,"TILE",0
"67","WQ5","1","2019",0,"TILE",0
"68","WQ5","2","2019",0,"TILE",0
"69","WQ5","3","2019",0,"TILE",0
"70","WQ5","4","2019",0,"TILE",0
