BTI5-2-17,298450.4670000,3239854.979,-0.868,
DUNN,367518.7090000,3217689.098,21.316,DG4689
LCIGCP1,298749.1990000,3236461.925,-0.162,
LCIGCP2,299370.1720000,3236550.04,-0.003,
LCIGCP3,298939.2270000,3236827.125,0.187,
LCIGCP4,299418.4690000,3237020.079,-0.104,
LCIGCP5,299174.7020000,3236588.063,0.003,
LTGCP1,298834.4980000,3239278.659,-0.061,
LTGCP2,299066.1420000,3239516.287,-0.369,
LTGCP3,298949.4870000,3239186.128,-0.246,
LTGCP4,298988.2090000,3239400.421,-0.295,
LTGCP5,298829.8550000,3239108.236,-0.078,
LTI1-0,298700.6020000,3239247.128,-1.077,
LTI1-1,298701.8930000,3239244.91,-1.012,
LTI1-2,298703.2900000,3239242.807,-0.951,
LTI1-3,298704.6740000,3239240.661,-0.974,
LTI1-4,298706.0540000,3239238.54,-0.999,
LTI1-5,298707.4600000,3239236.465,-0.924,
LTI1-6,298708.8400000,3239234.38,-0.951,
LTI1-7,298710.3350000,3239232.395,-0.987,
LTI1-8,298711.7810000,3239230.338,-0.987,
LTI1-9,298713.3230000,3239228.206,-0.922,
LTI1-10,298714.8620000,3239226.024,-1.075,
LTI1-11,298716.4710000,3239224.064,-1.13,
LTI1-12,298717.5010000,3239222.529,-1.154,
LTI2-0,298799.2360000,3239144.506,-1.085,
LTI2-1,298801.1210000,3239142.987,-1.06,
LTI2-2,298803.1300000,3239141.572,-1.012,
LTI2-3,298805.1660000,3239140.095,-1.029,
LTI2-4,298807.2650000,3239138.773,-0.938,
LTI2-5,298809.3790000,3239137.406,-0.995,
LTI2-6,298811.5290000,3239136.188,-0.96,
LTI2-7,298813.6840000,3239134.824,-0.991,
LTI2-8,298815.8180000,3239133.486,-1.007,
LTI2-9,298818.1240000,3239132.125,-0.99,
LTI3-0,298915.9410000,3239233.901,-0.42,
LTI3-1,298915.8390000,3239231.423,-0.4,
LTI3-2,298915.4700000,3239228.983,-0.32,
LTI3-3,298915.2050000,3239226.502,-0.401,
LTI3-4,298914.8680000,3239224.068,-0.502,
LTI3-5,298914.5380000,3239221.582,-0.494,
LTI3-6,298914.4120000,3239219.129,-0.506,
LTI3-7,298914.1870000,3239216.631,-0.401,
LTI3-8,298914.0330000,3239214.172,-0.529,
LTI3-9,298913.8860000,3239211.672,-0.245,
LTI3-10,298913.8200000,3239209.191,-0.196,
LTI3-11,298913.7570000,3239206.675,-0.37,
LTI3-12,298913.5550000,3239204.208,-0.69,
LTI3-13,298913.6230000,3239201.745,-0.736,
LTI3-14,298913.7980000,3239199.257,-0.754,
LTI3-15,298914.0330000,3239196.786,-0.857,
LTI3-16,298914.0830000,3239196.108,-0.776,
LTI4-0,298873.0040000,3239371.039,-0.93,
LTI4-1,298872.8050000,3239368.524,-0.623,
LTI4-2,298872.5130000,3239366.069,-0.508,
LTI4-3,298872.2070000,3239363.622,-0.458,
LTI4-4,298871.9220000,3239361.127,-0.502,
LTI4-5,298871.7520000,3239358.654,-0.445,
LTI4-6,298871.7300000,3239356.192,-0.463,
LTI4-7,298871.6120000,3239353.683,-0.491,
LTI4-8,298871.4970000,3239351.195,-0.434,
LTI4-9,298871.2900000,3239348.709,-0.518,
LTI4-10,298871.3270000,3239346.234,-0.532,
LTI4-11,298871.4850000,3239343.732,-0.547,
LTI4-12,298871.4770000,3239341.249,-0.672,
LTI4-13,298871.5630000,3239338.798,-0.98,
LTI4-14,298871.7760000,3239336.192,-1.106,
LTI5-1-0,298794.3180000,3239348.751,-0.861,
LTI5-1-1,298796.8110000,3239348.682,-0.797,
LTI5-1-2,298796.7950000,3239348.567,-0.742,
LTI5-1-3,298799.2650000,3239348.397,-0.59,
LTI5-1-4,298801.7940000,3239348.352,-0.481,
LTI5-1-5,298806.7400000,3239348.089,-0.773,
LTI5-1-6,298809.2070000,3239348.14,-0.918,
