"","field_pt","date","year","month","day","locality","site","bar","station","transect","tran_length","easting","northing","elev_m","collector","type","gear","neg_e_abs","elev_cat"
"30","BTI2-1-8","1/8/2019",2019,1,8,"BT","I","2","BTI2",1,20,297604.565,3239500.568,-0.559,"UF","REEF","TRIMBLE_5800_RTK",0.559,-0.5
"31","BTI2-1-9","1/8/2019",2019,1,8,"BT","I","2","BTI2",1,20.9,297604.779,3239499.527,-0.593,"UF","REEF","TRIMBLE_5800_RTK",0.593,-0.5
"32","BTI2-2-0","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,0,297608.808,3239488.544,-0.791,"UF","REEF","TRIMBLE_5800_RTK",0.791,-0.7
"33","BTI2-2-1","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,2.5,297611.261,3239488.84,-0.7,"UF","REEF","TRIMBLE_5800_RTK",0.7,-0.7
"34","BTI2-2-2","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,5,297613.723,3239488.898,-0.563,"UF","REEF","TRIMBLE_5800_RTK",0.563,-0.5
"35","BTI2-2-3","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,7.5,297616.2,3239489.061,-0.307,"UF","REEF","TRIMBLE_5800_RTK",0.307,-0.3
"36","BTI2-2-4","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,10,297618.643,3239489.189,-0.299,"UF","REEF","TRIMBLE_5800_RTK",0.299,-0.2
"37","BTI2-2-5","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,12.5,297621.195,3239489.341,-0.43,"UF","REEF","TRIMBLE_5800_RTK",0.43,-0.4
"38","BTI2-2-6","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,15,297623.651,3239489.502,-0.504,"UF","REEF","TRIMBLE_5800_RTK",0.504,-0.5
"39","BTI2-2-7","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,17.5,297626.141,3239489.638,-0.704,"UF","REEF","TRIMBLE_5800_RTK",0.704,-0.7
"40","BTI2-2-8","1/8/2019",2019,1,8,"BT","I","2","BTI2",2,17.75,297626.814,3239489.646,-0.747,"UF","REEF","TRIMBLE_5800_RTK",0.747,-0.7
"41","BTI3-1-0","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,0,297639.663,3239404.368,-0.786,"UF","REEF","TRIMBLE_5800_RTK",0.786,-0.7
"42","BTI3-1-1","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,2.5,297639.581,3239401.875,-0.629,"UF","REEF","TRIMBLE_5800_RTK",0.629,-0.6
"43","BTI3-1-2","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,5,297639.69,3239399.347,-0.656,"UF","REEF","TRIMBLE_5800_RTK",0.656,-0.6
"44","BTI3-1-3","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,7.5,297639.671,3239396.847,-0.566,"UF","REEF","TRIMBLE_5800_RTK",0.566,-0.5
"45","BTI3-1-4","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,10,297639.621,3239394.36,-0.54,"UF","REEF","TRIMBLE_5800_RTK",0.54,-0.5
"46","BTI3-1-5","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,12.5,297639.597,3239391.863,-0.526,"UF","REEF","TRIMBLE_5800_RTK",0.526,-0.5
"47","BTI3-1-6","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,15,297639.56,3239389.374,-0.395,"UF","REEF","TRIMBLE_5800_RTK",0.395,-0.3
"48","BTI3-1-7","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,17.5,297639.524,3239386.877,-0.614,"UF","REEF","TRIMBLE_5800_RTK",0.614,-0.6
"49","BTI3-1-8","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,20,297639.477,3239384.393,-0.712,"UF","REEF","TRIMBLE_5800_RTK",0.712,-0.7
"50","BTI3-1-9","1/8/2019",2019,1,8,"BT","I","3","BTI3",1,20.2,297639.36,3239384.031,-0.761,"UF","REEF","TRIMBLE_5800_RTK",0.761,-0.7
"51","BTI3-2-0","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,0,297700.593,3239364.972,-0.756,"UF","REEF","TRIMBLE_5800_RTK",0.756,-0.7
"52","BTI3-2-1","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,2.5,297703.142,3239364.927,-0.662,"UF","REEF","TRIMBLE_5800_RTK",0.662,-0.6
"53","BTI3-2-2","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,5,297705.628,3239364.737,-0.616,"UF","REEF","TRIMBLE_5800_RTK",0.616,-0.6
"54","BTI3-2-3","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,7.5,297708.108,3239364.56,-0.417,"UF","REEF","TRIMBLE_5800_RTK",0.417,-0.4
"55","BTI3-2-4","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,10,297710.626,3239364.451,-0.694,"UF","REEF","TRIMBLE_5800_RTK",0.694,-0.6
"56","BTI3-2-5","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,12.5,297713.101,3239364.262,-0.668,"UF","REEF","TRIMBLE_5800_RTK",0.668,-0.6
"57","BTI3-2-6","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,15,297715.583,3239364.084,-0.793,"UF","REEF","TRIMBLE_5800_RTK",0.793,-0.7
"58","BTI3-2-7","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,17.5,297718.096,3239363.957,-0.925,"UF","REEF","TRIMBLE_5800_RTK",0.925,-0.9
"59","BTI3-2-8","1/8/2019",2019,1,8,"BT","I","3","BTI3",2,19.7,297720.515,3239363.804,-0.776,"UF","REEF","TRIMBLE_5800_RTK",0.776,-0.7
"60","BTI4-2-0","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,0,297493.513,3239006.63,-1.024,"UF","REEF","TRIMBLE_5800_RTK",1.024,-1
"61","BTI4-2-1","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,2.5,297496.073,3239006.719,-0.979,"UF","REEF","TRIMBLE_5800_RTK",0.979,-0.9
"62","BTI4-2-2","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,5,297498.555,3239006.597,-0.9,"UF","REEF","TRIMBLE_5800_RTK",0.9,-0.9
"63","BTI4-2-3","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,7.5,297501.108,3239006.38,-0.931,"UF","REEF","TRIMBLE_5800_RTK",0.931,-0.9
"64","BTI4-2-4","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,10,297503.568,3239006.024,-0.877,"UF","REEF","TRIMBLE_5800_RTK",0.877,-0.8
"65","BTI4-2-5","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,12.5,297505.984,3239005.685,-0.876,"UF","REEF","TRIMBLE_5800_RTK",0.876,-0.8
"66","BTI4-2-6","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,15,297508.51,3239005.469,-0.867,"UF","REEF","TRIMBLE_5800_RTK",0.867,-0.8
"67","BTI4-2-7","1/8/2019",2019,1,8,"BT","I","4","BTI4",2,17.5,297510.964,3239005.389,-0.935,"UF","REEF","TRIMBLE_5800_RTK",0.935,-0.9
