"","field_pt","date","year","month","day","locality","site","bar","station","transect","tran_length","easting","northing","elev_m","collector","type","gear","neg_e_abs","elev_cat"
"1461","1959","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295366.9687,3238136.438,-0.5900928,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5900928,-0.5
"1462","1960","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295367.622,3238136.866,-0.9970008,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.9970008,-0.9
"1463","1961","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295382.1883,3238120.883,-0.9491472,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.9491472,-0.9
"1464","1962","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295382.0028,3238120.681,-0.5858256,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5858256,-0.5
"1465","1963","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295381.4782,3238120.117,-0.5873496,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5873496,-0.5
"1466","1964","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295381.2056,3238119.892,-0.5672328,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5672328,-0.5
"1467","1965","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295380.6634,3238119.533,-0.534924,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.534924,-0.5
"1468","1966","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295380.454,3238119.32,-0.5529072,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5529072,-0.5
"1469","1967","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295379.7907,3238118.899,-0.4636008,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4636008,-0.4
"1470","1968","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295379.4125,3238118.653,-0.4050792,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4050792,-0.4
"1471","1969","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295378.9514,3238118.241,-0.4157472,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4157472,-0.4
"1472","1970","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295378.6865,3238117.771,-0.4989576,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4989576,-0.4
"1473","1971","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295378.1982,3238117.342,-0.4696968,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4696968,-0.4
"1474","1972","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295377.6453,3238116.998,-0.4977384,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4977384,-0.4
"1475","1973","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295377.3283,3238116.422,-0.5004816,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5004816,-0.5
"1476","1974","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295376.898,3238115.761,-0.4712208,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4712208,-0.4
"1477","1975","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295376.5527,3238115.16,-0.4553712,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4553712,-0.4
"1478","1976","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295376.2121,3238114.718,-0.5266944,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5266944,-0.5
"1479","1977","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295375.5612,3238114.316,-0.854964,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.854964,-0.8
"1480","1978","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295379.3174,3238110.187,-0.8165592,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.8165592,-0.8
"1481","1979","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295379.6627,3238110.615,-0.463296,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.463296,-0.4
"1482","1980","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295380.5311,3238111.111,-0.4684776,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4684776,-0.4
"1483","1981","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295380.9732,3238111.403,-0.4681728,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4681728,-0.4
"1484","1982","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295381.4909,3238111.747,-0.5849112,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5849112,-0.5
"1485","1983","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295382.0502,3238112.242,-0.496824,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.496824,-0.4
"1486","1984","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295382.7177,3238112.763,-0.5248656,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5248656,-0.5
"1487","1985","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295382.9515,3238112.913,-0.3828288,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.3828288,-0.3
"1488","1986","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295383.8104,3238113.216,-0.4401312,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4401312,-0.4
"1489","1987","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295384.2661,3238113.608,-0.4538472,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4538472,-0.4
"1490","1988","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295384.9902,3238114.27,-0.4349496,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4349496,-0.4
"1491","1989","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295385.4451,3238114.529,-0.560832,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.560832,-0.5
"1492","1990","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295386.018,3238114.867,-0.50292,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.50292,-0.5
"1493","1991","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295386.7178,3238115.074,-0.576072,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.576072,-0.5
"1494","1992","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295387.0886,3238115.345,-0.844296,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.844296,-0.8
"1495","1993","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295388.3703,3238113.764,-0.8104632,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.8104632,-0.8
"1496","1994","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295387.988,3238113.542,-0.475488,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.475488,-0.4
"1497","1995","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295387.597,3238113.263,-0.4703064,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4703064,-0.4
"1498","1996","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295387.0576,3238112.959,-0.463296,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.463296,-0.4
"1499","1997","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295386.5325,3238112.722,-0.408432,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.408432,-0.4
"1500","1998","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295385.9558,3238112.296,-0.4916424,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4916424,-0.4
"1501","1999","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295385.105,3238111.581,-0.5483352,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5483352,-0.5
"1502","2000","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295384.3055,3238111.333,-0.429768,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.429768,-0.4
"1503","2001","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295384.1272,3238110.553,-0.5452872,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5452872,-0.5
"1504","2002","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295383.7593,3238110.091,-0.4142232,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4142232,-0.4
"1505","2003","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295382.904,3238109.664,-0.4913376,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4913376,-0.4
"1506","2004","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295382.2983,3238109.307,-0.5324856,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5324856,-0.5
"1507","2005","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295381.6924,3238109.07,-0.536448,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.536448,-0.5
"1508","2006","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295380.7613,3238108.547,-0.7921752,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.7921752,-0.7
"1509","2007","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295386.141,3238102.459,-0.7504176,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.7504176,-0.7
"1510","2008","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295386.0993,3238102.617,-0.5251704,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5251704,-0.5
"1511","2009","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295386.7194,3238103.011,-0.5190744,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5190744,-0.5
"1512","2010","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295387.0221,3238103.37,-0.4629912,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4629912,-0.4
"1513","2011","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295387.7365,3238103.75,-0.4294632,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4294632,-0.4
"1514","2012","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295388.2561,3238104.057,-0.4532376,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4532376,-0.4
"1515","2013","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295389.1373,3238103.947,-0.4727448,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4727448,-0.4
"1516","2014","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295389.8518,3238104.551,-0.536448,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.536448,-0.5
"1517","2015","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295390.542,3238105.1,-0.5001768,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5001768,-0.5
"1518","2016","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295390.9256,3238105.373,-0.4776216,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4776216,-0.4
"1519","2017","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295391.7342,3238105.356,-0.409956,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.409956,-0.4
"1520","2018","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295392.025,3238105.716,-0.4462272,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4462272,-0.4
"1521","2019","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295392.5326,3238106.328,-0.5199888,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5199888,-0.5
"1522","2020","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295393.4733,3238106.585,-0.5062728,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5062728,-0.5
"1523","2021","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295393.1574,3238108.178,-0.7507224,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.7507224,-0.7
"1524","2022","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295392.8704,3238107.725,-0.5007864,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5007864,-0.5
"1525","2023","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295392.2304,3238107.427,-0.4943856,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4943856,-0.4
"1526","2024","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295391.3967,3238106.491,-0.539496,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.539496,-0.5
"1527","2025","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295404.0975,3238096.4,-0.7202424,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.7202424,-0.7
"1528","2026","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295403.8231,3238096.179,-0.498348,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.498348,-0.4
"1529","2027","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295403.2121,3238096.019,-0.4888992,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4888992,-0.4
"1530","2028","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295402.4387,3238095.899,-0.3959352,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.3959352,-0.3
"1531","2029","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295401.8852,3238095.377,-0.4492752,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4492752,-0.4
"1532","2030","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295401.3139,3238094.898,-0.4184904,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4184904,-0.4
"1533","2031","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295400.5068,3238094.831,-0.432816,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.432816,-0.4
"1534","2032","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295399.6718,3238094.724,-0.4468368,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4468368,-0.4
"1535","2033","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295398.8399,3238094.18,-0.4636008,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4636008,-0.4
"1536","2034","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295398.4529,3238093.693,-0.4181856,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4181856,-0.4
"1537","2035","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295398.1657,3238093.145,-0.504444,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.504444,-0.5
"1538","2036","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295397.7074,3238092.777,-0.4834128,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4834128,-0.4
"1539","2037","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295397.3266,3238092.305,-0.539496,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.539496,-0.5
"1540","2038","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295396.5825,3238091.904,-0.4614672,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4614672,-0.4
"1541","2039","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295395.8071,3238091.592,-0.7808976,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.7808976,-0.7
"1542","2040","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295397.8782,3238089.004,-0.6620256,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.6620256,-0.6
"1543","2041","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295398.2146,3238089.235,-0.5269992,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5269992,-0.5
"1544","2042","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295398.5951,3238089.919,-0.4840224,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4840224,-0.4
"1545","2043","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295398.8922,3238090.269,-0.4898136,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4898136,-0.4
"1546","2044","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295399.5285,3238090.288,-0.4520184,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4520184,-0.4
"1547","2045","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295400.2838,3238090.496,-0.3944112,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.3944112,-0.3
"1548","2046","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295400.6828,3238090.382,-0.4117848,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4117848,-0.4
"1549","2047","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295401.4068,3238090.501,-0.4946904,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4946904,-0.4
"1550","2048","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295401.6628,3238091.246,-0.5068824,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5068824,-0.5
"1551","2049","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295401.9907,3238091.982,-0.44958,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.44958,-0.4
"1552","2050","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295402.7807,3238092.576,-0.3968496,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.3968496,-0.3
"1553","2051","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295402.6861,3238093.168,-0.4828032,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4828032,-0.4
"1554","2052","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295403.2187,3238093.971,-0.5056632,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5056632,-0.5
"1555","2053","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295403.8827,3238094.336,-0.43434,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.43434,-0.4
"1556","2054","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295403.6037,3238095.081,-0.4953,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4953,-0.4
"1557","2055","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295404.4147,3238095.352,-0.4995672,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4995672,-0.4
"1558","2056","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295409.1418,3238090.874,-0.6861048,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.6861048,-0.6
"1559","2057","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295408.5813,3238090.519,-0.4194048,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4194048,-0.4
"1560","2058","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295407.8334,3238090.33,-0.4437888,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4437888,-0.4
"1561","2059","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295407.1741,3238089.824,-0.4681728,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4681728,-0.4
"1562","2060","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295406.3931,3238089.47,-0.4108704,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4108704,-0.4
"1563","2061","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295405.6206,3238088.674,-0.4139184,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4139184,-0.4
"1564","2062","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295404.979,3238088.147,-0.4383024,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4383024,-0.4
"1565","2063","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295404.5782,3238087.533,-0.4962144,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4962144,-0.4
"1566","2064","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295403.9751,3238087.096,-0.3944112,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.3944112,-0.3
"1567","2065","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295403.5496,3238086.63,-0.4696968,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4696968,-0.4
"1568","2066","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295403.0996,3238085.979,-0.4364736,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4364736,-0.4
"1569","2067","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295402.3799,3238085.231,-0.4456176,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4456176,-0.4
"1570","2068","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295401.885,3238084.844,-0.743712,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.743712,-0.7
"1571","2069","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295407.5468,3238078.243,-0.7997952,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.7997952,-0.7
"1572","2070","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295407.9144,3238078.39,-0.481584,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.481584,-0.4
"1573","2071","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295408.6176,3238078.665,-0.4370832,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4370832,-0.4
"1574","2072","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295409.1731,3238079.287,-0.4779264,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4779264,-0.4
"1575","2073","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295409.8775,3238079.817,-0.4599432,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4599432,-0.4
"1576","2074","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295410.7125,3238080.188,-0.4422648,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4422648,-0.4
"1577","2075","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295411.3306,3238080.4,-0.3880104,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.3880104,-0.3
"1578","2076","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295412.1859,3238080.748,-0.4218432,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4218432,-0.4
"1579","2077","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295412.8112,3238081.19,-0.4898136,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4898136,-0.4
"1580","2078","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295413.4885,3238080.943,-0.38862,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.38862,-0.3
"1581","2079","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295414.2098,3238080.732,-0.4017264,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4017264,-0.4
"1582","2080","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295414.8594,3238081.487,-0.5190744,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.5190744,-0.5
"1583","2081","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295413.8886,3238082.705,-0.4733544,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4733544,-0.4
"1584","2082","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295414.9815,3238082.939,-0.4440936,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4440936,-0.4
"1585","2083","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295415.8329,3238083.367,-0.4928616,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4928616,-0.4
"1586","2084","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295416.312,3238083.829,-0.6803136,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.6803136,-0.6
"1587","2085","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295424.1256,3238074.659,-0.6318504,"DANIEL_GORE","GS","TOPCON_HIPER_V_RTK",0.6318504,-0.6
"1588","2086","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295423.5233,3238074.163,-0.4712208,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4712208,-0.4
"1589","2087","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295423.2122,3238073.426,-0.423672,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.423672,-0.4
"1590","2088","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295422.7033,3238072.873,-0.4523232,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4523232,-0.4
"1591","2089","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295422.0008,3238072.488,-0.4062984,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4062984,-0.4
"1592","2090","9/17/2018",2018,9,17,"LC","O","12","LCO12",-999,-999,295421.4581,3238072.339,-0.4654296,"DANIEL_GORE","ROCK TOP","TOPCON_HIPER_V_RTK",0.4654296,-0.4
