"","field_point","easting","northing","elev_m","date","year","month","day","locality","site","bar","station","transect","tran_length","collector","type","gear","neg_e_abs","elev_cat"
"8782","N_A",-999,-999,-0.314,"5/27/2010",2010,5,27,"CK","O","3","CKO3",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.314,-0.3
"8783","N_A",-999,-999,-0.029,"5/27/2010",2010,5,27,"CK","O","3","CKO3",1,12.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.029,0
"8784","N_A",-999,-999,-0.084,"5/27/2010",2010,5,27,"CK","O","3","CKO3",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.084,0
"8785","N_A",-999,-999,-0.089,"5/27/2010",2010,5,27,"CK","O","3","CKO3",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.089,0
"8786","N_A",-999,-999,-0.029,"5/27/2010",2010,5,27,"CK","O","3","CKO3",1,20,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.029,0
"8787","N_A",-999,-999,-0.004,"5/27/2010",2010,5,27,"CK","O","3","CKO3",1,22.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.004,0
"8788","N_A",-999,-999,-0.029,"5/27/2010",2010,5,27,"CK","O","3","CKO3",1,33,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.029,0
"8789","N_A",-999,-999,-0.51,"12/6/2010",2010,12,6,"CR","I","1","CRI1",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.51,-0.5
"8790","N_A",-999,-999,-0.14,"12/6/2010",2010,12,6,"CR","I","1","CRI1",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.14,-0.1
"8791","N_A",-999,-999,-0.035,"12/6/2010",2010,12,6,"CR","I","1","CRI1",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.035,0
"8792","N_A",-999,-999,-0.345,"12/6/2010",2010,12,6,"CR","I","1","CRI1",1,20,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.345,-0.3
"8793","N_A",-999,-999,-0.5,"12/6/2010",2010,12,6,"CR","I","1","CRI1",1,22.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.5,-0.5
"8794","N_A",-999,-999,-0.64,"12/6/2010",2010,12,6,"CR","I","1","CRI1",1,25,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.64,-0.6
"8795","N_A",-999,-999,-0.459,"5/27/2010",2010,5,27,"CR","I","2","CRI2",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.459,-0.4
"8796","N_A",-999,-999,-0.114,"5/27/2010",2010,5,27,"CR","I","2","CRI2",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.114,-0.1
"8797","N_A",-999,-999,-0.074,"5/27/2010",2010,5,27,"CR","I","2","CRI2",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.074,0
"8798","N_A",-999,-999,-0.054,"5/27/2010",2010,5,27,"CR","I","2","CRI2",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.054,0
"8799","N_A",-999,-999,-0.054,"5/27/2010",2010,5,27,"CR","I","2","CRI2",1,12.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.054,0
"8800","N_A",-999,-999,-0.087,"5/27/2010",2010,5,27,"CR","I","2","CRI2",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.087,0
"8801","N_A",-999,-999,-0.114,"5/27/2010",2010,5,27,"CR","I","2","CRI2",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.114,-0.1
"8802","N_A",-999,-999,-0.483,"12/6/2010",2010,12,6,"CR","I","3","CRI3",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.483,-0.4
"8803","N_A",-999,-999,-0.153,"12/6/2010",2010,12,6,"CR","I","3","CRI3",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.153,-0.1
"8804","N_A",-999,-999,-0.173,"12/6/2010",2010,12,6,"CR","I","3","CRI3",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.173,-0.1
"8805","N_A",-999,-999,-0.108,"12/6/2010",2010,12,6,"CR","I","3","CRI3",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.108,-0.1
"8806","N_A",-999,-999,-0.163,"12/6/2010",2010,12,6,"CR","I","3","CRI3",1,12.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.163,-0.1
"8807","N_A",-999,-999,-0.613,"12/6/2010",2010,12,6,"CR","I","3","CRI3",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.613,-0.6
"8808","N_A",-999,-999,-1.1275,"10/25/2010",2010,10,25,"CR","N","1","CRN1",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",1.1275,-1.1
"8809","N_A",-999,-999,-0.9525,"10/25/2010",2010,10,25,"CR","N","1","CRN1",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.9525,-0.9
"8810","N_A",-999,-999,-0.006,"10/25/2010",2010,10,25,"CR","N","1","CRN1",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.006,0
"8811","N_A",-999,-999,-0.0105,"10/25/2010",2010,10,25,"CR","N","1","CRN1",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.0105,0
"8812","N_A",-999,-999,-1.0225,"10/25/2010",2010,10,25,"CR","N","1","CRN1",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",1.0225,-1
"8813","N_A",-999,-999,-1.0375,"10/25/2010",2010,10,25,"CR","N","1","CRN1",1,20,"UF","REEF","TOPCON_HIPER_LITE+_RTK",1.0375,-1
"8814","N_A",-999,-999,-0.593,"10/25/2010",2010,10,25,"CR ","N","2","CRN2",1,2.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.593,-0.5
"8815","N_A",-999,-999,-0.438,"10/25/2010",2010,10,25,"CR ","N","2","CRN2",1,5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.438,-0.4
"8816","N_A",-999,-999,-0.348,"10/25/2010",2010,10,25,"CR ","N","2","CRN2",1,7.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.348,-0.3
"8817","N_A",-999,-999,-0.023,"10/25/2010",2010,10,25,"CR ","N","2","CRN2",1,10,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.023,0
"8818","N_A",-999,-999,-0.128,"10/25/2010",2010,10,25,"CR ","N","2","CRN2",1,15,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.128,-0.1
"8819","N_A",-999,-999,-0.288,"10/25/2010",2010,10,25,"CR ","N","2","CRN2",1,17.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.288,-0.2
"8820","N_A",-999,-999,-0.468,"10/25/2010",2010,10,25,"CR ","N","2","CRN2",1,20,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.468,-0.4
"8821","N_A",-999,-999,-0.583,"10/25/2010",2010,10,25,"CR ","N","2","CRN2",1,22.5,"UF","REEF","TOPCON_HIPER_LITE+_RTK",0.583,-0.5
