field_pt,date,year,month,day,locality,site,bar,station,transect,tran_length,easting,northing,elev_m,collector,type,gear
BTI2-2-8,1/8/2019,2019,1,8,BT,I,2,BTI2,2,17.75,297626.814,3239489.646,-0.747,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-0,1/8/2019,2019,1,8,BT,I,3,BTI3,1,0,297639.663,3239404.368,-0.786,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-1,1/8/2019,2019,1,8,BT,I,3,BTI3,1,2.5,297639.581,3239401.875,-0.629,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-2,1/8/2019,2019,1,8,BT,I,3,BTI3,1,5,297639.69,3239399.347,-0.656,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-3,1/8/2019,2019,1,8,BT,I,3,BTI3,1,7.5,297639.671,3239396.847,-0.566,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-4,1/8/2019,2019,1,8,BT,I,3,BTI3,1,10,297639.621,3239394.36,-0.54,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-5,1/8/2019,2019,1,8,BT,I,3,BTI3,1,12.5,297639.597,3239391.863,-0.526,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-6,1/8/2019,2019,1,8,BT,I,3,BTI3,1,15,297639.56,3239389.374,-0.395,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-7,1/8/2019,2019,1,8,BT,I,3,BTI3,1,17.5,297639.524,3239386.877,-0.614,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-8,1/8/2019,2019,1,8,BT,I,3,BTI3,1,20,297639.477,3239384.393,-0.712,UF,REEF,TRIMBLE_5800_RTK
BTI3-1-9,1/8/2019,2019,1,8,BT,I,3,BTI3,1,20.2,297639.36,3239384.031,-0.761,UF,REEF,TRIMBLE_5800_RTK
BTI3-2-0,1/8/2019,2019,1,8,BT,I,3,BTI3,2,0,297700.593,3239364.972,-0.756,UF,REEF,TRIMBLE_5800_RTK
BTI3-2-1,1/8/2019,2019,1,8,BT,I,3,BTI3,2,2.5,297703.142,3239364.927,-0.662,UF,REEF,TRIMBLE_5800_RTK
BTI3-2-2,1/8/2019,2019,1,8,BT,I,3,BTI3,2,5,297705.628,3239364.737,-0.616,UF,REEF,TRIMBLE_5800_RTK
BTI3-2-3,1/8/2019,2019,1,8,BT,I,3,BTI3,2,7.5,297708.108,3239364.56,-0.417,UF,REEF,TRIMBLE_5800_RTK
BTI3-2-4,1/8/2019,2019,1,8,BT,I,3,BTI3,2,10,297710.626,3239364.451,-0.694,UF,REEF,TRIMBLE_5800_RTK
BTI3-2-5,1/8/2019,2019,1,8,BT,I,3,BTI3,2,12.5,297713.101,3239364.262,-0.668,UF,REEF,TRIMBLE_5800_RTK
BTI3-2-6,1/8/2019,2019,1,8,BT,I,3,BTI3,2,15,297715.583,3239364.084,-0.793,UF,REEF,TRIMBLE_5800_RTK
