field_pt,date,year,month,day,locality,site,bar,station,transect,tran_length,easting,northing,elev_m,collector,type,gear
1266,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294799.1733,3238770.729,-0.4553712,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1267,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294799.4869,3238771.444,-0.4142232,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1268,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294800.1377,3238772.334,-0.423672,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1269,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294801.0226,3238773.01,-0.4666488,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1270,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294801.5394,3238773.989,-0.4029456,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1271,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294802.1401,3238775.007,-0.4288536,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1272,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294802.9569,3238776.212,-0.5946648,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1273,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294815.2054,3238767.869,-0.6086856,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1274,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294814.8785,3238767.395,-0.4197096,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1275,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294814.5335,3238766.858,-0.4050792,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1276,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294814.1523,3238766.312,-0.435864,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1277,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294813.9031,3238765.862,-0.409956,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1278,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294813.0453,3238765.601,-0.458724,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1279,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294812.4812,3238764.876,-0.4224528,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1280,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294812.6996,3238763.958,-0.454152,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1281,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294811.9338,3238763.663,-0.4751832,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1282,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294811.4437,3238763.527,-0.5145024,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1283,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294811.0513,3238762.125,-0.4459224,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1284,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294810.5906,3238761.499,-0.4507992,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1285,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294810.5266,3238760.937,-0.4684776,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1286,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294809.9913,3238760.329,-0.5199888,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1287,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294809.6639,3238760.032,-0.5407152,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1288,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294809.3017,3238759.739,-0.6544056,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1289,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294815.7969,3238755.001,-0.7007352,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1290,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294815.9536,3238755.214,-0.4568952,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1291,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294815.9659,3238755.587,-0.4718304,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1292,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294816.6513,3238755.601,-0.4782312,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1293,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294816.5921,3238755.88,-0.5407152,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1294,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294817.3277,3238756.535,-0.5071872,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1295,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294817.7863,3238756.946,-0.4319016,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1296,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294818.5395,3238757.722,-0.5178552,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1297,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294818.7602,3238758.401,-0.5489448,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1298,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294819.6776,3238759.073,-0.4532376,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1299,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294820.4584,3238759.334,-0.4059936,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1300,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294821.1395,3238759.668,-0.448056,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1301,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294821.85,3238760.92,-0.4139184,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1302,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294821.3583,3238760.09,-0.4882896,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1303,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294822.4593,3238761.482,-0.4782312,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1304,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294823.3018,3238762.45,-0.6525768,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1305,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294831.4834,3238756.536,-0.5437632,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1306,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294830.9362,3238755.894,-0.402336,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1307,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294830.4285,3238755.447,-0.4529328,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1308,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294830.4393,3238754.676,-0.4745736,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1309,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294829.7205,3238754.707,-0.4809744,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1310,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294829.7159,3238753.839,-0.5449824,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1311,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294829.5885,3238753.417,-0.4794504,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1312,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294829.4649,3238753.046,-0.4340352,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1313,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294829.0574,3238752.697,-0.4657344,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1314,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294828.4058,3238752.414,-0.4895088,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1315,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294827.8167,3238752.541,-0.448056,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1316,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294827.8114,3238751.913,-0.4849368,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1317,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294827.5966,3238751.61,-0.4620768,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1318,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294827.087,3238751.301,-0.4075176,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1319,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294826.2823,3238750.981,-0.4636008,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1320,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294826.4048,3238750.333,-0.454152,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1321,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294825.891,3238750.346,-0.4322064,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1322,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294825.435,3238750.236,-0.423672,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1323,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294825.3092,3238749.573,-0.4126992,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1324,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294825.7383,3238749.205,-0.4056888,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1325,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294825.2876,3238748.576,-0.5961888,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1326,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294832.8711,3238743.269,-0.6236208,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1327,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294833.0158,3238743.552,-0.4736592,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1328,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294833.6047,3238743.834,-0.4437888,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1329,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294833.8538,3238744.339,-0.4398264,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1330,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294834.1089,3238744.697,-0.4169664,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1331,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294834.4581,3238744.743,-0.493776,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1332,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294834.5762,3238745.153,-0.4867656,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1333,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294835.0898,3238745.44,-0.463296,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1334,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294835.3775,3238746.213,-0.39624,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1335,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294836.0626,3238746.308,-0.5023104,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1336,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294836.1522,3238746.736,-0.522732,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1337,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294836.3875,3238747.265,-0.4992624,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1338,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294836.9713,3238747.272,-0.4620768,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1339,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294837.5959,3238747.565,-0.3758184,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1340,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294836.9913,3238747.979,-0.4154424,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1341,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294837.7433,3238748.293,-0.4029456,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1342,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294837.8294,3238748.952,-0.4279392,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1343,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294838.6342,3238748.971,-0.4514088,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1344,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294839.1891,3238749.299,-0.413004,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1345,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294839.7795,3238749.869,-0.4123944,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1346,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294840.3643,3238750.35,-0.4154424,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1347,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294841.1987,3238751.041,-0.635508,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1348,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294842.5765,3238748.215,-0.5446776,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1349,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294842.1431,3238747.901,-0.448056,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1350,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294841.7238,3238747.601,-0.3742944,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1351,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294841.2455,3238747.065,-0.4102608,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1352,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294840.8781,3238746.371,-0.3953256,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1353,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294840.33,3238745.757,-0.4440936,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1354,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294840.2271,3238745.317,-0.4733544,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1355,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294839.7766,3238744.853,-0.4163568,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1356,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294839.3621,3238744.246,-0.4288536,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1357,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294838.9176,3238743.742,-0.4364736,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1358,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294838.1172,3238743.463,-0.4639056,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1359,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294837.876,3238742.913,-0.44196,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1360,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294837.2866,3238742.294,-0.4669536,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1361,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294836.8108,3238742.011,-0.4672584,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1362,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294836.3199,3238741.523,-0.432816,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1363,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294836.0553,3238741.062,-0.5785104,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1364,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294837.7796,3238739.628,-0.6653784,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1365,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294838.3306,3238740.258,-0.429768,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1366,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294838.8644,3238740.224,-0.4002024,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1367,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294839.2826,3238740.896,-0.454152,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1368,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294839.8903,3238741.426,-0.428244,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1369,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294840.1885,3238741.75,-0.4410456,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1370,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294840.6545,3238742.423,-0.4620768,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1371,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294840.8226,3238742.015,-0.364236,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1372,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294841.0344,3238742.829,-0.4239768,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1373,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294841.4627,3238743.218,-0.4224528,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1374,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294842.1277,3238743.925,-0.4087368,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1375,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294842.4184,3238744.34,-0.4242816,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1376,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294842.9672,3238744.677,-0.428244,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1377,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294843.4249,3238744.945,-0.3834384,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1378,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294843.6569,3238745.552,-0.3922776,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1379,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294844.2315,3238746.02,-0.4090416,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1380,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294844.7338,3238746.769,-0.5254752,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1381,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294846.6684,3238744.106,-0.612648,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1382,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294846.1196,3238743.848,-0.4727448,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1383,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294845.939,3238743.291,-0.4352544,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1384,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294845.6495,3238742.839,-0.4154424,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1385,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294845.288,3238742.339,-0.4794504,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1386,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294844.816,3238741.578,-0.4413504,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1387,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294844.252,3238741.032,-0.3849624,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1388,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294843.9171,3238740.504,-0.4300728,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1389,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294843.5423,3238740.09,-0.4626864,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1390,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294843.0844,3238739.41,-0.4416552,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1391,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294842.735,3238739.076,-0.4666488,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1392,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294842.2935,3238738.596,-0.4696968,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1393,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294842.0231,3238738.199,-0.4620768,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1394,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294841.8671,3238737.851,-0.5065776,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1395,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294841.3813,3238737.581,-0.5023104,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1396,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294841.2619,3238736.806,-0.5870448,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1397,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294853.4231,3238723.026,-0.5337048,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1398,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294853.806,3238723.344,-0.4431792,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1399,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294854.4349,3238723.786,-0.402336,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1400,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294855.034,3238724.258,-0.4386072,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1401,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294855.634,3238724.592,-0.4227576,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1402,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294856.0893,3238724.98,-0.4337304,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1403,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294856.5585,3238725.416,-0.4980432,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1404,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294856.9473,3238725.859,-0.4870704,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1405,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294857.4439,3238726.229,-0.397764,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1406,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294857.9928,3238726.861,-0.3913632,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1407,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294858.3441,3238727.412,-0.348996,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1408,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294859.0342,3238727.652,-0.3480816,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1409,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294859.4052,3238727.91,-0.4148328,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1410,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294859.5252,3238728.398,-0.391668,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1411,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294859.9608,3238728.829,-0.3831336,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1412,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294860.7016,3238728.982,-0.4315968,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1413,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294861.2846,3238729.746,-0.4187952,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1414,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294862.0543,3238730.287,-0.6769608,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1416,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294868.9846,3238720.241,-0.702564,DANIEL_GORE,GS,TOPCON_HIPER_V_RTK
1417,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294868.1217,3238719.816,-0.4370832,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1418,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294867.5849,3238719.67,-0.4730496,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1419,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294867.4985,3238719.048,-0.4215384,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
1420,9/26/2018,2018,9,26,LC,O,9B,LCO9B,-999,-999,294866.6866,3238718.787,-0.486156,DANIEL_GORE,ROCK TOP,TOPCON_HIPER_V_RTK
