"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"2113",5149,0,1594,13.59297112,297471.999,3239325.733,297478.7955,3239325.733,297485.592,3239325.733
"4558",10532,0,2618,22.67748699,299206.4375,3235874.316,299206.4375,3235885.655,299206.4375,3235896.993
"4675",10649,0,2649,36.25909582,299268.4375,3235915.597,299268.4375,3235933.726,299268.4375,3235951.856
"1754",4790,0,1445,24.23275527,297474.9427,3238979.733,297487.059,3238979.733,297499.1754,3238979.733
"349",1523,0,482,33.49035937,299338.029,3235917.733,299354.7742,3235917.733,299371.5194,3235917.733
"3571",7614,0,2240,8.58783086,298404.4375,3237168.744,298404.4375,3237173.037,298404.4375,3237177.331
"3684",7812,0,2257,11.3375739,298438.4375,3238414.753,298438.4375,3238420.422,298438.4375,3238426.09
"3531",7531,0,2233,5.569750007,298390.4375,3238370.856,298390.4375,3238373.641,298390.4375,3238376.426
"3621",7708,0,2248,11.91536095,298420.4375,3237159.872,298420.4375,3237165.829,298420.4375,3237171.787
"3548",7568,0,2236,17.10807898,298396.4375,3238448.493,298396.4375,3238457.047,298396.4375,3238465.601
"160",678,0,312,19.2571026,298868.4999,3235573.733,298878.1284,3235573.733,298887.757,3235573.733
"1700",4736,0,1407,17.48665032,298469.2562,3238691.733,298477.9995,3238691.733,298486.7428,3238691.733
"3573",7616,0,2240,45.10341472,298404.4375,3237653.086,298404.4375,3237675.637,298404.4375,3237698.189
"1184",4220,0,1168,20.72792094,298551.2289,3237803.733,298561.5929,3237803.733,298571.9568,3237803.733
"2031",5067,0,1552,73.85148966,297835.0747,3239193.733,297872.0005,3239193.733,297908.9262,3239193.733
"1403",4439,0,1294,51.55683177,298226.5926,3238465.733,298252.371,3238465.733,298278.1495,3238465.733
"1224",4260,0,1194,9.478204848,298402.3405,3238121.733,298407.0796,3238121.733,298411.8187,3238121.733
"3686",7814,0,2257,29.32009478,298438.4375,3238540.558,298438.4375,3238555.218,298438.4375,3238569.878
"3948",8296,0,2288,9.662850094,298500.4375,3237191.066,298500.4375,3237195.897,298500.4375,3237200.728
"4505",10479,0,2606,13.70650019,299182.4375,3236034.743,299182.4375,3236041.596,299182.4375,3236048.449
"2583",5619,0,1846,0.646978521,297616.4375,3239564.974,297616.4375,3239565.298,297616.4375,3239565.621
"3606",7675,0,2245,25.92628743,298414.4375,3237679.142,298414.4375,3237692.105,298414.4375,3237705.069
"3494",7433,0,2223,11.45343481,298370.4375,3238368.218,298370.4375,3238373.944,298370.4375,3238379.671
"728",3764,0,978,10.8145918,298552.1996,3237097.733,298557.6069,3237097.733,298563.0142,3237097.733
"3088",6288,0,2017,10.09900895,297958.4375,3239429.966,297958.4375,3239435.015,297958.4375,3239440.065
"2365",5401,0,1694,12.77691656,297781.4312,3239525.733,297787.8196,3239525.733,297794.2081,3239525.733
"129",624,0,305,26.73463272,299040.115,3235559.733,299053.4823,3235559.733,299066.8496,3235559.733
"2050",5086,0,1562,6.087112027,297750.3198,3239213.733,297753.3634,3239213.733,297756.4069,3239213.733
"3586",7639,0,2242,12.20061251,298408.4375,3237638.998,298408.4375,3237645.099,298408.4375,3237651.199
"2811",5896,0,1924,5.902100052,297772.4375,3239546.059,297772.4375,3239549.01,297772.4375,3239551.961
"1261",4297,0,1219,9.188319273,298303.7166,3238197.733,298308.3107,3238197.733,298312.9049,3238197.733
"4466",10440,0,2595,113.9704911,299160.4375,3235894.048,299160.4375,3235951.034,299160.4375,3236008.019
"1647",4683,0,1389,8.926768105,298279.9454,3238655.733,298284.4088,3238655.733,298288.8722,3238655.733
"2531",5567,0,1830,46.66155366,297584.4375,3239118.433,297584.4375,3239141.764,297584.4375,3239165.095
"4688",10662,0,2652,19.073079,299274.4375,3235971.689,299274.4375,3235981.225,299274.4375,3235990.762
"2442",5478,0,1759,21.64229351,297646.0235,3239701.733,297656.8446,3239701.733,297667.6658,3239701.733
"3604",7673,0,2245,12.86050123,298414.4375,3237161.053,298414.4375,3237167.483,298414.4375,3237173.913
"4407",10381,0,2577,27.19124048,299124.4375,3236107.946,299124.4375,3236121.542,299124.4375,3236135.137
"2778",5844,0,1916,2.999655978,297756.4375,3239129.938,297756.4375,3239131.438,297756.4375,3239132.938
"4551",10525,0,2616,36.02322424,299202.4375,3235981.039,299202.4375,3235999.051,299202.4375,3236017.062
"4506",10480,0,2606,10.57277182,299182.4375,3236076.674,299182.4375,3236081.96,299182.4375,3236087.246
"1705",4741,0,1409,20.64009424,298391.0461,3238695.733,298401.3662,3238695.733,298411.6862,3238695.733
"1917",4953,0,1513,6.09564334,297881.183,3239115.733,297884.2308,3239115.733,297887.2786,3239115.733
"4019",8462,0,2299,30.30565327,298522.4375,3237730.142,298522.4375,3237745.295,298522.4375,3237760.448
"49",474,0,282,28.17819042,298856.8609,3235513.733,298870.95,3235513.733,298885.0391,3235513.733
"96",561,0,297,22.37739326,298869.5609,3235543.733,298880.7496,3235543.733,298891.9383,3235543.733
"2100",5136,0,1583,15.19305398,297737.7557,3239255.733,297745.3522,3239255.733,297752.9487,3239255.733
"2081",5117,0,1573,21.08771579,297634.1607,3239235.733,297644.7046,3239235.733,297655.2484,3239235.733
"2822",5913,0,1927,10.23026161,297778.4375,3239052.943,297778.4375,3239058.058,297778.4375,3239063.173
"3193",6733,0,2152,12.21033456,298228.4375,3238465.102,298228.4375,3238471.208,298228.4375,3238477.313
"923",3959,0,1029,31.18886664,298447.7057,3237199.733,298463.3001,3237199.733,298478.8946,3237199.733
"1297",4333,0,1249,23.54840585,298367.3648,3238375.733,298379.139,3238375.733,298390.9132,3238375.733
"689",2347,0,576,10.09919761,299132.1637,3236105.733,299137.2133,3236105.733,299142.2629,3236105.733
"1482",4518,0,1321,14.55734558,298316.1259,3238519.733,298323.4046,3238519.733,298330.6832,3238519.733
"2170",5206,0,1627,14.60654308,297447.7437,3239391.733,297455.047,3239391.733,297462.3503,3239391.733
"3036",6200,0,1985,11.11504798,297894.4375,3239031.625,297894.4375,3239037.182,297894.4375,3239042.74
"1015",4051,0,1089,11.40811397,298483.3612,3237641.733,298489.0652,3237641.733,298494.7693,3237641.733
"218",801,0,336,34.2666407,299040.4123,3235621.733,299057.5456,3235621.733,299074.6789,3235621.733
"1045",4081,0,1105,16.96309597,298396.8774,3237673.733,298405.359,3237673.733,298413.8405,3237673.733
"1832",4868,0,1474,30.39953249,297521.1123,3239037.733,297536.312,3239037.733,297551.5118,3239037.733
"823",3859,0,1002,21.42307843,298454.8072,3237145.733,298465.5188,3237145.733,298476.2303,3237145.733
"4440",10414,0,2587,30.09703643,299144.4375,3236009.391,299144.4375,3236024.44,299144.4375,3236039.488
"1666",4702,0,1396,45.96439011,298406.1827,3238669.733,298429.1649,3238669.733,298452.1471,3238669.733
"2452",5488,0,1767,25.648323,297458.4375,3238930.483,297458.4375,3238943.307,297458.4375,3238956.131
"1747",4783,0,1438,27.26744022,297464.7947,3238965.733,297478.4284,3238965.733,297492.0621,3238965.733
"3798",8043,0,2273,19.39305298,298470.4375,3237133.373,298470.4375,3237143.07,298470.4375,3237152.766
