"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"72",71,0,48,57.51776529,297849.1447,3234635.733,297877.9035,3234635.733,297906.6624,3234635.733
"464",554,0,296,26.13777421,298654.5522,3235541.733,298667.6211,3235541.733,298680.69,3235541.733
"2074",2817,0,662,20.03201704,298376.5887,3236277.733,298386.6047,3236277.733,298396.6207,3236277.733
"514",667,0,311,23.9797997,298347.4836,3235571.733,298359.4735,3235571.733,298371.4634,3235571.733
"312",311,0,206,21.11624111,298180.6124,3235361.733,298191.1706,3235361.733,298201.7287,3235361.733
"3393",6541,0,2112,21.09079541,298148.4375,3235706.569,298148.4375,3235717.114,298148.4375,3235727.659
"5065",9357,0,2372,19.74489668,298668.4375,3235658.987,298668.4375,3235668.859,298668.4375,3235678.732
"761",1016,0,386,43.30000871,298663.724,3235721.733,298685.374,3235721.733,298707.024,3235721.733
"3896",7404,0,2221,15.72154329,298366.4375,3236190.738,298366.4375,3236198.599,298366.4375,3236206.46
"2895",3638,0,919,18.44570619,298689.8612,3236791.733,298699.0841,3236791.733,298708.3069,3236791.733
"3207",6336,0,2043,11.49312367,298010.4375,3235215.97,298010.4375,3235221.716,298010.4375,3235227.463
"4546",8658,0,2312,27.34123321,298548.4375,3236303.009,298548.4375,3236316.679,298548.4375,3236330.35
"3161",6229,0,1994,38.34322198,297912.4375,3234541.042,297912.4375,3234560.213,297912.4375,3234579.385
"69",68,0,47,22.71003363,297740.1278,3234633.733,297751.4829,3234633.733,297762.8379,3234633.733
"5795",10146,0,2476,20.48410429,298876.4375,3236617.517,298876.4375,3236627.759,298876.4375,3236638.001
"4219",8070,0,2275,11.65938301,298474.4375,3236177.408,298474.4375,3236183.238,298474.4375,3236189.068
"1658",2381,0,581,18.99007212,298841.8023,3236115.733,298851.2973,3236115.733,298860.7924,3236115.733
"3525",6744,0,2154,26.96522018,298232.4375,3235732.269,298232.4375,3235745.752,298232.4375,3235759.234
"4235",8117,0,2278,36.8379139,298480.4375,3235341.25,298480.4375,3235359.669,298480.4375,3235378.088
"1279",1754,0,513,17.59317903,298834.0185,3235979.733,298842.8151,3235979.733,298851.6117,3235979.733
"4928",9218,0,2356,22.58643091,298636.4375,3235897.823,298636.4375,3235909.116,298636.4375,3235920.409
"1609",2298,0,570,16.50230724,298820.2334,3236093.733,298828.4846,3236093.733,298836.7357,3236093.733
"2846",3589,0,906,29.13303882,298790.3524,3236765.733,298804.9189,3236765.733,298819.4854,3236765.733
"3293",6434,0,2079,30.37544003,298082.4375,3235443.267,298082.4375,3235458.454,298082.4375,3235473.642
"17",16,0,16,34.63896799,297896.9677,3234571.733,297914.2872,3234571.733,297931.6066,3234571.733
"1288",1771,0,515,12.50116621,298328.8187,3235983.733,298335.0693,3235983.733,298341.3198,3235983.733
"5494",9810,0,2417,43.20955342,298758.4375,3235610.695,298758.4375,3235632.299,298758.4375,3235653.904
"5652",9982,0,2443,15.26421936,298810.4375,3235945.927,298810.4375,3235953.559,298810.4375,3235961.191
"2887",3630,0,917,11.12167542,298805.9515,3236787.733,298811.5123,3236787.733,298817.0731,3236787.733
"3211",6340,0,2045,22.2010145,298014.4375,3235210.443,298014.4375,3235221.543,298014.4375,3235232.644
"5611",9941,0,2437,48.08996985,298798.4375,3235881.211,298798.4375,3235905.256,298798.4375,3235929.301
"2141",2884,0,675,23.20643285,298388.5394,3236303.733,298400.1427,3236303.733,298411.7459,3236303.733
"24",23,0,20,19.21837075,297750.3252,3234579.733,297759.9344,3234579.733,297769.5436,3234579.733
"2259",3002,0,698,10.54304843,298516.5211,3236349.733,298521.7927,3236349.733,298527.0642,3236349.733
"1097",1420,0,471,49.80195678,298572.3339,3235895.733,298597.2349,3235895.733,298622.1359,3235895.733
"4011",7588,0,2238,21.02982679,298400.4375,3236432.042,298400.4375,3236442.557,298400.4375,3236453.072
"2442",3185,0,739,10.52060587,298722.7851,3236431.733,298728.0454,3236431.733,298733.3057,3236431.733
"3351",6492,0,2095,28.26353849,298114.4375,3235330.989,298114.4375,3235345.12,298114.4375,3235359.252
"204",203,0,144,56.44488993,298297.5792,3235207.733,298325.8017,3235207.733,298354.0241,3235207.733
"2280",3023,0,702,15.33922889,298519.1127,3236357.733,298526.7823,3236357.733,298534.4519,3236357.733
"2351",3094,0,718,15.53479159,298532.2984,3236389.733,298540.0657,3236389.733,298547.8331,3236389.733
"3082",5954,0,1933,26.90975932,297790.4375,3234573.876,297790.4375,3234587.331,297790.4375,3234600.786
"16",15,0,15,37.97987709,297895.7177,3234569.733,297914.7076,3234569.733,297933.6976,3234569.733
"1727",2470,0,601,10.11972108,298530.2015,3236155.733,298535.2614,3236155.733,298540.3212,3236155.733
"1686",2426,0,589,18.93603101,298507.8171,3236131.733,298517.2852,3236131.733,298526.7532,3236131.733
"5473",9786,0,2414,41.66422054,298752.4375,3235614.98,298752.4375,3235635.812,298752.4375,3235656.645
"75",74,0,50,23.69848192,297739.8166,3234639.733,297751.6658,3234639.733,297763.5151,3234639.733
"793",1048,0,393,19.91572393,298170.8703,3235735.733,298180.8282,3235735.733,298190.786,3235735.733
"2801",3544,0,890,10.67656253,298727.452,3236733.733,298732.7903,3236733.733,298738.1286,3236733.733
"4182",7989,0,2270,18.3099041,298464.4375,3236422.24,298464.4375,3236431.395,298464.4375,3236440.55
"4054",7683,0,2246,25.13670196,298416.4375,3236333.175,298416.4375,3236345.744,298416.4375,3236358.312
"776",1031,0,390,11.33782612,298539.8264,3235729.733,298545.4953,3235729.733,298551.1643,3235729.733
"244",243,0,160,28.9932428,298238.2316,3235239.733,298252.7282,3235239.733,298267.2248,3235239.733
"3510",6709,0,2149,17.85424184,298222.4375,3235729.992,298222.4375,3235738.919,298222.4375,3235747.846
"392",435,0,257,51.49292232,298062.3746,3235463.733,298088.1211,3235463.733,298113.8676,3235463.733
"2009",2752,0,649,17.5298961,298357.627,3236251.733,298366.392,3236251.733,298375.1569,3236251.733
"748",1003,0,384,40.23910275,298141.0065,3235717.733,298161.1261,3235717.733,298181.2456,3235717.733
"3024",5796,0,1910,12.55541599,297744.4375,3234724.436,297744.4375,3234730.713,297744.4375,3234736.991
"4213",8054,0,2274,13.17568783,298472.4375,3236176.945,298472.4375,3236183.532,298472.4375,3236190.12
"2840",3583,0,904,27.26403813,298791.6604,3236761.733,298805.2924,3236761.733,298818.9244,3236761.733
"526",704,0,316,22.74422081,298348.3407,3235581.733,298359.7128,3235581.733,298371.0849,3235581.733
"3668",7046,0,2195,40.23940794,298314.4375,3236191.942,298314.4375,3236212.061,298314.4375,3236232.181
"3598",6893,0,2182,11.14761345,298288.4375,3235743.742,298288.4375,3235749.316,298288.4375,3235754.89
"3298",6439,0,2080,26.21944772,298084.4375,3235746.587,298084.4375,3235759.697,298084.4375,3235772.806
"3332",6473,0,2089,29.96545677,298102.4375,3235332.243,298102.4375,3235347.225,298102.4375,3235362.208
"1702",2445,0,594,10.6900617,298674.5662,3236141.733,298679.9112,3236141.733,298685.2563,3236141.733
"2247",2990,0,696,10.733266,298345.958,3236345.733,298351.3247,3236345.733,298356.6913,3236345.733
"1624",2324,0,573,19.50219454,298825.4521,3236099.733,298835.2032,3236099.733,298844.9542,3236099.733
"2663",3406,0,839,22.30507888,298871.3684,3236631.733,298882.5209,3236631.733,298893.6735,3236631.733
"4465",8545,0,2305,51.27489703,298534.4375,3235857.768,298534.4375,3235883.405,298534.4375,3235909.043
"3799",7264,0,2212,13.19174308,298348.4375,3236228.899,298348.4375,3236235.495,298348.4375,3236242.09
"3897",7405,0,2221,15.51284438,298366.4375,3236245.993,298366.4375,3236253.75,298366.4375,3236261.506
"4113",7858,0,2261,29.97184221,298446.4375,3235772.739,298446.4375,3235787.725,298446.4375,3235802.711
"5559",9888,0,2429,21.20006763,298782.4375,3235914.768,298782.4375,3235925.368,298782.4375,3235935.968
"1558",2199,0,560,11.83368086,298656.4731,3236073.733,298662.3899,3236073.733,298668.3068,3236073.733
"2110",2853,0,671,24.4990745,298382.7491,3236295.733,298394.9986,3236295.733,298407.2482,3236295.733
"3392",6540,0,2112,29.91560676,298148.4375,3235329.765,298148.4375,3235344.723,298148.4375,3235359.68
"3328",6469,0,2088,30.04138501,298100.4375,3235332.635,298100.4375,3235347.655,298100.4375,3235362.676
"1502",2095,0,548,15.46574706,298198.5795,3236049.733,298206.3124,3236049.733,298214.0453,3236049.733
"4582",8711,0,2315,23.5718958,298554.4375,3235846.099,298554.4375,3235857.885,298554.4375,3235869.671
