"","SEG","ELEMENT","LENGTH","START_X","START_Y","TRANS_NUM","TOT_LEN"
"1",95,"str3",21.97183218,296408.8006,3235963.976,1,21.97183218
"2",86,"str3",21.97183218,296564.7167,3235626.921,3,65.91549654
"3",113,"str3",21.97183218,296271.674,3236396.326,3,65.91549654
"4",115,"str3",21.97183218,296029.6408,3236796.635,2,43.94366436
"5",98,"str3",21.97183218,296439.9619,3235905.892,4,87.88732872
"6",85,"str3",21.97183218,296555.0063,3235646.631,5,109.8591609
"7",79,"str3",21.97183218,296496.7439,3235764.889,1,21.97183218
"8",114,"str3",21.97183218,296282.2073,3236377.044,2,43.94366436
"9",118,"str3",21.97183218,296060.6548,3236738.472,2,43.94366436
"10",80,"str3",21.97183218,296506.4543,3235745.179,4,87.88732872
"11",106,"str3",21.97183218,296197.9413,3236531.303,3,65.91549654
"12",91,"str3",21.97183218,296367.2522,3236041.423,3,65.91549654
"13",72,"str3",21.97183218,296684.0113,3235438.016,2,43.94366436
"14",68,"str3",21.97183218,296643.4781,3235515.998,2,43.94366436
"15",92,"str3",21.97183218,296377.6393,3236022.061,2,43.94366436
"16",116,"str3",21.97183218,296039.9788,3236777.247,5,109.8591609
"17",99,"str3",21.97183218,296450.349,3235886.53,1,21.97183218
"18",77,"str3",21.97183218,296734.6777,3235340.538,5,109.8591609
"19",101,"str3",21.97183218,296145.275,3236627.715,4,87.88732872
"20",125,"str3",21.97183218,295969.7744,3236930.102,4,87.88732872
"21",120,"str3",21.97183218,295945.2306,3237037.185,5,109.8591609
"22",88,"str3",21.97183218,296584.1375,3235587.502,4,87.88732872
"23",100,"str3",21.97183218,296460.736,3235867.169,5,109.8591609
"24",103,"str3",21.97183218,296166.3415,3236589.15,3,65.91549654
"25",107,"str3",21.97183218,296208.4745,3236512.021,3,65.91549654
"26",126,"str3",21.97183218,295974.6831,3236908.686,5,109.8591609
"27",121,"str3",21.97183218,295950.1393,3237015.768,4,87.88732872
"28",76,"str3",21.97183218,296724.5444,3235360.033,3,65.91549654
"29",74,"str3",21.97183218,296704.2778,3235399.024,3,65.91549654
"30",104,"str3",21.97183218,296176.8747,3236569.868,2,43.94366436
"31",87,"str3",21.97183218,296574.4271,3235607.212,4,87.88732872
"32",69,"str3",21.97183218,296653.6114,3235496.502,3,65.91549654
"33",84,"str3",21.97183218,296545.2959,3235666.341,2,43.94366436
"34",81,"str3",21.97183218,296516.1647,3235725.469,5,109.8591609
"35",90,"str3",21.97183218,296356.8651,3236060.784,5,109.8591609
"36",70,"str3",21.97183218,296663.7447,3235477.007,4,87.88732872
"37",108,"str3",21.97183218,296219.0078,3236492.738,5,109.8591609
"38",73,"str3",21.97183218,296694.1445,3235418.52,3,65.91549654
"39",119,"str3",21.97183218,296070.9929,3236719.084,5,109.8591609
"40",82,"str3",21.97183218,296525.8751,3235705.76,4,87.88732872
"41",97,"str3",21.97183218,296429.5748,3235925.253,3,65.91549654
"42",105,"str3",21.97183218,296187.408,3236550.585,5,109.8591609
"43",75,"str3",21.97183218,296714.4111,3235379.529,4,87.88732872
"44",112,"str3",21.97183218,296261.1408,3236415.608,4,87.88732872
"45",93,"str3",21.97183218,296388.0264,3236002.7,3,65.91549654
"46",102,"str3",21.97183218,296155.8082,3236608.433,2,43.94366436
"47",71,"str3",21.97183218,296673.878,3235457.511,4,87.88732872
"48",110,"str3",21.97183218,296240.0743,3236454.173,5,109.8591609
"49",78,"str3",21.97183218,296487.0335,3235784.598,2,43.94366436
"50",117,"str3",21.97183218,296050.3168,3236757.86,1,21.97183218
"51",122,"str3",21.97183218,295955.0481,3236994.352,2,43.94366436
"52",67,"str3",21.97183218,296633.3448,3235535.493,2,43.94366436
"53",124,"str3",21.97183218,295964.8656,3236951.519,1,21.97183218
"54",123,"str3",21.97183218,295959.9569,3236972.935,2,43.94366436
"55",109,"str3",21.97183218,296229.541,3236473.456,2,43.94366436
"56",111,"str3",21.97183218,296250.6075,3236434.891,3,65.91549654
"57",94,"str3",21.97183218,296398.4135,3235983.338,2,43.94366436
"58",89,"str3",21.97183218,296346.478,3236080.146,1,21.97183218
"59",83,"str3",21.97183218,296535.5855,3235686.05,3,65.91549654
"60",96,"str3",21.97183218,296419.1877,3235944.615,3,65.91549654
