"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"2238",5274,0,1650,17.10192697,297930.7133,3239437.733,297939.2643,3239437.733,297947.8152,3239437.733
"504",1844,0,522,73.80239902,299149.4339,3235997.733,299186.3351,3235997.733,299223.2363,3235997.733
"360",1541,0,484,30.29812159,299293.904,3235921.733,299309.053,3235921.733,299324.2021,3235921.733
"498",1834,0,521,15.75179313,299093.2155,3235995.733,299101.0914,3235995.733,299108.9673,3235995.733
"4936",10910,0,2744,13.95545922,299458.4375,3236084.5,299458.4375,3236091.478,299458.4375,3236098.455
"387",1592,0,490,59.97467727,299258.1244,3235933.733,299288.1117,3235933.733,299318.099,3235933.733
"4163",8967,0,2331,14.59029499,298586.4375,3237266.76,298586.4375,3237274.055,298586.4375,3237281.35
"2525",5561,0,1824,43.48175706,297572.4375,3239101.772,297572.4375,3239123.513,297572.4375,3239145.254
"638",2231,0,563,11.24418534,299188.9696,3236079.733,299194.5917,3236079.733,299200.2138,3236079.733
"1851",4887,0,1480,12.02651324,297781.4466,3239049.733,297787.4599,3239049.733,297793.4731,3239049.733
"2300",5336,0,1672,10.03944966,298056.2744,3239481.733,298061.2941,3239481.733,298066.3138,3239481.733
"3831",8095,0,2276,26.07628636,298476.4375,3237696.376,298476.4375,3237709.414,298476.4375,3237722.453
"4600",10574,0,2628,12.86844715,299226.4375,3236086.95,299226.4375,3236093.384,299226.4375,3236099.818
"1786",4822,0,1456,15.77519399,297804.5874,3239001.733,297812.475,3239001.733,297820.3626,3239001.733
"4189",9049,0,2338,19.63709863,298600.4375,3237272.503,298600.4375,3237282.322,298600.4375,3237292.14
"2009",5045,0,1545,11.77082754,297768.6452,3239179.733,297774.5306,3239179.733,297780.4161,3239179.733
"3250",6853,0,2174,21.16896253,298272.4375,3238451.381,298272.4375,3238461.965,298272.4375,3238472.55
"2310",5346,0,1675,19.80346672,297688.8141,3239487.733,297698.7158,3239487.733,297708.6175,3239487.733
"3080",6280,0,2011,15.28735165,297946.4375,3239427.55,297946.4375,3239435.194,297946.4375,3239442.838
"3764",7974,0,2269,19.95308242,298462.4375,3237133.569,298462.4375,3237143.545,298462.4375,3237153.522
"361",1542,0,484,33.85365203,299337.3017,3235921.733,299354.2286,3235921.733,299371.1554,3235921.733
"1935",4971,0,1519,19.60610219,297870.8539,3239127.733,297880.657,3239127.733,297890.46,3239127.733
"1491",4527,0,1323,29.24810227,298306.2193,3238523.733,298320.8433,3238523.733,298335.4674,3238523.733
"2894",6009,0,1942,16.7695587,297808.4375,3238989.877,297808.4375,3238998.262,297808.4375,3239006.647
"3995",8400,0,2295,11.74597373,298514.4375,3237143.224,298514.4375,3237149.097,298514.4375,3237154.97
