FID,Id,ORIG_FID,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
57,0,43,12.22715031,297748.4703,3234625.733,297754.5839,3234625.733,297760.6975,3234625.733
58,0,43,27.8055869,297801.3242,3234625.733,297815.227,3234625.733,297829.1298,3234625.733
59,0,43,45.09352287,297853.2356,3234625.733,297875.7823,3234625.733,297898.3291,3234625.733
60,0,44,16.88624122,297744.7203,3234627.733,297753.1634,3234627.733,297761.6065,3234627.733
61,0,44,20.45264572,297807.3242,3234627.733,297817.5505,3234627.733,297827.7768,3234627.733
62,0,44,47.57837136,297852.4174,3234627.733,297876.2066,3234627.733,297899.9958,3234627.733
63,0,45,20.47845468,297741.7278,3234629.733,297751.9671,3234629.733,297762.2063,3234629.733
64,0,45,0.24926731,297813.3242,3234629.733,297813.4488,3234629.733,297813.5735,3234629.733
65,0,45,50.06321984,297851.5992,3234629.733,297876.6308,3234629.733,297901.6624,3234629.733
66,0,46,21.59424415,297740.9278,3234631.733,297751.725,3234631.733,297762.5221,3234631.733
67,0,46,52.54806832,297850.781,3234631.733,297877.0551,3234631.733,297903.3291,3234631.733
68,0,47,22.71003363,297740.1278,3234633.733,297751.4829,3234633.733,297762.8379,3234633.733
69,0,47,55.03291681,297849.9628,3234633.733,297877.4793,3234633.733,297904.9958,3234633.733
70,0,48,23.33705859,297739.8166,3234635.733,297751.4851,3234635.733,297763.1537,3234635.733
71,0,48,57.51776529,297849.1447,3234635.733,297877.9035,3234635.733,297906.6624,3234635.733
72,0,49,23.65284807,297739.8166,3234637.733,297751.643,3234637.733,297763.4695,3234637.733
73,0,49,60.00261378,297848.3265,3234637.733,297878.3278,3234637.733,297908.3291,3234637.733
74,0,50,23.69848192,297739.8166,3234639.733,297751.6658,3234639.733,297763.5151,3234639.733
75,0,50,61.70809516,297848.3677,3234639.733,297879.2217,3234639.733,297910.0758,3234639.733
76,0,51,23.46771269,297739.8166,3234641.733,297751.5505,3234641.733,297763.2843,3234641.733
77,0,51,63.26054271,297849.2768,3234641.733,297880.907,3234641.733,297912.5373,3234641.733
78,0,52,24.09320705,297738.9603,3234643.733,297751.0069,3234643.733,297763.0536,3234643.733
79,0,52,64.81299027,297850.1859,3234643.733,297882.5923,3234643.733,297914.9988,3234643.733
80,0,53,25.19577115,297737.627,3234645.733,297750.2249,3234645.733,297762.8228,3234645.733
81,0,53,66.36543782,297851.0949,3234645.733,297884.2777,3234645.733,297917.4604,3234645.733
82,0,54,26.29833526,297736.2937,3234647.733,297749.4428,3234647.733,297762.592,3234647.733
83,0,54,67.91788537,297852.004,3234647.733,297885.963,3234647.733,297919.9219,3234647.733
84,0,55,27.19844978,297735.1628,3234649.733,297748.762,3234649.733,297762.3612,3234649.733
85,0,55,69.47033292,297852.9131,3234649.733,297887.6483,3234649.733,297922.3835,3234649.733
86,0,56,27.86768055,297734.2628,3234651.733,297748.1966,3234651.733,297762.1305,3234651.733
87,0,56,69.54248713,297853.8222,3234651.733,297888.5935,3234651.733,297923.3647,3234651.733
88,0,57,28.53412804,297733.3628,3234653.733,297747.6299,3234653.733,297761.8969,3234653.733
89,0,57,69.52228511,297854.7313,3234653.733,297889.4924,3234653.733,297924.2536,3234653.733
90,0,58,29.19883392,297732.4628,3234655.733,297747.0622,3234655.733,297761.6616,3234655.733
91,0,58,69.50208309,297855.6404,3234655.733,297890.3914,3234655.733,297925.1425,3234655.733
