,Number,Date,Time,Lat_st,Long_st,Lat_end,Long_end,station,transect
20,25,2/21/2019,41:28.0,29.26023972,-83.11074782,29.26012581,-83.11055749,LCO9C,4
19,24,2/21/2019,41:03.0,29.26025149,-83.11074029,29.26013463,-83.11054961,LCO9C,5
132,161,3/5/2019,35:04.0,29.25870607,-83.07754435,29.25848159,-83.07736953,LTI1,1
134,163,3/5/2019,39:39.0,29.25777425,-83.07653295,29.25766002,-83.07633753,LTI2,1
135,164,3/5/2019,42:51.0,29.25858696,-83.07532937,29.25824052,-83.07534813,LTI3,1
144,173,3/5/2019,55:54.0,29.2598184,-83.07576998,29.25950705,-83.07578364,LTI4,1
139,168,3/5/2019,48:34.0,29.25961697,-83.07658299,29.25961568,-83.07637512,LTI5,1
140,169,3/5/2019,49:14.0,29.25953947,-83.07654531,29.25953664,-83.07635028,LTI5,2
138,167,3/5/2019,47:30.0,29.25939165,-83.0767415,29.25938955,-83.07654487,LTI6,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
