"","Date.Time","Water.Level","Sigma","O","F","R","L","Quality"
"3029","2012-12-13 14:48",-0.253,0.007,0,0,0,0,"v"
"3030","2012-12-13 14:54",-0.177,0.01,0,0,0,0,"v"
"3031","2012-12-13 15:00",-0.108,0.01,0,0,0,0,"v"
"3032","2012-12-13 15:06",-0.046,0.01,0,0,0,0,"v"
"3234","2012-12-14 11:18",-0.02,0,1,0,0,0,"v"
"3235","2012-12-14 11:24",-0.128,0,1,0,0,0,"v"
"3236","2012-12-14 11:30",-0.24,0,1,0,0,0,"v"
"3237","2012-12-14 11:36",-0.282,0,1,0,0,0,"v"
"3238","2012-12-14 11:42",-0.44,0,1,0,0,0,"v"
"3239","2012-12-14 11:48",-0.509,0,1,0,1,0,"v"
"3240","2012-12-14 11:54",-0.581,0,1,0,0,0,"v"
"3241","2012-12-14 12:00",-0.653,0,1,0,0,0,"v"
"3242","2012-12-14 12:06",-0.686,0,1,0,0,0,"v"
"3243","2012-12-14 12:12",-0.843,0,1,0,0,0,"v"
"3244","2012-12-14 12:18",-0.86,0,1,0,1,0,"v"
"3245","2012-12-14 12:24",-0.942,0,1,0,1,0,"v"
"3246","2012-12-14 12:30",-0.978,0,1,0,0,0,"v"
"3247","2012-12-14 12:36",-1.047,0,1,0,0,0,"v"
"3248","2012-12-14 12:42",-1.145,0,1,0,0,0,"v"
"3249","2012-12-14 12:48",-1.145,0,1,0,0,0,"v"
"3250","2012-12-14 12:54",-1.25,0,1,0,1,0,"v"
"3251","2012-12-14 13:00",-1.237,0,1,0,1,0,"v"
"3252","2012-12-14 13:06",-1.263,0,1,0,0,0,"v"
"3253","2012-12-14 13:12",-1.227,0,1,0,0,0,"v"
"3254","2012-12-14 13:18",-1.302,0,1,0,0,0,"v"
"3255","2012-12-14 13:24",-1.306,0,1,0,0,0,"v"
"3256","2012-12-14 13:30",-1.263,0,1,0,0,0,"v"
"3257","2012-12-14 13:36",-1.263,0,1,0,0,0,"v"
"3258","2012-12-14 13:42",-1.237,0,1,0,0,0,"v"
"3259","2012-12-14 13:48",-1.309,0,1,0,0,0,"v"
"3260","2012-12-14 13:54",-1.266,0,1,0,1,0,"v"
"3261","2012-12-14 14:00",-1.25,0,1,0,0,0,"v"
"3262","2012-12-14 14:06",-1.204,0,1,0,0,0,"v"
"3263","2012-12-14 14:12",-1.132,0,1,0,0,0,"v"
"3264","2012-12-14 14:18",-1.142,0,1,0,0,0,"v"
"3265","2012-12-14 14:24",-1.083,0,1,0,0,0,"v"
"3266","2012-12-14 14:30",-1.014,0,1,0,0,0,"v"
"3267","2012-12-14 14:36",-1.01,0,1,0,0,0,"v"
"3268","2012-12-14 14:42",-0.938,0,1,0,0,0,"v"
"3269","2012-12-14 14:48",-0.82,0,1,0,0,0,"v"
"3270","2012-12-14 14:54",-0.748,0,1,0,0,0,"v"
"3271","2012-12-14 15:00",-0.669,0,1,0,0,0,"v"
"3272","2012-12-14 15:06",-0.627,0,1,0,0,0,"v"
"3273","2012-12-14 15:12",-0.535,0,1,0,0,0,"v"
"3274","2012-12-14 15:18",-0.456,0,1,0,0,0,"v"
"3275","2012-12-14 15:24",-0.312,0,1,0,0,0,"v"
"3276","2012-12-14 15:30",-0.384,0,1,0,1,0,"v"
"3277","2012-12-14 15:36",-0.282,0,1,0,1,0,"v"
"3278","2012-12-14 15:42",-0.217,0,1,0,1,0,"v"
"3279","2012-12-14 15:48",-0.016,0,1,0,0,0,"v"
"3491","2012-12-15 13:00",-0.112,0,1,0,0,0,"v"
"3492","2012-12-15 13:06",-0.272,0,1,0,0,0,"v"
"3493","2012-12-15 13:12",-0.22,0,1,0,1,0,"v"
"3494","2012-12-15 13:18",-0.23,0,1,0,1,0,"v"
"3495","2012-12-15 13:24",-0.269,0,1,0,0,0,"v"
"3496","2012-12-15 13:30",-0.338,0,1,0,0,0,"v"
"3497","2012-12-15 13:36",-0.354,0,1,0,0,0,"v"
"3498","2012-12-15 13:42",-0.377,0,1,0,0,0,"v"
"3499","2012-12-15 13:48",-0.299,0,1,0,0,0,"v"
"3500","2012-12-15 13:54",-0.285,0,1,0,0,0,"v"
"3501","2012-12-15 14:00",-0.459,0,1,0,0,0,"v"
"3502","2012-12-15 14:06",-0.509,0,1,0,1,0,"v"
