"","Date.Time","Water.Level","Sigma","O","F","R","L","Quality"
"19104","2013-12-18 14:18",-1.037,0.003,0,0,0,0,"v"
"19105","2013-12-18 14:24",-1.024,0.003,0,0,0,0,"v"
"19106","2013-12-18 14:30",-1.001,0.003,0,0,0,0,"v"
"22203","2013-12-31 12:12",-1.004,0.003,0,0,0,0,"v"
"22204","2013-12-31 12:18",-1.01,0.003,0,0,0,0,"v"
"22205","2013-12-31 12:24",-1.02,0.003,0,0,0,0,"v"
"22206","2013-12-31 12:30",-1.02,0,0,0,0,0,"v"
"22207","2013-12-31 12:36",-1.017,0.003,0,0,0,0,"v"
"22442","2014-01-01 12:06",-1.043,0.007,0,0,0,0,"v"
"22443","2014-01-01 12:12",-1.106,0.01,0,0,0,0,"v"
"22444","2014-01-01 12:18",-1.165,0.007,0,0,0,0,"v"
"22445","2014-01-01 12:24",-1.214,0.007,0,0,0,0,"v"
"22446","2014-01-01 12:30",-1.257,0.007,0,0,0,0,"v"
"22447","2014-01-01 12:36",-1.293,0.003,0,0,0,0,"v"
"22448","2014-01-01 12:42",-1.325,0.007,0,0,0,0,"v"
"22449","2014-01-01 12:48",-1.355,0.003,0,0,0,0,"v"
"22450","2014-01-01 12:54",-1.394,0.003,0,0,0,0,"v"
"22451","2014-01-01 13:00",-1.43,0.003,0,0,0,0,"v"
"22452","2014-01-01 13:06",-1.463,0.003,0,0,0,0,"v"
"22453","2014-01-01 13:12",-1.476,0.003,0,0,0,0,"v"
"22454","2014-01-01 13:18",-1.483,0.003,0,0,0,0,"v"
"22455","2014-01-01 13:24",-1.483,0.003,0,0,0,0,"v"
"22456","2014-01-01 13:30",-1.476,0.003,0,0,0,0,"v"
"22457","2014-01-01 13:36",-1.444,0.007,0,0,0,0,"v"
"22458","2014-01-01 13:42",-1.385,0.007,0,0,0,0,"v"
"22459","2014-01-01 13:48",-1.339,0.01,0,0,0,0,"v"
"22460","2014-01-01 13:54",-1.27,0.007,0,0,0,0,"v"
"22461","2014-01-01 14:00",-1.201,0.01,0,0,0,0,"v"
"22462","2014-01-01 14:06",-1.165,0.003,0,0,0,0,"v"
"22463","2014-01-01 14:12",-1.119,0.007,0,0,0,0,"v"
"22464","2014-01-01 14:18",-1.073,0.007,0,0,0,0,"v"
"22465","2014-01-01 14:24",-1.01,0.007,0,0,0,0,"v"
"22926","2014-01-03 12:30",-1.007,0.01,0,0,0,0,"v"
"22927","2014-01-03 12:36",-1.089,0.01,0,0,0,0,"v"
"22928","2014-01-03 12:42",-1.175,0.01,0,0,0,0,"v"
"22929","2014-01-03 12:48",-1.25,0.007,0,0,0,0,"v"
"22930","2014-01-03 12:54",-1.319,0.01,0,0,0,0,"v"
"22931","2014-01-03 13:00",-1.398,0.01,0,0,0,0,"v"
"22932","2014-01-03 13:06",-1.48,0.01,0,0,0,0,"v"
"22933","2014-01-03 13:12",-1.565,0.013,0,0,0,0,"v"
"22934","2014-01-03 13:18",-1.65,0.013,0,0,0,0,"v"
"22935","2014-01-03 13:24",-1.716,0.01,0,0,0,0,"v"
"22936","2014-01-03 13:30",-1.781,0.01,0,0,0,0,"v"
"22937","2014-01-03 13:36",-1.847,0.01,0,0,0,0,"v"
"22938","2014-01-03 13:42",-1.916,0.013,0,0,0,0,"v"
"22939","2014-01-03 13:48",-1.985,0.013,0,0,0,0,"v"
"22940","2014-01-03 13:54",-2.051,0.013,0,0,0,0,"v"
"22941","2014-01-03 14:00",-2.126,0.013,0,0,0,0,"v"
"22942","2014-01-03 14:06",-2.195,0.01,0,0,0,0,"v"
"22943","2014-01-03 14:12",-2.247,0.007,0,0,0,0,"v"
"22944","2014-01-03 14:18",-2.303,0.01,0,0,0,0,"v"
"22945","2014-01-03 14:24",-2.343,0.007,0,0,0,0,"v"
"22946","2014-01-03 14:30",-2.379,0.007,0,0,0,0,"v"
"22947","2014-01-03 14:36",-2.415,0.007,0,0,0,0,"v"
"22948","2014-01-03 14:42",-2.428,0.007,0,0,0,0,"v"
"22949","2014-01-03 14:48",-2.434,0.007,0,0,0,0,"v"
"22950","2014-01-03 14:54",-2.438,0.007,0,0,0,0,"v"
"22951","2014-01-03 15:00",-2.451,0.007,0,0,0,0,"v"
"22952","2014-01-03 15:06",-2.451,0.007,0,0,0,0,"v"
"22953","2014-01-03 15:12",-2.431,0.02,0,0,0,0,"v"
"22954","2014-01-03 15:18",-2.428,0.007,0,0,0,0,"v"
"22955","2014-01-03 15:24",-2.405,0.007,0,0,0,0,"v"
"22956","2014-01-03 15:30",-2.372,0.016,0,0,0,0,"v"
"22957","2014-01-03 15:36",-2.369,0.007,0,0,0,0,"v"
"22958","2014-01-03 15:42",-2.349,0.007,0,0,0,0,"v"
"22959","2014-01-03 15:48",-2.3,0.007,0,0,0,0,"v"
"22960","2014-01-03 15:54",-2.283,0.01,0,0,0,0,"v"
"22961","2014-01-03 16:00",-2.26,0.007,0,0,0,0,"v"
"22962","2014-01-03 16:06",-2.224,0.02,0,0,0,0,"v"
"22963","2014-01-03 16:12",-2.172,0.013,0,0,0,0,"v"
"22964","2014-01-03 16:18",-2.096,0.013,0,0,0,0,"v"
"22965","2014-01-03 16:24",-2.018,0.01,0,0,0,0,"v"
"22966","2014-01-03 16:30",-1.942,0.013,0,0,0,0,"v"
"22967","2014-01-03 16:36",-1.877,0.007,0,0,0,0,"v"
"22968","2014-01-03 16:42",-1.824,0.007,0,0,0,0,"v"
"22969","2014-01-03 16:48",-1.745,0.013,0,0,0,0,"v"
"22970","2014-01-03 16:54",-1.66,0.013,0,0,0,0,"v"
"22971","2014-01-03 17:00",-1.578,0.007,0,0,0,0,"v"
"22972","2014-01-03 17:06",-1.499,0.013,0,0,0,0,"v"
"22973","2014-01-03 17:12",-1.401,0.013,0,0,0,0,"v"
"22974","2014-01-03 17:18",-1.312,0.013,0,0,0,0,"v"
"22975","2014-01-03 17:24",-1.214,0.013,0,0,0,0,"v"
"22976","2014-01-03 17:30",-1.112,0.013,0,0,0,0,"v"
"22977","2014-01-03 17:36",-1.024,0.013,0,0,0,0,"v"
"26046","2014-01-16 12:30",-1.03,0.007,0,0,0,0,"v"
"26047","2014-01-16 12:36",-1.076,0.007,0,0,0,0,"v"
"26048","2014-01-16 12:42",-1.115,0.007,0,0,0,0,"v"
"26049","2014-01-16 12:48",-1.158,0.01,0,0,0,0,"v"
"26050","2014-01-16 12:54",-1.201,0.007,0,0,0,0,"v"
"26051","2014-01-16 13:00",-1.23,0.003,0,0,0,0,"v"
"26052","2014-01-16 13:06",-1.253,0.003,0,0,0,0,"v"
"26053","2014-01-16 13:12",-1.276,0.003,0,0,0,0,"v"
"26054","2014-01-16 13:18",-1.293,0.003,0,0,0,0,"v"
"26055","2014-01-16 13:24",-1.299,0,0,0,0,0,"v"
