FID,Id,POINT_X,POINT_Y
172,0,296706.322400000000000,3235391.632640000000000
173,0,296708.322400000000000,3235391.632640000000000
174,0,296710.322400000000000,3235391.632640000000000
175,0,296712.322400000000000,3235391.632640000000000
176,0,296702.322400000000000,3235393.632640000000000
177,0,296704.322400000000000,3235393.632640000000000
178,0,296706.322400000000000,3235393.632640000000000
179,0,296708.322400000000000,3235393.632640000000000
180,0,296710.322400000000000,3235393.632640000000000
181,0,296702.322400000000000,3235395.632640000000000
182,0,296704.322400000000000,3235395.632640000000000
183,0,296706.322400000000000,3235395.632640000000000
184,0,296708.322400000000000,3235395.632640000000000
185,0,296710.322400000000000,3235395.632640000000000
186,0,296700.322400000000000,3235397.632640000000000
187,0,296702.322400000000000,3235397.632640000000000
188,0,296704.322400000000000,3235397.632640000000000
189,0,296706.322400000000000,3235397.632640000000000
190,0,296708.322400000000000,3235397.632640000000000
191,0,296700.322400000000000,3235399.632640000000000
192,0,296702.322400000000000,3235399.632640000000000
193,0,296704.322400000000000,3235399.632640000000000
194,0,296706.322400000000000,3235399.632640000000000
195,0,296708.322400000000000,3235399.632640000000000
196,0,296698.322400000000000,3235401.632640000000000
197,0,296700.322400000000000,3235401.632640000000000
198,0,296702.322400000000000,3235401.632640000000000
199,0,296704.322400000000000,3235401.632640000000000
200,0,296706.322400000000000,3235401.632640000000000
201,0,296698.322400000000000,3235403.632640000000000
202,0,296700.322400000000000,3235403.632640000000000
203,0,296702.322400000000000,3235403.632640000000000
204,0,296704.322400000000000,3235403.632640000000000
205,0,296706.322400000000000,3235403.632640000000000
206,0,296696.322400000000000,3235405.632640000000000
207,0,296698.322400000000000,3235405.632640000000000
208,0,296700.322400000000000,3235405.632640000000000
209,0,296702.322400000000000,3235405.632640000000000
210,0,296704.322400000000000,3235405.632640000000000
211,0,296696.322400000000000,3235407.632640000000000
212,0,296698.322400000000000,3235407.632640000000000
213,0,296700.322400000000000,3235407.632640000000000
214,0,296702.322400000000000,3235407.632640000000000
215,0,296704.322400000000000,3235407.632640000000000
216,0,296694.322400000000000,3235409.632640000000000
217,0,296696.322400000000000,3235409.632640000000000
218,0,296698.322400000000000,3235409.632640000000000
219,0,296700.322400000000000,3235409.632640000000000
220,0,296702.322400000000000,3235409.632640000000000
221,0,296694.322400000000000,3235411.632640000000000
222,0,296696.322400000000000,3235411.632640000000000
223,0,296698.322400000000000,3235411.632640000000000
224,0,296700.322400000000000,3235411.632640000000000
225,0,296702.322400000000000,3235411.632640000000000
226,0,296692.322400000000000,3235413.632640000000000
227,0,296694.322400000000000,3235413.632640000000000
228,0,296696.322400000000000,3235413.632640000000000
229,0,296698.322400000000000,3235413.632640000000000
230,0,296700.322400000000000,3235413.632640000000000
231,0,296692.322400000000000,3235415.632640000000000
232,0,296694.322400000000000,3235415.632640000000000
233,0,296696.322400000000000,3235415.632640000000000
234,0,296698.322400000000000,3235415.632640000000000
235,0,296700.322400000000000,3235415.632640000000000
236,0,296690.322400000000000,3235417.632640000000000
237,0,296692.322400000000000,3235417.632640000000000
238,0,296694.322400000000000,3235417.632640000000000
239,0,296696.322400000000000,3235417.632640000000000
240,0,296698.322400000000000,3235417.632640000000000
241,0,296690.322400000000000,3235419.632640000000000
242,0,296692.322400000000000,3235419.632640000000000
243,0,296694.322400000000000,3235419.632640000000000
244,0,296696.322400000000000,3235419.632640000000000
245,0,296698.322400000000000,3235419.632640000000000
246,0,296688.322400000000000,3235421.632640000000000
247,0,296690.322400000000000,3235421.632640000000000
248,0,296692.322400000000000,3235421.632640000000000
249,0,296694.322400000000000,3235421.632640000000000
250,0,296696.322400000000000,3235421.632640000000000
251,0,296688.322400000000000,3235423.632640000000000
252,0,296690.322400000000000,3235423.632640000000000
253,0,296692.322400000000000,3235423.632640000000000
254,0,296694.322400000000000,3235423.632640000000000
255,0,296696.322400000000000,3235423.632640000000000
256,0,296686.322400000000000,3235425.632640000000000
257,0,296688.322400000000000,3235425.632640000000000
258,0,296690.322400000000000,3235425.632640000000000
259,0,296692.322400000000000,3235425.632640000000000
260,0,296694.322400000000000,3235425.632640000000000
261,0,296684.322400000000000,3235427.632640000000000
262,0,296686.322400000000000,3235427.632640000000000
263,0,296688.322400000000000,3235427.632640000000000
264,0,296690.322400000000000,3235427.632640000000000
265,0,296692.322400000000000,3235427.632640000000000
266,0,296694.322400000000000,3235427.632640000000000
267,0,296684.322400000000000,3235429.632640000000000
268,0,296686.322400000000000,3235429.632640000000000
269,0,296688.322400000000000,3235429.632640000000000
270,0,296690.322400000000000,3235429.632640000000000
271,0,296692.322400000000000,3235429.632640000000000
272,0,296682.322400000000000,3235431.632640000000000
273,0,296684.322400000000000,3235431.632640000000000
274,0,296686.322400000000000,3235431.632640000000000
275,0,296688.322400000000000,3235431.632640000000000
276,0,296690.322400000000000,3235431.632640000000000
277,0,296692.322400000000000,3235431.632640000000000
278,0,296682.322400000000000,3235433.632640000000000
279,0,296684.322400000000000,3235433.632640000000000
280,0,296686.322400000000000,3235433.632640000000000
281,0,296688.322400000000000,3235433.632640000000000
282,0,296690.322400000000000,3235433.632640000000000
283,0,296680.322400000000000,3235435.632640000000000
284,0,296682.322400000000000,3235435.632640000000000
285,0,296684.322400000000000,3235435.632640000000000
286,0,296686.322400000000000,3235435.632640000000000
287,0,296688.322400000000000,3235435.632640000000000
288,0,296690.322400000000000,3235435.632640000000000
289,0,296680.322400000000000,3235437.632640000000000
290,0,296682.322400000000000,3235437.632640000000000
291,0,296684.322400000000000,3235437.632640000000000
292,0,296686.322400000000000,3235437.632640000000000
293,0,296688.322400000000000,3235437.632640000000000
294,0,296678.322400000000000,3235439.632640000000000
295,0,296680.322400000000000,3235439.632640000000000
296,0,296682.322400000000000,3235439.632640000000000
297,0,296684.322400000000000,3235439.632640000000000
298,0,296686.322400000000000,3235439.632640000000000
299,0,296688.322400000000000,3235439.632640000000000
300,0,296678.322400000000000,3235441.632640000000000
301,0,296680.322400000000000,3235441.632640000000000
302,0,296682.322400000000000,3235441.632640000000000
303,0,296684.322400000000000,3235441.632640000000000
304,0,296686.322400000000000,3235441.632640000000000
305,0,296676.322400000000000,3235443.632640000000000
306,0,296678.322400000000000,3235443.632640000000000
307,0,296680.322400000000000,3235443.632640000000000
308,0,296682.322400000000000,3235443.632640000000000
309,0,296684.322400000000000,3235443.632640000000000
310,0,296676.322400000000000,3235445.632640000000000
311,0,296678.322400000000000,3235445.632640000000000
312,0,296680.322400000000000,3235445.632640000000000
313,0,296682.322400000000000,3235445.632640000000000
314,0,296684.322400000000000,3235445.632640000000000
315,0,296674.322400000000000,3235447.632640000000000
316,0,296676.322400000000000,3235447.632640000000000
317,0,296678.322400000000000,3235447.632640000000000
318,0,296680.322400000000000,3235447.632640000000000
319,0,296682.322400000000000,3235447.632640000000000
320,0,296674.322400000000000,3235449.632640000000000
321,0,296676.322400000000000,3235449.632640000000000
322,0,296678.322400000000000,3235449.632640000000000
323,0,296680.322400000000000,3235449.632640000000000
324,0,296682.322400000000000,3235449.632640000000000
325,0,296672.322400000000000,3235451.632640000000000
326,0,296674.322400000000000,3235451.632640000000000
327,0,296676.322400000000000,3235451.632640000000000
328,0,296678.322400000000000,3235451.632640000000000
329,0,296680.322400000000000,3235451.632640000000000
330,0,296672.322400000000000,3235453.632640000000000
331,0,296674.322400000000000,3235453.632640000000000
332,0,296676.322400000000000,3235453.632640000000000
333,0,296678.322400000000000,3235453.632640000000000
334,0,296680.322400000000000,3235453.632640000000000
335,0,296670.322400000000000,3235455.632640000000000
336,0,296672.322400000000000,3235455.632640000000000
337,0,296674.322400000000000,3235455.632640000000000
338,0,296676.322400000000000,3235455.632640000000000
339,0,296678.322400000000000,3235455.632640000000000
340,0,296670.322400000000000,3235457.632640000000000
341,0,296672.322400000000000,3235457.632640000000000
342,0,296674.322400000000000,3235457.632640000000000
343,0,296676.322400000000000,3235457.632640000000000
344,0,296678.322400000000000,3235457.632640000000000
345,0,296668.322400000000000,3235459.632640000000000
346,0,296670.322400000000000,3235459.632640000000000
347,0,296672.322400000000000,3235459.632640000000000
348,0,296674.322400000000000,3235459.632640000000000
349,0,296676.322400000000000,3235459.632640000000000
350,0,296668.322400000000000,3235461.632640000000000
351,0,296670.322400000000000,3235461.632640000000000
352,0,296672.322400000000000,3235461.632640000000000
353,0,296674.322400000000000,3235461.632640000000000
354,0,296676.322400000000000,3235461.632640000000000
355,0,296666.322400000000000,3235463.632640000000000
356,0,296668.322400000000000,3235463.632640000000000
357,0,296670.322400000000000,3235463.632640000000000
358,0,296672.322400000000000,3235463.632640000000000
359,0,296674.322400000000000,3235463.632640000000000
360,0,296666.322400000000000,3235465.632640000000000
361,0,296668.322400000000000,3235465.632640000000000
362,0,296670.322400000000000,3235465.632640000000000
363,0,296672.322400000000000,3235465.632640000000000
364,0,296674.322400000000000,3235465.632640000000000
365,0,296664.322400000000000,3235467.632640000000000
366,0,296666.322400000000000,3235467.632640000000000
367,0,296668.322400000000000,3235467.632640000000000
368,0,296670.322400000000000,3235467.632640000000000
369,0,296672.322400000000000,3235467.632640000000000
370,0,296664.322400000000000,3235469.632640000000000
371,0,296666.322400000000000,3235469.632640000000000
372,0,296668.322400000000000,3235469.632640000000000
373,0,296670.322400000000000,3235469.632640000000000
374,0,296672.322400000000000,3235469.632640000000000
375,0,296662.322400000000000,3235471.632640000000000
376,0,296664.322400000000000,3235471.632640000000000
377,0,296666.322400000000000,3235471.632640000000000
378,0,296668.322400000000000,3235471.632640000000000
379,0,296670.322400000000000,3235471.632640000000000
380,0,296662.322400000000000,3235473.632640000000000
381,0,296664.322400000000000,3235473.632640000000000
382,0,296666.322400000000000,3235473.632640000000000
383,0,296668.322400000000000,3235473.632640000000000
384,0,296670.322400000000000,3235473.632640000000000
385,0,296660.322400000000000,3235475.632640000000000
386,0,296662.322400000000000,3235475.632640000000000
387,0,296664.322400000000000,3235475.632640000000000
388,0,296666.322400000000000,3235475.632640000000000
389,0,296668.322400000000000,3235475.632640000000000
390,0,296658.322400000000000,3235477.632640000000000
391,0,296660.322400000000000,3235477.632640000000000
392,0,296662.322400000000000,3235477.632640000000000
393,0,296664.322400000000000,3235477.632640000000000
394,0,296666.322400000000000,3235477.632640000000000
395,0,296668.322400000000000,3235477.632640000000000
396,0,296658.322400000000000,3235479.632640000000000
397,0,296660.322400000000000,3235479.632640000000000
398,0,296662.322400000000000,3235479.632640000000000
399,0,296664.322400000000000,3235479.632640000000000
400,0,296666.322400000000000,3235479.632640000000000
401,0,296656.322400000000000,3235481.632640000000000
402,0,296658.322400000000000,3235481.632640000000000
403,0,296660.322400000000000,3235481.632640000000000
404,0,296662.322400000000000,3235481.632640000000000
405,0,296664.322400000000000,3235481.632640000000000
406,0,296666.322400000000000,3235481.632640000000000
407,0,296656.322400000000000,3235483.632640000000000
408,0,296658.322400000000000,3235483.632640000000000
409,0,296660.322400000000000,3235483.632640000000000
410,0,296662.322400000000000,3235483.632640000000000
411,0,296664.322400000000000,3235483.632640000000000
412,0,296654.322400000000000,3235485.632640000000000
413,0,296656.322400000000000,3235485.632640000000000
414,0,296658.322400000000000,3235485.632640000000000
415,0,296660.322400000000000,3235485.632640000000000
416,0,296662.322400000000000,3235485.632640000000000
417,0,296664.322400000000000,3235485.632640000000000
418,0,296654.322400000000000,3235487.632640000000000
419,0,296656.322400000000000,3235487.632640000000000
420,0,296658.322400000000000,3235487.632640000000000
421,0,296660.322400000000000,3235487.632640000000000
422,0,296662.322400000000000,3235487.632640000000000
423,0,296652.322400000000000,3235489.632640000000000
424,0,296654.322400000000000,3235489.632640000000000
425,0,296656.322400000000000,3235489.632640000000000
426,0,296658.322400000000000,3235489.632640000000000
427,0,296660.322400000000000,3235489.632640000000000
428,0,296662.322400000000000,3235489.632640000000000
429,0,296652.322400000000000,3235491.632640000000000
430,0,296654.322400000000000,3235491.632640000000000
431,0,296656.322400000000000,3235491.632640000000000
432,0,296658.322400000000000,3235491.632640000000000
433,0,296660.322400000000000,3235491.632640000000000
434,0,296650.322400000000000,3235493.632640000000000
435,0,296652.322400000000000,3235493.632640000000000
436,0,296654.322400000000000,3235493.632640000000000
437,0,296656.322400000000000,3235493.632640000000000
438,0,296658.322400000000000,3235493.632640000000000
439,0,296650.322400000000000,3235495.632640000000000
440,0,296652.322400000000000,3235495.632640000000000
441,0,296654.322400000000000,3235495.632640000000000
442,0,296656.322400000000000,3235495.632640000000000
443,0,296658.322400000000000,3235495.632640000000000
444,0,296648.322400000000000,3235497.632640000000000
445,0,296650.322400000000000,3235497.632640000000000
446,0,296652.322400000000000,3235497.632640000000000
447,0,296654.322400000000000,3235497.632640000000000
448,0,296656.322400000000000,3235497.632640000000000
449,0,296648.322400000000000,3235499.632640000000000
450,0,296650.322400000000000,3235499.632640000000000
451,0,296652.322400000000000,3235499.632640000000000
452,0,296654.322400000000000,3235499.632640000000000
453,0,296656.322400000000000,3235499.632640000000000
454,0,296646.322400000000000,3235501.632640000000000
455,0,296648.322400000000000,3235501.632640000000000
456,0,296650.322400000000000,3235501.632640000000000
457,0,296652.322400000000000,3235501.632640000000000
458,0,296654.322400000000000,3235501.632640000000000
459,0,296646.322400000000000,3235503.632640000000000
460,0,296648.322400000000000,3235503.632640000000000
461,0,296650.322400000000000,3235503.632640000000000
462,0,296652.322400000000000,3235503.632640000000000
463,0,296654.322400000000000,3235503.632640000000000
464,0,296644.322400000000000,3235505.632640000000000
465,0,296646.322400000000000,3235505.632640000000000
466,0,296648.322400000000000,3235505.632640000000000
467,0,296650.322400000000000,3235505.632640000000000
468,0,296652.322400000000000,3235505.632640000000000
469,0,296644.322400000000000,3235507.632640000000000
470,0,296646.322400000000000,3235507.632640000000000
471,0,296648.322400000000000,3235507.632640000000000
472,0,296650.322400000000000,3235507.632640000000000
473,0,296652.322400000000000,3235507.632640000000000
474,0,296642.322400000000000,3235509.632640000000000
475,0,296644.322400000000000,3235509.632640000000000
476,0,296646.322400000000000,3235509.632640000000000
477,0,296648.322400000000000,3235509.632640000000000
478,0,296650.322400000000000,3235509.632640000000000
479,0,296642.322400000000000,3235511.632640000000000
480,0,296644.322400000000000,3235511.632640000000000
481,0,296646.322400000000000,3235511.632640000000000
482,0,296648.322400000000000,3235511.632640000000000
483,0,296650.322400000000000,3235511.632640000000000
484,0,296640.322400000000000,3235513.632640000000000
485,0,296642.322400000000000,3235513.632640000000000
486,0,296644.322400000000000,3235513.632640000000000
487,0,296646.322400000000000,3235513.632640000000000
488,0,296648.322400000000000,3235513.632640000000000
489,0,296640.322400000000000,3235515.632640000000000
490,0,296642.322400000000000,3235515.632640000000000
491,0,296644.322400000000000,3235515.632640000000000
492,0,296646.322400000000000,3235515.632640000000000
493,0,296648.322400000000000,3235515.632640000000000
494,0,296638.322400000000000,3235517.632640000000000
495,0,296640.322400000000000,3235517.632640000000000
496,0,296642.322400000000000,3235517.632640000000000
497,0,296644.322400000000000,3235517.632640000000000
498,0,296646.322400000000000,3235517.632640000000000
499,0,296638.322400000000000,3235519.632640000000000
500,0,296640.322400000000000,3235519.632640000000000
501,0,296642.322400000000000,3235519.632640000000000
502,0,296644.322400000000000,3235519.632640000000000
503,0,296646.322400000000000,3235519.632640000000000
504,0,296636.322400000000000,3235521.632640000000000
505,0,296638.322400000000000,3235521.632640000000000
506,0,296640.322400000000000,3235521.632640000000000
507,0,296642.322400000000000,3235521.632640000000000
508,0,296644.322400000000000,3235521.632640000000000
509,0,296636.322400000000000,3235523.632640000000000
510,0,296638.322400000000000,3235523.632640000000000
511,0,296640.322400000000000,3235523.632640000000000
512,0,296642.322400000000000,3235523.632640000000000
513,0,296644.322400000000000,3235523.632640000000000
514,0,296634.322400000000000,3235525.632640000000000
515,0,296636.322400000000000,3235525.632640000000000
516,0,296638.322400000000000,3235525.632640000000000
517,0,296640.322400000000000,3235525.632640000000000
518,0,296642.322400000000000,3235525.632640000000000
519,0,296632.322400000000000,3235527.632640000000000
520,0,296634.322400000000000,3235527.632640000000000
521,0,296636.322400000000000,3235527.632640000000000
522,0,296638.322400000000000,3235527.632640000000000
523,0,296640.322400000000000,3235527.632640000000000
524,0,296642.322400000000000,3235527.632640000000000
525,0,296632.322400000000000,3235529.632640000000000
526,0,296634.322400000000000,3235529.632640000000000
527,0,296636.322400000000000,3235529.632640000000000
528,0,296638.322400000000000,3235529.632640000000000
529,0,296640.322400000000000,3235529.632640000000000
530,0,296630.322400000000000,3235531.632640000000000
531,0,296632.322400000000000,3235531.632640000000000
532,0,296634.322400000000000,3235531.632640000000000
533,0,296636.322400000000000,3235531.632640000000000
534,0,296638.322400000000000,3235531.632640000000000
535,0,296640.322400000000000,3235531.632640000000000
536,0,296630.322400000000000,3235533.632640000000000
537,0,296632.322400000000000,3235533.632640000000000
538,0,296634.322400000000000,3235533.632640000000000
539,0,296636.322400000000000,3235533.632640000000000
540,0,296638.322400000000000,3235533.632640000000000
541,0,296634.322400000000000,3235535.632640000000000
542,0,296636.322400000000000,3235535.632640000000000
543,0,296638.322400000000000,3235535.632640000000000
544,0,296584.322400000000000,3235577.632640000000000
545,0,296586.322400000000000,3235577.632640000000000
546,0,296584.322400000000000,3235579.632640000000000
547,0,296586.322400000000000,3235579.632640000000000
548,0,296588.322400000000000,3235579.632640000000000
549,0,296590.322400000000000,3235579.632640000000000
550,0,296582.322400000000000,3235581.632640000000000
551,0,296584.322400000000000,3235581.632640000000000
552,0,296586.322400000000000,3235581.632640000000000
553,0,296588.322400000000000,3235581.632640000000000
554,0,296590.322400000000000,3235581.632640000000000
555,0,296582.322400000000000,3235583.632640000000000
556,0,296584.322400000000000,3235583.632640000000000
557,0,296586.322400000000000,3235583.632640000000000
558,0,296588.322400000000000,3235583.632640000000000
559,0,296590.322400000000000,3235583.632640000000000
560,0,296580.322400000000000,3235585.632640000000000
561,0,296582.322400000000000,3235585.632640000000000
562,0,296584.322400000000000,3235585.632640000000000
563,0,296586.322400000000000,3235585.632640000000000
564,0,296588.322400000000000,3235585.632640000000000
565,0,296580.322400000000000,3235587.632640000000000
566,0,296582.322400000000000,3235587.632640000000000
567,0,296584.322400000000000,3235587.632640000000000
568,0,296586.322400000000000,3235587.632640000000000
569,0,296588.322400000000000,3235587.632640000000000
570,0,296578.322400000000000,3235589.632640000000000
571,0,296580.322400000000000,3235589.632640000000000
572,0,296582.322400000000000,3235589.632640000000000
573,0,296584.322400000000000,3235589.632640000000000
574,0,296586.322400000000000,3235589.632640000000000
575,0,296578.322400000000000,3235591.632640000000000
576,0,296580.322400000000000,3235591.632640000000000
577,0,296582.322400000000000,3235591.632640000000000
578,0,296584.322400000000000,3235591.632640000000000
579,0,296586.322400000000000,3235591.632640000000000
580,0,296576.322400000000000,3235593.632640000000000
581,0,296578.322400000000000,3235593.632640000000000
582,0,296580.322400000000000,3235593.632640000000000
583,0,296582.322400000000000,3235593.632640000000000
584,0,296584.322400000000000,3235593.632640000000000
585,0,296576.322400000000000,3235595.632640000000000
586,0,296578.322400000000000,3235595.632640000000000
587,0,296580.322400000000000,3235595.632640000000000
588,0,296582.322400000000000,3235595.632640000000000
589,0,296584.322400000000000,3235595.632640000000000
590,0,296574.322400000000000,3235597.632640000000000
591,0,296576.322400000000000,3235597.632640000000000
592,0,296578.322400000000000,3235597.632640000000000
593,0,296580.322400000000000,3235597.632640000000000
594,0,296582.322400000000000,3235597.632640000000000
595,0,296574.322400000000000,3235599.632640000000000
596,0,296576.322400000000000,3235599.632640000000000
597,0,296578.322400000000000,3235599.632640000000000
598,0,296580.322400000000000,3235599.632640000000000
599,0,296582.322400000000000,3235599.632640000000000
600,0,296572.322400000000000,3235601.632640000000000
601,0,296574.322400000000000,3235601.632640000000000
602,0,296576.322400000000000,3235601.632640000000000
603,0,296578.322400000000000,3235601.632640000000000
604,0,296580.322400000000000,3235601.632640000000000
605,0,296572.322400000000000,3235603.632640000000000
