FID,Id,POINT_X,POINT_Y,STATION
132,0,296720.3224,3235375.633,LCO22
133,0,296710.3224,3235377.633,LCO22
134,0,296712.3224,3235377.633,LCO22
135,0,296714.3224,3235377.633,LCO22
136,0,296716.3224,3235377.633,LCO22
137,0,296718.3224,3235377.633,LCO22
138,0,296720.3224,3235377.633,LCO22
139,0,296710.3224,3235379.633,LCO22
140,0,296712.3224,3235379.633,LCO22
141,0,296714.3224,3235379.633,LCO22
142,0,296716.3224,3235379.633,LCO22
143,0,296718.3224,3235379.633,LCO22
144,0,296708.3224,3235381.633,LCO22
145,0,296710.3224,3235381.633,LCO22
146,0,296712.3224,3235381.633,LCO22
147,0,296714.3224,3235381.633,LCO22
148,0,296716.3224,3235381.633,LCO22
149,0,296718.3224,3235381.633,LCO22
150,0,296708.3224,3235383.633,LCO22
151,0,296710.3224,3235383.633,LCO22
152,0,296712.3224,3235383.633,LCO22
153,0,296714.3224,3235383.633,LCO22
154,0,296716.3224,3235383.633,LCO22
155,0,296706.3224,3235385.633,LCO22
156,0,296708.3224,3235385.633,LCO22
157,0,296710.3224,3235385.633,LCO22
158,0,296712.3224,3235385.633,LCO22
159,0,296714.3224,3235385.633,LCO22
160,0,296716.3224,3235385.633,LCO22
161,0,296706.3224,3235387.633,LCO22
162,0,296708.3224,3235387.633,LCO22
163,0,296710.3224,3235387.633,LCO22
164,0,296712.3224,3235387.633,LCO22
165,0,296714.3224,3235387.633,LCO22
166,0,296704.3224,3235389.633,LCO22
167,0,296706.3224,3235389.633,LCO22
168,0,296708.3224,3235389.633,LCO22
169,0,296710.3224,3235389.633,LCO22
170,0,296712.3224,3235389.633,LCO22
171,0,296704.3224,3235391.633,LCO22
172,0,296706.3224,3235391.633,LCO22
173,0,296708.3224,3235391.633,LCO22
174,0,296710.3224,3235391.633,LCO22
175,0,296712.3224,3235391.633,LCO22
176,0,296702.3224,3235393.633,LCO22
177,0,296704.3224,3235393.633,LCO22
178,0,296706.3224,3235393.633,LCO22
179,0,296708.3224,3235393.633,LCO22
180,0,296710.3224,3235393.633,LCO22
181,0,296702.3224,3235395.633,LCO22
182,0,296704.3224,3235395.633,LCO22
183,0,296706.3224,3235395.633,LCO22
184,0,296708.3224,3235395.633,LCO22
185,0,296710.3224,3235395.633,LCO22
186,0,296700.3224,3235397.633,LCO22
187,0,296702.3224,3235397.633,LCO22
188,0,296704.3224,3235397.633,LCO22
189,0,296706.3224,3235397.633,LCO22
190,0,296708.3224,3235397.633,LCO22
191,0,296700.3224,3235399.633,LCO22
192,0,296702.3224,3235399.633,LCO22
193,0,296704.3224,3235399.633,LCO22
194,0,296706.3224,3235399.633,LCO22
195,0,296708.3224,3235399.633,LCO22
196,0,296698.3224,3235401.633,LCO22
197,0,296700.3224,3235401.633,LCO22
198,0,296702.3224,3235401.633,LCO22
199,0,296704.3224,3235401.633,LCO22
200,0,296706.3224,3235401.633,LCO22
201,0,296698.3224,3235403.633,LCO22
202,0,296700.3224,3235403.633,LCO22
203,0,296702.3224,3235403.633,LCO22
