FID,Id,station,POINT_X,POINT_Y
288,0,LCI26,298367.4375,3235162.733
289,0,LCI26,298369.4375,3235162.733
290,0,LCI26,298371.4375,3235162.733
291,0,LCI26,298355.4375,3235164.733
292,0,LCI26,298357.4375,3235164.733
293,0,LCI26,298359.4375,3235164.733
294,0,LCI26,298361.4375,3235164.733
295,0,LCI26,298363.4375,3235164.733
296,0,LCI26,298365.4375,3235164.733
297,0,LCI26,298367.4375,3235164.733
298,0,LCI26,298369.4375,3235164.733
299,0,LCI26,298371.4375,3235164.733
300,0,LCI26,298353.4375,3235166.733
301,0,LCI26,298355.4375,3235166.733
302,0,LCI26,298357.4375,3235166.733
303,0,LCI26,298359.4375,3235166.733
304,0,LCI26,298361.4375,3235166.733
305,0,LCI26,298363.4375,3235166.733
306,0,LCI26,298365.4375,3235166.733
307,0,LCI26,298367.4375,3235166.733
308,0,LCI26,298369.4375,3235166.733
309,0,LCI26,298371.4375,3235166.733
310,0,LCI26,298349.4375,3235168.733
311,0,LCI26,298351.4375,3235168.733
312,0,LCI26,298353.4375,3235168.733
313,0,LCI26,298355.4375,3235168.733
314,0,LCI26,298357.4375,3235168.733
315,0,LCI26,298359.4375,3235168.733
316,0,LCI26,298361.4375,3235168.733
317,0,LCI26,298363.4375,3235168.733
318,0,LCI26,298365.4375,3235168.733
319,0,LCI26,298367.4375,3235168.733
320,0,LCI26,298369.4375,3235168.733
321,0,LCI26,298371.4375,3235168.733
322,0,LCI26,298347.4375,3235170.733
323,0,LCI26,298349.4375,3235170.733
324,0,LCI26,298351.4375,3235170.733
325,0,LCI26,298353.4375,3235170.733
326,0,LCI26,298355.4375,3235170.733
327,0,LCI26,298357.4375,3235170.733
328,0,LCI26,298359.4375,3235170.733
329,0,LCI26,298361.4375,3235170.733
330,0,LCI26,298363.4375,3235170.733
331,0,LCI26,298365.4375,3235170.733
332,0,LCI26,298367.4375,3235170.733
333,0,LCI26,298369.4375,3235170.733
334,0,LCI26,298371.4375,3235170.733
335,0,LCI26,298347.4375,3235172.733
336,0,LCI26,298349.4375,3235172.733
337,0,LCI26,298351.4375,3235172.733
338,0,LCI26,298353.4375,3235172.733
339,0,LCI26,298355.4375,3235172.733
340,0,LCI26,298357.4375,3235172.733
341,0,LCI26,298359.4375,3235172.733
342,0,LCI26,298361.4375,3235172.733
343,0,LCI26,298363.4375,3235172.733
344,0,LCI26,298365.4375,3235172.733
345,0,LCI26,298367.4375,3235172.733
346,0,LCI26,298369.4375,3235172.733
347,0,LCI26,298371.4375,3235172.733
348,0,LCI26,298345.4375,3235174.733
349,0,LCI26,298347.4375,3235174.733
350,0,LCI26,298349.4375,3235174.733
351,0,LCI26,298351.4375,3235174.733
352,0,LCI26,298353.4375,3235174.733
353,0,LCI26,298355.4375,3235174.733
354,0,LCI26,298357.4375,3235174.733
355,0,LCI26,298359.4375,3235174.733
356,0,LCI26,298361.4375,3235174.733
357,0,LCI26,298363.4375,3235174.733
358,0,LCI26,298365.4375,3235174.733
359,0,LCI26,298367.4375,3235174.733
360,0,LCI26,298369.4375,3235174.733
361,0,LCI26,298371.4375,3235174.733
362,0,LCI26,298345.4375,3235176.733
363,0,LCI26,298347.4375,3235176.733
364,0,LCI26,298349.4375,3235176.733
365,0,LCI26,298351.4375,3235176.733
366,0,LCI26,298353.4375,3235176.733
367,0,LCI26,298355.4375,3235176.733
368,0,LCI26,298357.4375,3235176.733
369,0,LCI26,298359.4375,3235176.733
370,0,LCI26,298361.4375,3235176.733
371,0,LCI26,298363.4375,3235176.733
372,0,LCI26,298365.4375,3235176.733
373,0,LCI26,298367.4375,3235176.733
374,0,LCI26,298369.4375,3235176.733
375,0,LCI26,298371.4375,3235176.733
376,0,LCI26,298343.4375,3235178.733
377,0,LCI26,298345.4375,3235178.733
378,0,LCI26,298347.4375,3235178.733
379,0,LCI26,298349.4375,3235178.733
380,0,LCI26,298351.4375,3235178.733
381,0,LCI26,298353.4375,3235178.733
382,0,LCI26,298355.4375,3235178.733
383,0,LCI26,298357.4375,3235178.733
384,0,LCI26,298359.4375,3235178.733
385,0,LCI26,298361.4375,3235178.733
386,0,LCI26,298363.4375,3235178.733
387,0,LCI26,298365.4375,3235178.733
388,0,LCI26,298367.4375,3235178.733
389,0,LCI26,298369.4375,3235178.733
390,0,LCI26,298343.4375,3235180.733
391,0,LCI26,298345.4375,3235180.733
392,0,LCI26,298347.4375,3235180.733
393,0,LCI26,298349.4375,3235180.733
394,0,LCI26,298351.4375,3235180.733
395,0,LCI26,298353.4375,3235180.733
396,0,LCI26,298355.4375,3235180.733
397,0,LCI26,298357.4375,3235180.733
398,0,LCI26,298359.4375,3235180.733
399,0,LCI26,298361.4375,3235180.733
400,0,LCI26,298363.4375,3235180.733
401,0,LCI26,298365.4375,3235180.733
402,0,LCI26,298367.4375,3235180.733
403,0,LCI26,298369.4375,3235180.733
404,0,LCI26,298343.4375,3235182.733
405,0,LCI26,298345.4375,3235182.733
406,0,LCI26,298347.4375,3235182.733
407,0,LCI26,298349.4375,3235182.733
408,0,LCI26,298351.4375,3235182.733
409,0,LCI26,298353.4375,3235182.733
410,0,LCI26,298355.4375,3235182.733
411,0,LCI26,298357.4375,3235182.733
412,0,LCI26,298359.4375,3235182.733
413,0,LCI26,298361.4375,3235182.733
414,0,LCI26,298363.4375,3235182.733
415,0,LCI26,298365.4375,3235182.733
416,0,LCI26,298367.4375,3235182.733
417,0,LCI26,298369.4375,3235182.733
418,0,LCI26,298341.4375,3235184.733
419,0,LCI26,298343.4375,3235184.733
420,0,LCI26,298345.4375,3235184.733
421,0,LCI26,298347.4375,3235184.733
422,0,LCI26,298349.4375,3235184.733
423,0,LCI26,298351.4375,3235184.733
424,0,LCI26,298353.4375,3235184.733
425,0,LCI26,298355.4375,3235184.733
426,0,LCI26,298357.4375,3235184.733
427,0,LCI26,298359.4375,3235184.733
428,0,LCI26,298361.4375,3235184.733
429,0,LCI26,298363.4375,3235184.733
430,0,LCI26,298365.4375,3235184.733
431,0,LCI26,298367.4375,3235184.733
432,0,LCI26,298369.4375,3235184.733
433,0,LCI26,298305.4375,3235186.733
434,0,LCI26,298307.4375,3235186.733
435,0,LCI26,298309.4375,3235186.733
436,0,LCI26,298311.4375,3235186.733
437,0,LCI26,298313.4375,3235186.733
438,0,LCI26,298315.4375,3235186.733
439,0,LCI26,298317.4375,3235186.733
440,0,LCI26,298319.4375,3235186.733
441,0,LCI26,298321.4375,3235186.733
442,0,LCI26,298323.4375,3235186.733
443,0,LCI26,298339.4375,3235186.733
444,0,LCI26,298341.4375,3235186.733
445,0,LCI26,298343.4375,3235186.733
446,0,LCI26,298345.4375,3235186.733
447,0,LCI26,298347.4375,3235186.733
448,0,LCI26,298349.4375,3235186.733
449,0,LCI26,298351.4375,3235186.733
450,0,LCI26,298353.4375,3235186.733
451,0,LCI26,298355.4375,3235186.733
452,0,LCI26,298357.4375,3235186.733
453,0,LCI26,298359.4375,3235186.733
454,0,LCI26,298361.4375,3235186.733
455,0,LCI26,298363.4375,3235186.733
456,0,LCI26,298365.4375,3235186.733
457,0,LCI26,298367.4375,3235186.733
458,0,LCI26,298301.4375,3235188.733
459,0,LCI26,298303.4375,3235188.733
460,0,LCI26,298305.4375,3235188.733
461,0,LCI26,298307.4375,3235188.733
462,0,LCI26,298309.4375,3235188.733
463,0,LCI26,298311.4375,3235188.733
464,0,LCI26,298313.4375,3235188.733
465,0,LCI26,298315.4375,3235188.733
466,0,LCI26,298317.4375,3235188.733
467,0,LCI26,298319.4375,3235188.733
468,0,LCI26,298321.4375,3235188.733
469,0,LCI26,298323.4375,3235188.733
470,0,LCI26,298325.4375,3235188.733
471,0,LCI26,298327.4375,3235188.733
472,0,LCI26,298337.4375,3235188.733
473,0,LCI26,298339.4375,3235188.733
474,0,LCI26,298341.4375,3235188.733
475,0,LCI26,298343.4375,3235188.733
476,0,LCI26,298345.4375,3235188.733
477,0,LCI26,298347.4375,3235188.733
478,0,LCI26,298349.4375,3235188.733
479,0,LCI26,298351.4375,3235188.733
480,0,LCI26,298353.4375,3235188.733
481,0,LCI26,298355.4375,3235188.733
482,0,LCI26,298357.4375,3235188.733
483,0,LCI26,298359.4375,3235188.733
484,0,LCI26,298361.4375,3235188.733
485,0,LCI26,298363.4375,3235188.733
486,0,LCI26,298365.4375,3235188.733
487,0,LCI26,298367.4375,3235188.733
488,0,LCI26,298299.4375,3235190.733
489,0,LCI26,298301.4375,3235190.733
490,0,LCI26,298303.4375,3235190.733
491,0,LCI26,298305.4375,3235190.733
492,0,LCI26,298307.4375,3235190.733
493,0,LCI26,298309.4375,3235190.733
494,0,LCI26,298311.4375,3235190.733
495,0,LCI26,298313.4375,3235190.733
496,0,LCI26,298315.4375,3235190.733
497,0,LCI26,298317.4375,3235190.733
498,0,LCI26,298319.4375,3235190.733
499,0,LCI26,298321.4375,3235190.733
500,0,LCI26,298323.4375,3235190.733
501,0,LCI26,298325.4375,3235190.733
502,0,LCI26,298327.4375,3235190.733
503,0,LCI26,298329.4375,3235190.733
504,0,LCI26,298331.4375,3235190.733
505,0,LCI26,298335.4375,3235190.733
506,0,LCI26,298337.4375,3235190.733
507,0,LCI26,298339.4375,3235190.733
508,0,LCI26,298341.4375,3235190.733
509,0,LCI26,298343.4375,3235190.733
510,0,LCI26,298345.4375,3235190.733
511,0,LCI26,298347.4375,3235190.733
512,0,LCI26,298349.4375,3235190.733
513,0,LCI26,298351.4375,3235190.733
514,0,LCI26,298353.4375,3235190.733
515,0,LCI26,298355.4375,3235190.733
516,0,LCI26,298357.4375,3235190.733
517,0,LCI26,298359.4375,3235190.733
518,0,LCI26,298361.4375,3235190.733
519,0,LCI26,298363.4375,3235190.733
520,0,LCI26,298365.4375,3235190.733
521,0,LCI26,298299.4375,3235192.733
522,0,LCI26,298301.4375,3235192.733
523,0,LCI26,298303.4375,3235192.733
524,0,LCI26,298305.4375,3235192.733
525,0,LCI26,298307.4375,3235192.733
526,0,LCI26,298309.4375,3235192.733
527,0,LCI26,298311.4375,3235192.733
528,0,LCI26,298313.4375,3235192.733
529,0,LCI26,298315.4375,3235192.733
530,0,LCI26,298317.4375,3235192.733
531,0,LCI26,298319.4375,3235192.733
532,0,LCI26,298321.4375,3235192.733
533,0,LCI26,298323.4375,3235192.733
534,0,LCI26,298325.4375,3235192.733
535,0,LCI26,298327.4375,3235192.733
536,0,LCI26,298329.4375,3235192.733
537,0,LCI26,298331.4375,3235192.733
538,0,LCI26,298333.4375,3235192.733
539,0,LCI26,298335.4375,3235192.733
540,0,LCI26,298337.4375,3235192.733
541,0,LCI26,298339.4375,3235192.733
542,0,LCI26,298341.4375,3235192.733
543,0,LCI26,298343.4375,3235192.733
544,0,LCI26,298345.4375,3235192.733
545,0,LCI26,298347.4375,3235192.733
546,0,LCI26,298349.4375,3235192.733
547,0,LCI26,298351.4375,3235192.733
548,0,LCI26,298353.4375,3235192.733
549,0,LCI26,298355.4375,3235192.733
550,0,LCI26,298357.4375,3235192.733
551,0,LCI26,298359.4375,3235192.733
552,0,LCI26,298361.4375,3235192.733
553,0,LCI26,298363.4375,3235192.733
554,0,LCI26,298365.4375,3235192.733
555,0,LCI26,298297.4375,3235194.733
556,0,LCI26,298299.4375,3235194.733
557,0,LCI26,298301.4375,3235194.733
558,0,LCI26,298303.4375,3235194.733
559,0,LCI26,298305.4375,3235194.733
560,0,LCI26,298307.4375,3235194.733
561,0,LCI26,298309.4375,3235194.733
562,0,LCI26,298311.4375,3235194.733
563,0,LCI26,298313.4375,3235194.733
564,0,LCI26,298315.4375,3235194.733
565,0,LCI26,298317.4375,3235194.733
566,0,LCI26,298319.4375,3235194.733
567,0,LCI26,298321.4375,3235194.733
568,0,LCI26,298323.4375,3235194.733
569,0,LCI26,298325.4375,3235194.733
570,0,LCI26,298327.4375,3235194.733
571,0,LCI26,298329.4375,3235194.733
572,0,LCI26,298331.4375,3235194.733
573,0,LCI26,298333.4375,3235194.733
574,0,LCI26,298335.4375,3235194.733
575,0,LCI26,298337.4375,3235194.733
576,0,LCI26,298339.4375,3235194.733
577,0,LCI26,298341.4375,3235194.733
578,0,LCI26,298343.4375,3235194.733
579,0,LCI26,298345.4375,3235194.733
580,0,LCI26,298347.4375,3235194.733
581,0,LCI26,298349.4375,3235194.733
582,0,LCI26,298351.4375,3235194.733
583,0,LCI26,298353.4375,3235194.733
584,0,LCI26,298355.4375,3235194.733
585,0,LCI26,298357.4375,3235194.733
586,0,LCI26,298359.4375,3235194.733
587,0,LCI26,298361.4375,3235194.733
588,0,LCI26,298363.4375,3235194.733
589,0,LCI26,298297.4375,3235196.733
590,0,LCI26,298299.4375,3235196.733
591,0,LCI26,298301.4375,3235196.733
592,0,LCI26,298303.4375,3235196.733
593,0,LCI26,298305.4375,3235196.733
594,0,LCI26,298307.4375,3235196.733
595,0,LCI26,298309.4375,3235196.733
596,0,LCI26,298311.4375,3235196.733
597,0,LCI26,298313.4375,3235196.733
598,0,LCI26,298315.4375,3235196.733
599,0,LCI26,298317.4375,3235196.733
600,0,LCI26,298319.4375,3235196.733
601,0,LCI26,298321.4375,3235196.733
602,0,LCI26,298323.4375,3235196.733
603,0,LCI26,298325.4375,3235196.733
604,0,LCI26,298327.4375,3235196.733
605,0,LCI26,298329.4375,3235196.733
606,0,LCI26,298331.4375,3235196.733
607,0,LCI26,298333.4375,3235196.733
608,0,LCI26,298335.4375,3235196.733
609,0,LCI26,298337.4375,3235196.733
610,0,LCI26,298339.4375,3235196.733
611,0,LCI26,298341.4375,3235196.733
612,0,LCI26,298343.4375,3235196.733
613,0,LCI26,298345.4375,3235196.733
614,0,LCI26,298347.4375,3235196.733
615,0,LCI26,298349.4375,3235196.733
616,0,LCI26,298351.4375,3235196.733
617,0,LCI26,298353.4375,3235196.733
618,0,LCI26,298355.4375,3235196.733
619,0,LCI26,298357.4375,3235196.733
620,0,LCI26,298359.4375,3235196.733
621,0,LCI26,298361.4375,3235196.733
622,0,LCI26,298297.4375,3235198.733
623,0,LCI26,298299.4375,3235198.733
624,0,LCI26,298301.4375,3235198.733
625,0,LCI26,298303.4375,3235198.733
626,0,LCI26,298305.4375,3235198.733
627,0,LCI26,298307.4375,3235198.733
628,0,LCI26,298309.4375,3235198.733
629,0,LCI26,298311.4375,3235198.733
630,0,LCI26,298313.4375,3235198.733
631,0,LCI26,298315.4375,3235198.733
632,0,LCI26,298317.4375,3235198.733
633,0,LCI26,298319.4375,3235198.733
634,0,LCI26,298321.4375,3235198.733
635,0,LCI26,298323.4375,3235198.733
636,0,LCI26,298325.4375,3235198.733
637,0,LCI26,298327.4375,3235198.733
638,0,LCI26,298329.4375,3235198.733
639,0,LCI26,298331.4375,3235198.733
640,0,LCI26,298333.4375,3235198.733
641,0,LCI26,298335.4375,3235198.733
642,0,LCI26,298337.4375,3235198.733
643,0,LCI26,298339.4375,3235198.733
644,0,LCI26,298341.4375,3235198.733
645,0,LCI26,298343.4375,3235198.733
646,0,LCI26,298345.4375,3235198.733
647,0,LCI26,298347.4375,3235198.733
648,0,LCI26,298349.4375,3235198.733
649,0,LCI26,298351.4375,3235198.733
650,0,LCI26,298353.4375,3235198.733
651,0,LCI26,298355.4375,3235198.733
652,0,LCI26,298357.4375,3235198.733
653,0,LCI26,298359.4375,3235198.733
654,0,LCI26,298297.4375,3235200.733
655,0,LCI26,298299.4375,3235200.733
656,0,LCI26,298301.4375,3235200.733
657,0,LCI26,298303.4375,3235200.733
658,0,LCI26,298305.4375,3235200.733
659,0,LCI26,298307.4375,3235200.733
660,0,LCI26,298309.4375,3235200.733
