FID,point,bar,station
296,PC3349,12,LCO12
297,PC3350,12,LCO12
298,PC3381,13,LCO13
299,PC3393,13,LCO13
300,PC3401,13,LCO13
301,PC3424,13,LCO13
302,PC3447,13,LCO13
303,PC3471,15,LCO15
304,PC3483,16,LCO16
305,PC3501,15,LCO15
306,PC3508,14,LCO14
307,PC3509,14,LCO14
308,PC3510,14,LCO14
309,PC3521,15,LCO15
310,PC3522,15,LCO15
311,PC3531,16,LCO16
312,PC3558,16,LCO16
313,PC3559,16,LCO16
314,PC3606,17,LCO17
315,PC3624,17,LCO17
316,PC3664,18,LCO18
317,PC3665,18,LCO18
318,PC3680,18,LCO18
319,PC3709,19,LCO19
320,PC3730,19,LCO19
321,PC3731,19,LCO19
322,PC3794,20,LCO20
323,PC3807,20,LCO20
324,PC3830,20,LCO20
325,PC3831,20,LCO20
326,PC3846,21,LCO21
327,PC3876,21,LCO21
328,PC3877,21,LCO21
329,PC3896,21,LCO21
330,PC3897,21,LCO21
331,PC3921,21,LCO21
332,PC3922,21,LCO21
333,PC3932,22,LCO22
334,PC3965,22,LCO22
