"","point","bar","station","date","POINT_X","POINT_Y","locality","site","elev_m"
"689","PC1341",NA,NA,"9/7/2017 0:00",296421.363,3236037.379,"LC","O",-1.11252
"690","PC1342",NA,NA,"9/7/2017 0:00",296426.7017,3236040.378,"LC","O",-1.152144
"691","PC1343",NA,NA,"9/7/2017 0:00",296432.3986,3236042.863,"LC","O",-1.179576
"692","PC1344",NA,NA,"9/7/2017 0:00",296437.8512,3236045.648,"LC","O",-1.246632
"693","PC1345",NA,NA,"9/7/2017 0:00",296443.2265,3236048.656,"LC","O",-1.31064
"694","PC1346",NA,NA,"9/7/2017 0:00",296448.918,3236051.214,"LC","O",-1.331976
"695","PC1347",NA,NA,"9/7/2017 0:00",296466.2329,3236025.257,"LC","O",-1.405128
"696","PC1348",NA,NA,"9/7/2017 0:00",296460.7023,3236022.61,"LC","O",-1.405128
"697","PC1349",NA,NA,"9/7/2017 0:00",296455.6481,3236019.013,"LC","O",-1.423416
"698","PC135",NA,NA,"9/5/2017 0:00",294459.3601,3239126.869,"LC","O",-1.389888
"699","PC1350",NA,NA,"9/7/2017 0:00",296450.8614,3236014.963,"LC","O",-1.399032
"700","PC1351",NA,NA,"9/7/2017 0:00",296445.0064,3236012.886,"LC","O",-1.338072
"701","PC1352",NA,NA,"9/7/2017 0:00",296439.32,3236010.569,"LC","O",-1.240536
"702","PC1353",NA,NA,"9/7/2017 0:00",296434.1618,3236007.284,"LC","O",-1.139952
"703","PC1354",NA,NA,"9/7/2017 0:00",296428.6394,3236004.533,"LC","O",-1.039368
"704","PC1355",NA,NA,"9/7/2017 0:00",296422.8976,3236002.153,"LC","O",-0.966216
"705","PC1356",NA,NA,"9/7/2017 0:00",296417.7723,3235998.791,"LC","O",-0.94488
"706","PC1357",NA,NA,"9/7/2017 0:00",296413.4093,3235994.025,"LC","O",-0.890016
"707","PC1358",NA,NA,"9/7/2017 0:00",296408.1546,3235990.857,"LC","O",-0.844296
"708","PC1359",NA,NA,"9/7/2017 0:00",296402.7465,3235987.928,"LC","O",-0.816864
"709","PC136",NA,NA,"9/5/2017 0:00",294457.5994,3239125.217,"LC","O",-1.466088
"710","PC1361",NA,NA,"9/7/2017 0:00",296390.9062,3235983.877,"LC","O",-0.795528
"711","PC1362",NA,NA,"9/7/2017 0:00",296385.2498,3235981.508,"LC","O",-0.795528
"712","PC1363",NA,NA,"9/7/2017 0:00",296380.0998,3235978.101,"LC","O",-0.786384
"713","PC1364",NA,NA,"9/7/2017 0:00",296375.0429,3235974.545,"LC","O",-0.780288
"714","PC1365",NA,NA,"9/7/2017 0:00",296369.7525,3235971.478,"LC","O",-0.77724
"715","PC1366",NA,NA,"9/7/2017 0:00",296364.725,3235967.789,"LC","O",-0.755904
"716","PC1367",NA,NA,"9/7/2017 0:00",296359.3779,3235964.857,"LC","O",-0.749808
"717","PC1368",NA,NA,"9/7/2017 0:00",296353.6338,3235962.565,"LC","O",-0.780288
"718","PC1369",NA,NA,"9/7/2017 0:00",296348.2355,3235959.724,"LC","O",-0.774192
"719","PC137",NA,NA,"9/5/2017 0:00",294454.221,3239123.322,"LC","O",-1.091184
"720","PC1370",NA,NA,"9/7/2017 0:00",296356.8056,3235928.096,"LC","O",-0.795528
"721","PC1371",NA,NA,"9/7/2017 0:00",296361.6315,3235932.097,"LC","O",-0.765048
"722","PC1372",NA,NA,"9/7/2017 0:00",296366.5648,3235935.822,"LC","O",-0.758952
"723","PC1373",NA,NA,"9/7/2017 0:00",296371.3248,3235939.955,"LC","O",-0.765048
"724","PC1374",NA,NA,"9/7/2017 0:00",296375.8445,3235944.51,"LC","O",-0.743712
"725","PC1375",NA,NA,"9/7/2017 0:00",296381.1691,3235947.656,"LC","O",-0.743712
"726","PC1376",NA,NA,"9/7/2017 0:00",296386.7807,3235950.138,"LC","O",-0.762
"727","PC1377",NA,NA,"9/7/2017 0:00",296392.114,3235953.232,"LC","O",-0.762
"728","PC1378",NA,NA,"9/7/2017 0:00",296397.8772,3235955.619,"LC","O",-0.768096
"729","PC1379",NA,NA,"9/7/2017 0:00",296404.0967,3235957.178,"LC","O",-0.795528
"730","PC138",NA,NA,"9/5/2017 0:00",294447.3605,3239123.438,"LC","O",-0.86868
"731","PC1381",NA,NA,"9/7/2017 0:00",296415.4972,3235961.854,"LC","O",-0.832104
"732","PC1382",NA,NA,"9/7/2017 0:00",296420.9416,3235964.737,"LC","O",-0.86868
"733","PC1383",NA,NA,"9/7/2017 0:00",296426.1001,3235968.071,"LC","O",-0.9906
"734","PC1384",NA,NA,"9/7/2017 0:00",296431.2287,3235971.459,"LC","O",-1.18872
"735","PC1385",NA,NA,"9/7/2017 0:00",296436.5653,3235974.581,"LC","O",-1.368552
"736","PC1386",NA,NA,"9/7/2017 0:00",296441.8654,3235977.709,"LC","O",-1.399032
"737","PC1387",NA,NA,"9/7/2017 0:00",296447.201,3235980.711,"LC","O",-1.420368
"738","PC1388",NA,NA,"9/7/2017 0:00",296475.0399,3235962.441,"LC","O",-1.362456
"739","PC1389",NA,NA,"9/7/2017 0:00",296468.9208,3235960.85,"LC","O",-1.331976
"740","PC139",NA,NA,"9/5/2017 0:00",294440.4425,3239123.616,"LC","O",-0.771144
"741","PC1390",NA,NA,"9/7/2017 0:00",296463.8103,3235957.437,"LC","O",-1.286256
"742","PC1391",NA,NA,"9/7/2017 0:00",296459.8251,3235951.938,"LC","O",-1.179576
"743","PC1392",NA,NA,"9/7/2017 0:00",296454.5319,3235948.908,"LC","O",-1.118616
"744","PC1393",NA,NA,"9/7/2017 0:00",296449.0886,3235946.135,"LC","O",-0.996696
"745","PC1394",NA,NA,"9/7/2017 0:00",296444.1066,3235942.419,"LC","O",-0.86868
"746","PC1395",NA,NA,"9/7/2017 0:00",296438.4495,3235939.961,"LC","O",-0.789432
"747","PC1396",NA,NA,"9/7/2017 0:00",296432.4771,3235938.068,"LC","O",-0.74676
"748","PC1399",NA,NA,"9/7/2017 0:00",296417.0387,3235927.79,"LC","O",-0.74676
"749","PC1400",NA,NA,"9/7/2017 0:00",296410.9136,3235926.22,"LC","O",-0.740664
"750","PC1401",NA,NA,"9/7/2017 0:00",296405.5563,3235923.178,"LC","O",-0.725424
"751","PC1402",NA,NA,"9/7/2017 0:00",296400.3458,3235919.833,"LC","O",-0.722376
"752","PC1403",NA,NA,"9/7/2017 0:00",296394.5654,3235917.569,"LC","O",-0.71628
"753","PC1404",NA,NA,"9/7/2017 0:00",296388.063,3235916.792,"LC","O",-0.719328
"754","PC1405",NA,NA,"9/7/2017 0:00",296382.0467,3235915.097,"LC","O",-0.725424
"755","PC1406",NA,NA,"9/7/2017 0:00",296377.191,3235911.188,"LC","O",-0.71628
"756","PC1407",NA,NA,"9/7/2017 0:00",296372.2602,3235907.395,"LC","O",-0.722376
"757","PC1408",NA,NA,"9/7/2017 0:00",296371.0408,3235869.861,"LC","O",-0.801624
"758","PC1409",NA,NA,"9/7/2017 0:00",296376.9732,3235871.706,"LC","O",-0.749808
"759","PC141",NA,NA,"9/5/2017 0:00",294429.5181,3239117.598,"LC","O",-0.740664
"760","PC1410",NA,NA,"9/7/2017 0:00",296382.0324,3235875.187,"LC","O",-0.743712
"761","PC1411",NA,NA,"9/7/2017 0:00",296386.8763,3235879.157,"LC","O",-0.752856
"762","PC1412",NA,NA,"9/7/2017 0:00",296392.1111,3235882.486,"LC","O",-0.734568
"763","PC1413",NA,NA,"9/7/2017 0:00",296397.924,3235884.628,"LC","O",-0.73152
"764","PC1414",NA,NA,"9/7/2017 0:00",296403.3373,3235887.448,"LC","O",-0.734568
"765","PC1415",NA,NA,"9/7/2017 0:00",296408.2988,3235891.267,"LC","O",-0.710184
"766","PC1416",NA,NA,"9/7/2017 0:00",296413.6589,3235894.276,"LC","O",-0.710184
"767","PC1417",NA,NA,"9/7/2017 0:00",296419.4777,3235896.403,"LC","O",-0.710184
"768","PC1418",NA,NA,"9/7/2017 0:00",296424.9492,3235899.252,"LC","O",-0.71628
"769","PC1419",NA,NA,"9/7/2017 0:00",296430.0476,3235902.683,"LC","O",-0.713232
"770","PC142",NA,NA,"9/5/2017 0:00",294424.8764,3239113.047,"LC","O",-0.740664
"771","PC1422",NA,NA,"9/7/2017 0:00",296446.6382,3235910.806,"LC","O",-0.728472
"772","PC1423",NA,NA,"9/7/2017 0:00",296451.6231,3235914.5,"LC","O",-0.737616
"773","PC1424",NA,NA,"9/7/2017 0:00",296457.4977,3235918.163,"LC","O",-0.780288
"774","PC1425",NA,NA,"9/7/2017 0:00",296463.0493,3235920.755,"LC","O",-0.886968
"775","PC1426",NA,NA,"9/7/2017 0:00",296468.8367,3235923.117,"LC","O",-0.987552
"776","PC1427",NA,NA,"9/7/2017 0:00",296474.9056,3235924.903,"LC","O",-1.03632
"777","PC1428",NA,NA,"9/7/2017 0:00",296481.0243,3235926.436,"LC","O",-1.024128
"778","PC1429",NA,NA,"9/7/2017 0:00",296486.4151,3235929.484,"LC","O",-1.039368
"779","PC143",NA,NA,"9/5/2017 0:00",294419.8627,3239109.188,"LC","O",-0.905256
"780","PC1430",NA,NA,"9/7/2017 0:00",296490.8089,3235934.278,"LC","O",-1.069848
"781","PC1431",NA,NA,"9/7/2017 0:00",296495.3623,3235938.848,"LC","O",-1.146048
"782","PC1432",NA,NA,"9/7/2017 0:00",296500.6921,3235941.887,"LC","O",-1.225296
"783","PC1433",NA,NA,"9/7/2017 0:00",296585.3489,3235776.297,"LC","O",-0.77724
"784","PC1434",NA,NA,"9/7/2017 0:00",296579.9532,3235773.398,"LC","O",-0.768096
"785","PC1435",NA,NA,"9/7/2017 0:00",296574.3072,3235770.456,"LC","O",-0.789432
"786","PC1436",NA,NA,"9/7/2017 0:00",296569.9128,3235765.58,"LC","O",-0.801624
"787","PC1437",NA,NA,"9/7/2017 0:00",296565.2843,3235760.425,"LC","O",-0.786384
"788","PC1438",NA,NA,"9/7/2017 0:00",296560.3624,3235756.599,"LC","O",-0.789432
"789","PC1439",NA,NA,"9/7/2017 0:00",296554.5435,3235754.469,"LC","O",-0.804672
"790","PC144",NA,NA,"9/5/2017 0:00",294414.0915,3239106.939,"LC","O",-1.08204
"791","PC1440",NA,NA,"9/7/2017 0:00",296548.0022,3235753.772,"LC","O",-0.816864
"792","PC1441",NA,NA,"9/7/2017 0:00",296542.0012,3235752.098,"LC","O",-0.819912
"793","PC1442",NA,NA,"9/7/2017 0:00",296536.5753,3235749.227,"LC","O",-0.850392
"794","PC1443",NA,NA,"9/7/2017 0:00",296530.7786,3235747.198,"LC","O",-0.862584
"795","PC1444",NA,NA,"9/7/2017 0:00",296524.7532,3235745.527,"LC","O",-0.850392
"796","PC1445",NA,NA,"9/7/2017 0:00",296518.9382,3235743.497,"LC","O",-0.829056
"797","PC1448",NA,NA,"9/7/2017 0:00",296503.5717,3235733.07,"LC","O",-0.816864
"798","PC1449",NA,NA,"9/7/2017 0:00",296498.5745,3235729.366,"LC","O",-0.804672
"799","PC145",NA,NA,"9/5/2017 0:00",294408.1751,3239105.185,"LC","O",-1.18872
"800","PC1450",NA,NA,"9/7/2017 0:00",296492.7268,3235727.431,"LC","O",-0.798576
"801","PC1451",NA,NA,"9/7/2017 0:00",296487.2139,3235724.729,"LC","O",-0.804672
"802","PC1452",NA,NA,"9/7/2017 0:00",296481.6825,3235721.99,"LC","O",-0.819912
"803","PC1453",NA,NA,"9/7/2017 0:00",296475.1295,3235721.36,"LC","O",-0.795528
"804","PC1454",NA,NA,"9/7/2017 0:00",296469.6622,3235718.642,"LC","O",-0.789432
"805","PC1455",NA,NA,"9/7/2017 0:00",296464.8023,3235714.587,"LC","O",-0.789432
"806","PC1456",NA,NA,"9/7/2017 0:00",296462.6264,3235681.054,"LC","O",-0.865632
"807","PC1457",NA,NA,"9/7/2017 0:00",296469.7742,3235681.383,"LC","O",-0.886968
"808","PC1458",NA,NA,"9/7/2017 0:00",296476.0031,3235682.619,"LC","O",-0.850392
"809","PC1459",NA,NA,"9/7/2017 0:00",296481.0691,3235686.179,"LC","O",-0.871728
"810","PC146",NA,NA,"9/5/2017 0:00",294402.4136,3239102.991,"LC","O",-1.255776
"811","PC1460",NA,NA,"9/7/2017 0:00",296486.1901,3235689.747,"LC","O",-0.85344
"812","PC1461",NA,NA,"9/7/2017 0:00",296491.7331,3235692.407,"LC","O",-0.862584
"813","PC1462",NA,NA,"9/7/2017 0:00",296497.0325,3235695.462,"LC","O",-0.850392
"814","PC1463",NA,NA,"9/7/2017 0:00",296502.4527,3235698.369,"LC","O",-0.82296
"815","PC1464",NA,NA,"9/7/2017 0:00",296508.1156,3235700.79,"LC","O",-0.804672
"816","PC1465",NA,NA,"9/7/2017 0:00",296513.5361,3235703.746,"LC","O",-0.819912
"817","PC1466",NA,NA,"9/7/2017 0:00",296519.1545,3235707.021,"LC","O",-0.80772
"818","PC1468",NA,NA,"9/7/2017 0:00",296530.3765,3235712.208,"LC","O",-0.801624
"819","PC1469",NA,NA,"9/7/2017 0:00",296535.8444,3235715.002,"LC","O",-0.798576
"820","PC147",NA,NA,"9/5/2017 0:00",294397.0954,3239099.893,"LC","O",-1.2954
"821","PC1470",NA,NA,"9/7/2017 0:00",296540.8689,3235718.696,"LC","O",-0.80772
"822","PC1471",NA,NA,"9/7/2017 0:00",296546.0291,3235722.222,"LC","O",-0.804672
"823","PC1472",NA,NA,"9/7/2017 0:00",296551.2821,3235725.542,"LC","O",-0.801624
"824","PC1473",NA,NA,"9/7/2017 0:00",296556.3603,3235729.105,"LC","O",-0.819912
"825","PC1474",NA,NA,"9/7/2017 0:00",296561.8312,3235731.89,"LC","O",-0.795528
"826","PC1475",NA,NA,"9/7/2017 0:00",296567.8182,3235733.72,"LC","O",-0.783336
"827","PC1476",NA,NA,"9/7/2017 0:00",296573.7962,3235735.552,"LC","O",-0.789432
"828","PC1477",NA,NA,"9/7/2017 0:00",296579.6777,3235737.52,"LC","O",-0.798576
"829","PC1478",NA,NA,"9/7/2017 0:00",296585.6876,3235739.176,"LC","O",-0.813816
"830","PC1479",NA,NA,"9/7/2017 0:00",296597.0378,3235714.712,"LC","O",-0.835152
"831","PC148",NA,NA,"9/5/2017 0:00",294392.194,3239095.985,"LC","O",-1.32588
"832","PC1480",NA,NA,"9/7/2017 0:00",296592.4811,3235710.111,"LC","O",-0.82296
"833","PC1481",NA,NA,"9/7/2017 0:00",296587.0735,3235707.24,"LC","O",-0.798576
"834","PC1482",NA,NA,"9/7/2017 0:00",296581.9895,3235703.72,"LC","O",-0.829056
"835","PC1483",NA,NA,"9/7/2017 0:00",296577.0332,3235699.797,"LC","O",-0.847344
"836","PC1484",NA,NA,"9/7/2017 0:00",296571.7174,3235696.614,"LC","O",-0.85344
"837","PC1485",NA,NA,"9/7/2017 0:00",296565.9682,3235694.438,"LC","O",-0.847344
"838","PC1486",NA,NA,"9/7/2017 0:00",296559.8139,3235693.012,"LC","O",-0.82296
"839","PC1487",NA,NA,"9/7/2017 0:00",296554.457,3235690.006,"LC","O",-0.783336
"840","PC1488",NA,NA,"9/7/2017 0:00",296548.5035,3235688.179,"LC","O",-0.734568
"841","PC1489",NA,NA,"9/7/2017 0:00",296542.829,3235685.832,"LC","O",-0.771144
"842","PC149",NA,NA,"9/5/2017 0:00",294396.9459,3239068.461,"LC","O",-1.38684
"843","PC1491",NA,NA,"9/7/2017 0:00",296532.1488,3235679.482,"LC","O",-0.774192
"844","PC1492",NA,NA,"9/7/2017 0:00",296526.4863,3235677.101,"LC","O",-0.768096
"845","PC1493",NA,NA,"9/7/2017 0:00",296521.2044,3235673.961,"LC","O",-0.762
"846","PC1494",NA,NA,"9/7/2017 0:00",296515.4306,3235671.76,"LC","O",-0.783336
"847","PC1495",NA,NA,"9/7/2017 0:00",296509.9544,3235669.073,"LC","O",-0.783336
"848","PC1496",NA,NA,"9/7/2017 0:00",296505.259,3235664.653,"LC","O",-0.79248
"849","PC1497",NA,NA,"9/7/2017 0:00",296500.5822,3235660.255,"LC","O",-0.819912
"850","PC1498",NA,NA,"9/7/2017 0:00",296494.3202,3235659.074,"LC","O",-0.829056
"851","PC1499",NA,NA,"9/7/2017 0:00",296487.7524,3235658.487,"LC","O",-0.847344
"852","PC150",NA,NA,"9/5/2017 0:00",294402.0182,3239072.036,"LC","O",-1.331976
"853","PC1500",NA,NA,"9/7/2017 0:00",296481.9429,3235656.384,"LC","O",-0.859536
"854","PC1501",NA,NA,"9/7/2017 0:00",296476.3943,3235653.789,"LC","O",-0.86868
"855","PC1502",NA,NA,"9/7/2017 0:00",296471.0579,3235650.692,"LC","O",-0.874776
"856","PC1503",NA,NA,"9/7/2017 0:00",296484.2507,3235621.042,"LC","O",-0.935736
"857","PC1504",NA,NA,"9/7/2017 0:00",296490.7907,3235621.587,"LC","O",-0.923544
"858","PC1505",NA,NA,"9/7/2017 0:00",296496.6569,3235623.548,"LC","O",-0.89916
"859","PC1506",NA,NA,"9/7/2017 0:00",296501.9029,3235626.765,"LC","O",-0.886968
"860","PC1507",NA,NA,"9/7/2017 0:00",296507.0674,3235630.071,"LC","O",-0.908304
"861","PC1508",NA,NA,"9/7/2017 0:00",296512.1605,3235633.594,"LC","O",-0.893064
"862","PC1509",NA,NA,"9/7/2017 0:00",296517.2,3235637.267,"LC","O",-0.86868
"863","PC151",NA,NA,"9/5/2017 0:00",294409.3423,3239070.87,"LC","O",-1.374648
"864","PC1510",NA,NA,"9/7/2017 0:00",296522.194,3235640.964,"LC","O",-0.865632
"865","PC1511",NA,NA,"9/7/2017 0:00",296527.1556,3235644.793,"LC","O",-0.850392
"866","PC1512",NA,NA,"9/7/2017 0:00",296532.3425,3235648.227,"LC","O",-0.8382
"867","PC1513",NA,NA,"9/7/2017 0:00",296537.8372,3235650.939,"LC","O",-0.835152
"868","PC1514",NA,NA,"9/7/2017 0:00",296543.35,3235653.641,"LC","O",-0.844296
"869","PC1516",NA,NA,"9/7/2017 0:00",296556.0708,3235655.49,"LC","O",-0.841248
"870","PC1517",NA,NA,"9/7/2017 0:00",296560.7884,3235660.025,"LC","O",-0.844296
"871","PC1518",NA,NA,"9/7/2017 0:00",296565.8459,3235663.652,"LC","O",-0.877824
"872","PC1519",NA,NA,"9/7/2017 0:00",296571.1341,3235666.823,"LC","O",-0.893064
"873","PC152",NA,NA,"9/5/2017 0:00",294414.3162,3239074.705,"LC","O",-1.344168
"874","PC1520",NA,NA,"9/7/2017 0:00",296618.7559,3235690.363,"LC","O",-0.938784
"875","PC1521",NA,NA,"9/7/2017 0:00",296613.1651,3235687.817,"LC","O",-0.947928
"876","PC1522",NA,NA,"9/7/2017 0:00",296608.1587,3235684.101,"LC","O",-0.92964
"877","PC1523",NA,NA,"9/7/2017 0:00",296602.7115,3235681.23,"LC","O",-0.905256
"878","PC1524",NA,NA,"9/7/2017 0:00",296596.6924,3235679.581,"LC","O",-0.886968
"879","PC1525",NA,NA,"9/7/2017 0:00",296591.1954,3235676.586,"LC","O",-0.905256
"880","PC1526",NA,NA,"9/7/2017 0:00",296586.4977,3235672.258,"LC","O",-0.9144
"881","PC1527",NA,NA,"9/7/2017 0:00",296581.281,3235668.9,"LC","O",-0.911352
"882","PC1528",NA,NA,"9/7/2017 0:00",296575.5014,3235666.724,"LC","O",-0.92964
"883","PC1529",NA,NA,"9/7/2017 0:00",296569.7611,3235664.527,"LC","O",-0.917448
"884","PC153",NA,NA,"9/5/2017 0:00",294418.6467,3239079.938,"LC","O",-1.222248
"885","PC1530",NA,NA,"9/7/2017 0:00",296563.9853,3235662.445,"LC","O",-0.902208
"886","PC1531",NA,NA,"9/7/2017 0:00",296558.3699,3235659.869,"LC","O",-0.865632
"887","PC1534",NA,NA,"9/7/2017 0:00",296542.2769,3235650.758,"LC","O",-0.856488
"888","PC1535",NA,NA,"9/7/2017 0:00",296536.9343,3235647.648,"LC","O",-0.85344
"889","PC1536",NA,NA,"9/7/2017 0:00",296531.5622,3235644.661,"LC","O",-0.88392
"890","PC1537",NA,NA,"9/7/2017 0:00",296526.1779,3235641.665,"LC","O",-0.896112
"891","PC1538",NA,NA,"9/7/2017 0:00",296520.8037,3235638.779,"LC","O",-0.896112
"892","PC1539",NA,NA,"9/7/2017 0:00",296515.3361,3235636.021,"LC","O",-0.920496
"893","PC154",NA,NA,"9/5/2017 0:00",294424.7224,3239081.441,"LC","O",-1.063752
"894","PC1540",NA,NA,"9/7/2017 0:00",296509.7485,3235633.493,"LC","O",-0.935736
"895","PC1541",NA,NA,"9/7/2017 0:00",296504.2178,3235630.848,"LC","O",-0.96012
"896","PC1542",NA,NA,"9/7/2017 0:00",296498.6872,3235628.207,"LC","O",-0.935736
"897","PC1543",NA,NA,"9/7/2017 0:00",296509.6518,3235600.357,"LC","O",-0.978408
"898","PC1544",NA,NA,"9/7/2017 0:00",296515.695,3235601.975,"LC","O",-0.941832
"899","PC1545",NA,NA,"9/7/2017 0:00",296521.0806,3235605.484,"LC","O",-0.923544
"900","PC1546",NA,NA,"9/7/2017 0:00",296526.2991,3235608.698,"LC","O",-0.905256
"901","PC1547",NA,NA,"9/7/2017 0:00",296531.6808,3235611.749,"LC","O",-0.877824
"902","PC1548",NA,NA,"9/7/2017 0:00",296536.8548,3235615.1,"LC","O",-0.896112
"903","PC1549",NA,NA,"9/7/2017 0:00",296541.7738,3235618.933,"LC","O",-0.877824
"904","PC155",NA,NA,"9/5/2017 0:00",294429.8784,3239084.826,"LC","O",-1.03632
"905","PC1550",NA,NA,"9/7/2017 0:00",296547.7188,3235621.912,"LC","O",-0.856488
"906","PC1551",NA,NA,"9/7/2017 0:00",296553.6788,3235623.781,"LC","O",-0.841248
"907","PC1552",NA,NA,"9/7/2017 0:00",296559.209,3235626.377,"LC","O",-0.847344
"908","PC1554",NA,NA,"9/7/2017 0:00",296570.0656,3235632.317,"LC","O",-0.850392
"909","PC1555",NA,NA,"9/7/2017 0:00",296575.8275,3235634.554,"LC","O",-0.874776
"910","PC1556",NA,NA,"9/7/2017 0:00",296581.2543,3235637.531,"LC","O",-0.896112
"911","PC1557",NA,NA,"9/7/2017 0:00",296586.3267,3235641.125,"LC","O",-0.911352
"912","PC1558",NA,NA,"9/7/2017 0:00",296591.5073,3235644.54,"LC","O",-0.9144
"913","PC1559",NA,NA,"9/7/2017 0:00",296596.9545,3235647.402,"LC","O",-0.92964
"914","PC156",NA,NA,"9/5/2017 0:00",294435.4629,3239087.333,"LC","O",-1.027176
"915","PC1560",NA,NA,"9/7/2017 0:00",296602.4886,3235650.092,"LC","O",-0.941832
"916","PC1561",NA,NA,"9/7/2017 0:00",296607.9234,3235652.932,"LC","O",-0.941832
"917","PC1562",NA,NA,"9/7/2017 0:00",296589.0458,3235471.371,"LC","O",-0.941832
"918","PC1563",NA,NA,"9/7/2017 0:00",296594.8138,3235473.614,"LC","O",-0.932688
"919","PC1564",NA,NA,"9/7/2017 0:00",296599.8888,3235477.156,"LC","O",-0.941832
"920","PC1565",NA,NA,"9/7/2017 0:00",296604.0105,3235482.577,"LC","O",-0.932688
"921","PC1566",NA,NA,"9/7/2017 0:00",296608.6951,3235486.804,"LC","O",-0.920496
"922","PC1567",NA,NA,"9/7/2017 0:00",296614.4183,3235489.151,"LC","O",-0.923544
"923","PC1568",NA,NA,"9/7/2017 0:00",296620.1862,3235491.376,"LC","O",-0.935736
"924","PC1569",NA,NA,"9/7/2017 0:00",296625.8605,3235493.705,"LC","O",-0.917448
"925","PC157",NA,NA,"9/5/2017 0:00",294441.2954,3239089.274,"LC","O",-1.155192
"926","PC1570",NA,NA,"9/7/2017 0:00",296631.544,3235496.044,"LC","O",-0.932688
"927","PC1571",NA,NA,"9/7/2017 0:00",296636.8954,3235499.107,"LC","O",-0.94488
"928","PC1572",NA,NA,"9/7/2017 0:00",296642.0912,3235502.516,"LC","O",-0.950976
"929","PC1574",NA,NA,"9/7/2017 0:00",296652.941,3235508.38,"LC","O",-0.94488
"930","PC1575",NA,NA,"9/7/2017 0:00",296658.0456,3235511.827,"LC","O",-0.926592
"931","PC1576",NA,NA,"9/7/2017 0:00",296663.6557,3235515.565,"LC","O",-0.932688
"932","PC1577",NA,NA,"9/7/2017 0:00",296669.0512,3235518.442,"LC","O",-0.926592
"933","PC1578",NA,NA,"9/7/2017 0:00",296674.4959,3235521.368,"LC","O",-0.92964
"934","PC1579",NA,NA,"9/7/2017 0:00",296679.8912,3235524.23,"LC","O",-0.950976
"935","PC158",NA,NA,"9/5/2017 0:00",294446.8854,3239091.717,"LC","O",-1.40208
"936","PC1580",NA,NA,"9/7/2017 0:00",296685.3953,3235526.966,"LC","O",-0.947928
"937","PC1581",NA,NA,"9/7/2017 0:00",296690.8097,3235529.916,"LC","O",-0.935736
"938","PC1582",NA,NA,"9/7/2017 0:00",296706.1076,3235503.348,"LC","O",-0.963168
"939","PC1583",NA,NA,"9/7/2017 0:00",296700.7293,3235500.346,"LC","O",-0.926592
"940","PC1584",NA,NA,"9/7/2017 0:00",296694.9584,3235498.118,"LC","O",-0.902208
"941","PC1585",NA,NA,"9/7/2017 0:00",296690.3119,3235493.716,"LC","O",-0.89916
"942","PC1586",NA,NA,"9/7/2017 0:00",296685.2937,3235490.034,"LC","O",-0.902208
"943","PC1587",NA,NA,"9/7/2017 0:00",296679.9093,3235487.032,"LC","O",-0.902208
"944","PC1588",NA,NA,"9/7/2017 0:00",296674.6541,3235483.809,"LC","O",-0.908304
"945","PC1589",NA,NA,"9/7/2017 0:00",296669.3296,3235480.675,"LC","O",-0.902208
"946","PC159",NA,NA,"9/5/2017 0:00",294451.7485,3239095.787,"LC","O",-1.758696
"947","PC1591",NA,NA,"9/7/2017 0:00",296658.4305,3235475.108,"LC","O",-0.908304
"948","PC1592",NA,NA,"9/7/2017 0:00",296652.2937,3235473.59,"LC","O",-0.911352
"949","PC1593",NA,NA,"9/7/2017 0:00",296646.7621,3235470.839,"LC","O",-0.920496
"950","PC1594",NA,NA,"9/7/2017 0:00",296641.1326,3235468.4,"LC","O",-0.89916
"951","PC1595",NA,NA,"9/7/2017 0:00",296635.2711,3235466.277,"LC","O",-0.92964
"952","PC1596",NA,NA,"9/7/2017 0:00",296630.3526,3235462.502,"LC","O",-0.932688
"953","PC1597",NA,NA,"9/7/2017 0:00",296625.0829,3235459.356,"LC","O",-0.938784
"954","PC1598",NA,NA,"9/7/2017 0:00",296618.8031,3235457.51,"LC","O",-0.957072
"955","PC1599",NA,NA,"9/7/2017 0:00",296613.5449,3235454.296,"LC","O",-0.97536
"956","PC16",NA,NA,"9/5/2017 0:00",294354.3719,3239266.682,"LC","O",-0.829056
"957","PC160",NA,NA,"9/5/2017 0:00",294457.2194,3239098.563,"LC","O",-2.157984
"958","PC1600",NA,NA,"9/7/2017 0:00",296608.4999,3235450.694,"LC","O",-1.00584
"959","PC1601",NA,NA,"9/7/2017 0:00",296603.1913,3235447.636,"LC","O",-1.02108
"960","PC1602",NA,NA,"9/7/2017 0:00",296607.8834,3235411.286,"LC","O",-1.048512
"961","PC1603",NA,NA,"9/7/2017 0:00",296613.6419,3235413.486,"LC","O",-1.048512
"962","PC1604",NA,NA,"9/7/2017 0:00",296617.7418,3235418.85,"LC","O",-1.0668
"963","PC1605",NA,NA,"9/7/2017 0:00",296622.1474,3235423.607,"LC","O",-1.039368
"964","PC1606",NA,NA,"9/7/2017 0:00",296627.1798,3235427.155,"LC","O",-1.018032
"965","PC1607",NA,NA,"9/7/2017 0:00",296632.2873,3235430.583,"LC","O",-0.984504
"966","PC1608",NA,NA,"9/7/2017 0:00",296637.878,3235433.117,"LC","O",-0.950976
"967","PC1609",NA,NA,"9/7/2017 0:00",296643.6227,3235435.479,"LC","O",-0.902208
"968","PC161",NA,NA,"9/5/2017 0:00",294463.3484,3239099.87,"LC","O",-1.642872
