FID,point,depth_ft,date,POINT_X,POINT_Y
93,PC94,-3.61,9/5/2017 0:00,294357.0279,3239184.324
94,PC95,-3.29,9/5/2017 0:00,294362.957,3239186.145
95,PC96,-2.89,9/5/2017 0:00,294367.8887,3239190.385
96,PC97,-2.68,9/5/2017 0:00,294373.8805,3239192.056
97,PC98,-2.29,9/5/2017 0:00,294379.7226,3239194.043
98,PC99,-1.99,9/5/2017 0:00,294385.3152,3239197.15
99,PC100,-1.89,9/5/2017 0:00,294390.4624,3239200.575
100,PC101,-1.85,9/5/2017 0:00,294396.2803,3239202.58
101,PC102,-2.03,9/5/2017 0:00,294401.9276,3239204.955
102,PC103,-2.21,9/5/2017 0:00,294407.3354,3239207.835
103,PC104,-2.56,9/5/2017 0:00,294413.3334,3239209.521
104,PC105,-3.68,9/5/2017 0:00,294418.5404,3239212.799
105,PC106,-4.01,9/5/2017 0:00,294424.4302,3239214.666
106,PC107,-4.01,9/5/2017 0:00,294437.3545,3239185.007
107,PC108,-4.19,9/5/2017 0:00,294431.2492,3239183.614
108,PC109,-3.87,9/5/2017 0:00,294425.8621,3239180.657
109,PC110,-2.69,9/5/2017 0:00,294420.5415,3239177.624
110,PC111,-2.51,9/5/2017 0:00,294414.5406,3239175.971
111,PC112,-2.32,9/5/2017 0:00,294409.0016,3239173.422
112,PC113,-2.26,9/5/2017 0:00,294403.7827,3239170.177
113,PC114,-2.3,9/5/2017 0:00,294397.9349,3239168.24
114,PC115,-2.57,9/5/2017 0:00,294391.4797,3239167.63
115,PC116,-2.86,9/5/2017 0:00,294385.584,3239165.8
116,PC117,-3.29,9/5/2017 0:00,294380.5711,3239162.029
117,PC118,-3.52,9/5/2017 0:00,294375.6422,3239158.121
118,PC119,-3.78,9/5/2017 0:00,294370.3607,3239155.029
119,PC120,-3.99,9/5/2017 0:00,294364.5606,3239152.963
120,PC121,-4.18,9/5/2017 0:00,294358.4872,3239151.381
121,PC122,-3.96,9/5/2017 0:00,294379.0966,3239134.285
122,PC123,-3.83,9/5/2017 0:00,294387.2886,3239131.234
123,PC124,-3.62,9/5/2017 0:00,294394.1874,3239130.961
124,PC125,-3.05,9/5/2017 0:00,294398.9042,3239135.384
125,PC126,-2.83,9/5/2017 0:00,294403.39,3239140.238
126,PC127,-2.54,9/5/2017 0:00,294409.4595,3239141.728
127,PC128,-2.37,9/5/2017 0:00,294415.0083,3239144.348
128,PC129,-2.22,9/5/2017 0:00,294420.5843,3239146.94
129,PC130,-2.04,9/5/2017 0:00,294425.7586,3239150.325
130,PC131,-2.86,9/5/2017 0:00,294431.2993,3239153.067
131,PC132,-3.91,9/5/2017 0:00,294436.9979,3239155.384
132,PC133,-4.2,9/5/2017 0:00,294441.7147,3239158.023
133,PC134,-4,9/5/2017 0:00,294462.1969,3239135.3
134,PC135,-4.56,9/5/2017 0:00,294459.3601,3239126.869
135,PC136,-4.81,9/5/2017 0:00,294457.5994,3239125.217
136,PC137,-3.58,9/5/2017 0:00,294454.221,3239123.322
137,PC138,-2.85,9/5/2017 0:00,294447.3605,3239123.438
138,PC139,-2.53,9/5/2017 0:00,294440.4425,3239123.616
139,PC140,-2.57,9/5/2017 0:00,294434.4285,3239121.491
140,PC141,-2.43,9/5/2017 0:00,294429.5181,3239117.598
141,PC142,-2.43,9/5/2017 0:00,294424.8764,3239113.047
142,PC143,-2.97,9/5/2017 0:00,294419.8627,3239109.188
143,PC144,-3.55,9/5/2017 0:00,294414.0915,3239106.939
144,PC145,-3.9,9/5/2017 0:00,294408.1751,3239105.185
145,PC146,-4.12,9/5/2017 0:00,294402.4136,3239102.991
146,PC147,-4.25,9/5/2017 0:00,294397.0954,3239099.893
147,PC148,-4.35,9/5/2017 0:00,294392.194,3239095.985
148,PC149,-4.55,9/5/2017 0:00,294396.9459,3239068.461
149,PC150,-4.37,9/5/2017 0:00,294402.0182,3239072.036
150,PC151,-4.51,9/5/2017 0:00,294409.3423,3239070.87
151,PC152,-4.41,9/5/2017 0:00,294414.3162,3239074.705
152,PC153,-4.01,9/5/2017 0:00,294418.6467,3239079.938
153,PC154,-3.49,9/5/2017 0:00,294424.7224,3239081.441
154,PC155,-3.4,9/5/2017 0:00,294429.8784,3239084.826
155,PC156,-3.37,9/5/2017 0:00,294435.4629,3239087.333
156,PC157,-3.79,9/5/2017 0:00,294441.2954,3239089.274
157,PC158,-4.6,9/5/2017 0:00,294446.8854,3239091.717
158,PC159,-5.77,9/5/2017 0:00,294451.7485,3239095.787
159,PC160,-7.08,9/5/2017 0:00,294457.2194,3239098.563
160,PC161,-5.39,9/5/2017 0:00,294463.3484,3239099.87
161,PC162,-4.57,9/5/2017 0:00,294465.3192,3239100.42
162,PC163,-4.43,9/5/2017 0:00,294468.9234,3239102.347
163,PC164,-3.94,9/5/2017 0:00,294479.5184,3239093.706
164,PC165,-4.11,9/5/2017 0:00,294475.0951,3239089.388
165,PC166,-4.41,9/5/2017 0:00,294470.8689,3239084.937
166,PC167,-3.85,9/5/2017 0:00,294467.2199,3239079.914
167,PC168,-3.5,9/5/2017 0:00,294463.7711,3239074.764
168,PC169,-3.48,9/5/2017 0:00,294459.2482,3239070.551
169,PC170,-4.13,9/5/2017 0:00,294453.8446,3239067.091
170,PC171,-5.23,9/5/2017 0:00,294448.9165,3239063.271
171,PC172,-5.4,9/5/2017 0:00,294445.5436,3239058.085
172,PC173,-5.72,9/5/2017 0:00,294442.8443,3239052.188
173,PC174,-5.85,9/5/2017 0:00,294439.2566,3239047.195
174,PC175,-6,9/5/2017 0:00,294434.5312,3239043.188
175,PC176,-6.27,9/5/2017 0:00,294429.3159,3239039.644
176,PC177,-4.7,9/5/2017 0:00,294462.0135,3239011.715
177,PC178,-4.55,9/5/2017 0:00,294465.5119,3239016.955
178,PC179,-4.38,9/5/2017 0:00,294467.7828,3239022.657
179,PC180,-4.37,9/5/2017 0:00,294467.3003,3239029.346
180,PC181,-4.1,9/5/2017 0:00,294469.185,3239035.164
181,PC182,-3.86,9/5/2017 0:00,294471.143,3239040.997
182,PC183,-3.43,9/5/2017 0:00,294473.8969,3239046.509
183,PC184,-2.57,9/5/2017 0:00,294475.0006,3239052.606
184,PC185,-2.39,9/5/2017 0:00,294476.0223,3239058.739
185,PC186,-2.29,9/5/2017 0:00,294480.7787,3239063.521
186,PC187,-2.58,9/5/2017 0:00,294481.2323,3239069.878
187,PC188,-2.7,9/5/2017 0:00,294483.2659,3239075.641
188,PC189,-3.54,9/5/2017 0:00,294486.9131,3239080.816
189,PC190,-3.98,9/5/2017 0:00,294488.792,3239086.671
190,PC191,-4.21,9/5/2017 0:00,294491.6549,3239092.456
191,PC192,-5.9,9/5/2017 0:00,294511.8902,3239081.166
192,PC193,-5.5,9/5/2017 0:00,294510.4505,3239074.991
193,PC194,-4.01,9/5/2017 0:00,294506.8838,3239069.955
194,PC195,-2.83,9/5/2017 0:00,294504.9222,3239064.061
195,PC196,-2.36,9/5/2017 0:00,294502.3807,3239058.435
196,PC197,-2.3,9/5/2017 0:00,294497.9373,3239053.894
197,PC198,-2.41,9/5/2017 0:00,294493.94,3239049.124
198,PC199,-2.49,9/5/2017 0:00,294491.7807,3239043.284
199,PC200,-2.73,9/5/2017 0:00,294489.8945,3239037.283
200,PC201,-3.04,9/5/2017 0:00,294487.4594,3239031.622
201,PC202,-3.31,9/5/2017 0:00,294483.8652,3239026.583
202,PC203,-3.62,9/5/2017 0:00,294479.6944,3239021.845
203,PC204,-3.78,9/5/2017 0:00,294477.845,3239015.875
204,PC205,-4.11,9/5/2017 0:00,294476.5689,3239009.576
205,PC206,-4.38,9/5/2017 0:00,294473.5175,3239004.206
206,PC207,-4.7,9/5/2017 0:00,294469.9719,3238999.149
207,PC208,-4.75,9/5/2017 0:00,294499.7947,3238980.465
208,PC209,-4.45,9/5/2017 0:00,294503.0066,3238985.714
209,PC210,-4.33,9/5/2017 0:00,294504.0162,3238992.213
210,PC211,-3.87,9/5/2017 0:00,294505.4109,3238998.472
211,PC212,-3.35,9/5/2017 0:00,294512.0345,3239001.664
212,PC213,-2.96,9/5/2017 0:00,294514.4879,3239007.328
213,PC214,-2.92,9/5/2017 0:00,294514.4631,3239014.422
214,PC215,-2.77,9/5/2017 0:00,294519.0183,3239018.84
215,PC216,-2.72,9/5/2017 0:00,294522.5001,3239023.925
216,PC217,-2.73,9/5/2017 0:00,294524.5075,3239029.836
217,PC218,-2.82,9/5/2017 0:00,294527.9739,3239034.903
218,PC219,-2.78,9/5/2017 0:00,294529.3388,3239037.672
219,PC220,-3.66,9/5/2017 0:00,294530.8335,3239040.299
220,PC221,-4.53,9/5/2017 0:00,294534.4363,3239045.276
221,PC222,-4.55,9/5/2017 0:00,294539.1675,3239049.604
222,PC223,-4.15,9/5/2017 0:00,294556.086,3239053.626
223,PC224,-4.71,9/5/2017 0:00,294521.6876,3238969.103
224,PC225,-4.26,9/5/2017 0:00,294526.0567,3238974.22
225,PC226,-3.61,9/5/2017 0:00,294530.1651,3238979.142
226,PC227,-3.34,9/5/2017 0:00,294530.8562,3238985.476
227,PC228,-3.13,9/5/2017 0:00,294535.2259,3238990.301
228,PC229,-3.04,9/5/2017 0:00,294538.2741,3238995.655
