"","hcat5","Freq"
"1","10",3.63636363636364
"2","15",6.66666666666667
"3","20",13.3333333333333
"4","25",15.1515151515152
"5","30",11.5151515151515
"6","35",12.7272727272727
"7","40",9.6969696969697
"8","45",9.09090909090909
"9","50",6.66666666666667
"10","55",3.63636363636364
"11","60",1.81818181818182
"12","65",1.81818181818182
"13","70",1.21212121212121
"14","75",0.606060606060606
"15","85",0.606060606060606
"16","90",0.606060606060606
"17","95",0.606060606060606
"18","105",0.606060606060606
