"","hcat5","Freq"
"1","5",0.546448087431694
"2","10",2.73224043715847
"3","15",8.7431693989071
"4","20",9.83606557377049
"5","25",7.10382513661202
"6","30",4.91803278688525
"7","35",5.46448087431694
"8","40",11.4754098360656
"9","45",4.37158469945355
"10","50",8.7431693989071
"11","55",7.10382513661202
"12","60",9.2896174863388
"13","65",4.37158469945355
"14","70",5.46448087431694
"15","75",3.82513661202186
"16","80",1.63934426229508
"17","85",3.27868852459016
"18","90",0.546448087431694
"19","95",0.546448087431694
