"","Locality","mean","SE"
"1","BT",46.8472906403941,1.50636577023246
"2","LT",46.51,1.31741314208363
"3","NN",40.12,1.94735147771987
"4","LC",36.9899497487437,1.12395979352848
"5","GC",33.5555555555556,1.2230371526541
"6","NLC",44.7483443708609,1.54640417606966
