"","Locality","mean","SE","size"
"1","BT",375.111111111111,111.398738827447,"spat"
"2","LT",341.333333333333,139.586691501892,"spat"
"3","NN",116,32.2490309931942,"spat"
"4","LC",216.727272727273,60.6913339491638,"spat"
"5","GC",250.666666666667,136.99505262762,"spat"
"6","NLC",122.666666666667,37.2379734500505,"spat"
