"","Locality","mean","SE","size"
"1","BT",227.555555555556,35.4554145336518,"seed"
"2","LT",288,64.8514786702222,"seed"
"3","NN",260,91.3016976841066,"seed"
"4","LC",200,28.1456529108454,"seed"
"5","GC",170.666666666667,43.4593040799218,"seed"
"6","NLC",200.888888888889,35.5888732785202,"seed"
