"","Bar2","mean","SE"
"1","BT 1",56,8
"2","BT 2",64,NA
"3","BT 3",32,16
"4","BT 4",24,8
"5","LT 1",32,NA
"6","LT 2",53.3333333333333,21.3333333333333
"7","LT 4",72,40
"8","NN 1",32,16
"9","NN 2",16,NA
"10","LC 1",16,NA
"11","LC 3",64,NA
"12","NLC 1",16,NA
"13","NLC 2",16,NA
"14","NLC 3",64,0
