"","Locality","mean","SE"
"1","BT",634.666666666667,95.1816975870653
"2","LT",634.666666666667,170.604155218382
"3","NN",396,80.6308460412846
"4","LC",405.818181818182,86.7353150454476
"5","GC",421.333333333333,140.622109846844
"6","NLC",341.333333333333,66.4529909033446
