"","Locality","mean","SE"
"1","BT",57.1,5.02724157911044
"2","LT",51.4347826086956,4.28381736921552
"3","NN",29.5384615384615,3.28089923691072
"4","LC",37.8235294117647,2.3383459990161
"5","GC",32.7058823529412,2.93654046391222
"6","NLC",43.8235294117647,4.53680641605385
"7",NA,NA,NA
