"","Locality","mean","SE","size"
"1","BT",41.1428571428571,7.69486090541873,"sack"
"2","LT",56,15.3188337241014,"sack"
"3","NN",26.6666666666667,10.6666666666667,"sack"
"4","LC",40,24,"sack"
"5","NLC",40,13.856406460551,"sack"
