"","dist_m","rank","station1","transect1","station2","transect2"
"214",190.953098,1,"BTI1",1,"BTI3",1
"151",196.2056557,2,"BTI1",1,"BTI2",2
"130",213.2491652,3,"BTI1",1,"BTI2",1
"317",248.705986,4,"BTI1",1,"BTI3",2
"424",270.5746686,5,"BTI1",1,"BTI4",1
"456",365.9931247,6,"BTI1",1,"BTI4",2
"663",407.9408134,7,"BTI1",1,"BTI6",1
"602",510.0446168,8,"BTI1",1,"BTI5",2
"530",521.7230815,9,"BTI1",1,"BTI5",1
"4912",1137.76708,10,"BTI1",1,"LTI5",1
"5059",1145.448942,11,"BTI1",1,"LTI6",1
"4997",1146.503243,12,"BTI1",1,"LTI5",2
"4627",1154.005815,13,"BTI1",1,"LTI1",1
"4840",1178.663236,14,"BTI1",1,"LTI4",1
"4706",1295.778149,15,"BTI1",1,"LTI2",1
"4769",1304.558464,16,"BTI1",1,"LTI3",1
"2139",2359.080426,17,"BTI1",1,"LCO15",5
"2097",2361.153296,18,"BTI1",1,"LCO15",4
"2406",2362.505731,19,"BTI1",1,"LCO15",8
"2029",2363.355298,20,"BTI1",1,"LCO15",3
"2321",2364.788791,21,"BTI1",1,"LCO15",7
"1927",2365.398914,22,"BTI1",1,"LCO15",2
"1889",2367.552248,23,"BTI1",1,"LCO15",1
"2228",2370.660657,24,"BTI1",1,"LCO15",6
"1797",2380.774101,25,"BTI1",1,"LCO14",3
"1771",2383.702751,26,"BTI1",1,"LCO14",2
"1669",2385.639315,27,"BTI1",1,"LCO14",1
"2442",2396.353518,28,"BTI1",1,"LCO16",1
"1572",2408.532084,29,"BTI1",1,"LCO12",5
"1500",2411.363408,30,"BTI1",1,"LCO12",4
"1427",2414.436268,31,"BTI1",1,"LCO12",3
"1375",2415.933273,32,"BTI1",1,"LCO12",2
"1282",2417.575126,33,"BTI1",1,"LCO12",1
"1209",2439.665471,34,"BTI1",1,"LCO11B",3
"1139",2441.064869,35,"BTI1",1,"LCO11B",2
"1100",2442.675476,36,"BTI1",1,"LCO11B",1
"1033",2549.744266,37,"BTI1",1,"LCO10A",5
"993",2551.533248,38,"BTI1",1,"LCO10A",4
"868",2552.593386,39,"BTI1",1,"LCO10A",3
"785",2554.748572,40,"BTI1",1,"LCO10A",2
"714",2555.695527,41,"BTI1",1,"LCO10A",1
"4613",2640.373056,42,"BTI1",1,"LCO9C",5
"4542",2641.445627,43,"BTI1",1,"LCO9C",4
"4457",2642.632528,44,"BTI1",1,"LCO9C",3
"4381",2643.990188,45,"BTI1",1,"LCO9C",2
"4311",2644.980041,46,"BTI1",1,"LCO9C",1
"4245",2685.206305,47,"BTI1",1,"LCO9B",5
"4171",2686.957722,48,"BTI1",1,"LCO9B",4
"4067",2688.535261,49,"BTI1",1,"LCO9B",3
"4024",2690.343063,50,"BTI1",1,"LCO9B",2
"3949",2692.042998,51,"BTI1",1,"LCO9B",1
"3871",2796.856646,52,"BTI1",1,"LCO8A",1
"2612",2823.8409,53,"BTI1",1,"LCO17",2
"2518",2826.780537,54,"BTI1",1,"LCO17",1
"3785",2992.829458,55,"BTI1",1,"LCO4",1
"3704",3047.752801,56,"BTI1",1,"LCO3",1
"2915",3073.576406,57,"BTI1",1,"LCO19",5
"2846",3074.982046,58,"BTI1",1,"LCO19",4
"2770",3076.53821,59,"BTI1",1,"LCO19",3
"2710",3078.148782,60,"BTI1",1,"LCO19",2
"2634",3079.953953,61,"BTI1",1,"LCO19",1
"3013",3087.949176,62,"BTI1",1,"LCO2",1
"3222",3504.315264,63,"BTI1",1,"LCO20",3
"3163",3505.708905,64,"BTI1",1,"LCO20",2
"3095",3507.440959,65,"BTI1",1,"LCO20",1
"3448",3764.587148,66,"BTI1",1,"LCO21",3
"3386",3767.350099,67,"BTI1",1,"LCO21",2
"3276",3768.443352,68,"BTI1",1,"LCO21",1
"3677",3863.279467,69,"BTI1",1,"LCO21",6
"3590",3864.239808,70,"BTI1",1,"LCO21",5
"3489",3867.731912,71,"BTI1",1,"LCO21",4
"183",32.56521581,1,"BTI2",1,"BTI2",2
"246",121.6101905,2,"BTI2",1,"BTI3",1
"345",183.2115309,3,"BTI2",1,"BTI3",2
"38",213.2491652,4,"BTI2",1,"BTI1",1
"426",394.3235479,5,"BTI2",1,"BTI4",1
"670",408.299212,6,"BTI2",1,"BTI6",1
"474",525.3043471,7,"BTI2",1,"BTI4",2
"583",529.675234,8,"BTI2",1,"BTI5",2
"509",533.1247314,9,"BTI2",1,"BTI5",1
"4911",1164.439143,10,"BTI2",1,"LTI5",1
"5016",1173.630516,11,"BTI2",1,"LTI5",2
"5108",1177.146471,12,"BTI2",1,"LTI6",1
"4885",1191.767692,13,"BTI2",1,"LTI4",1
"4661",1204.903615,14,"BTI2",1,"LTI1",1
"4817",1327.362486,15,"BTI2",1,"LTI3",1
"4755",1342.16275,16,"BTI2",1,"LTI2",1
"2185",2572.248411,17,"BTI2",1,"LCO15",5
"2083",2574.319158,18,"BTI2",1,"LCO15",4
"2380",2575.753752,19,"BTI2",1,"LCO15",8
"2018",2576.519156,20,"BTI2",1,"LCO15",3
"2328",2578.036806,21,"BTI2",1,"LCO15",7
"1983",2578.56432,22,"BTI2",1,"LCO15",2
"1890",2580.716179,23,"BTI2",1,"LCO15",1
"2244",2583.908699,24,"BTI2",1,"LCO15",6
"1803",2593.555055,25,"BTI2",1,"LCO14",3
"1708",2596.484651,26,"BTI2",1,"LCO14",2
"1658",2598.42248,27,"BTI2",1,"LCO14",1
"2449",2608.903123,28,"BTI2",1,"LCO16",1
"1629",2617.154398,29,"BTI2",1,"LCO12",5
"1539",2619.988416,30,"BTI2",1,"LCO12",4
"1449",2623.07239,31,"BTI2",1,"LCO12",3
"1403",2624.573939,32,"BTI2",1,"LCO12",2
"1328",2626.220011,33,"BTI2",1,"LCO12",1
"1241",2644.883679,34,"BTI2",1,"LCO11B",3
"1198",2646.285529,35,"BTI2",1,"LCO11B",2
"1091",2647.90171,36,"BTI2",1,"LCO11B",1
"1015",2741.358488,37,"BTI2",1,"LCO10A",5
"945",2743.225883,38,"BTI2",1,"LCO10A",4
"918",2744.326486,39,"BTI2",1,"LCO10A",3
"827",2746.549808,40,"BTI2",1,"LCO10A",2
"764",2747.544971,41,"BTI2",1,"LCO10A",1
"4596",2828.336229,42,"BTI2",1,"LCO9C",5
"4534",2829.446468,43,"BTI2",1,"LCO9C",4
"4465",2830.667298,44,"BTI2",1,"LCO9C",3
"4400",2832.056485,45,"BTI2",1,"LCO9C",2
"4330",2833.076184,46,"BTI2",1,"LCO9C",1
"4225",2869.337822,47,"BTI2",1,"LCO9B",5
"4127",2871.122008,48,"BTI2",1,"LCO9B",4
"4050",2872.737916,49,"BTI2",1,"LCO9B",3
"4005",2874.578565,50,"BTI2",1,"LCO9B",2
"3921",2876.318623,51,"BTI2",1,"LCO9B",1
"3881",2971.92881,52,"BTI2",1,"LCO8A",1
"2609",3031.718888,53,"BTI2",1,"LCO17",2
"2551",3034.699643,54,"BTI2",1,"LCO17",1
"3827",3162.012964,55,"BTI2",1,"LCO4",1
"3752",3211.508166,56,"BTI2",1,"LCO3",1
"3004",3247.760545,57,"BTI2",1,"LCO2",1
"2973",3273.777294,58,"BTI2",1,"LCO19",5
"2880",3275.213151,59,"BTI2",1,"LCO19",4
"2835",3276.802407,60,"BTI2",1,"LCO19",3
"2726",3278.435428,61,"BTI2",1,"LCO19",2
"2665",3280.26355,62,"BTI2",1,"LCO19",1
"3227",3695.180964,63,"BTI2",1,"LCO20",3
"3177",3696.616217,64,"BTI2",1,"LCO20",2
"3074",3698.379922,65,"BTI2",1,"LCO20",1
"3449",3949.052819,66,"BTI2",1,"LCO21",3
"3340",3951.907211,67,"BTI2",1,"LCO21",2
"3278",3953.038953,68,"BTI2",1,"LCO21",1
"3668",4045.366401,69,"BTI2",1,"LCO21",6
"3606",4046.362817,70,"BTI2",1,"LCO21",5
"3505",4049.989013,71,"BTI2",1,"LCO21",4
"78",32.56521581,1,"BTI2",2,"BTI2",1
"236",89.48224793,2,"BTI2",2,"BTI3",1
"311",153.6731966,3,"BTI2",2,"BTI3",2
"28",196.2056557,4,"BTI2",2,"BTI1",1
"408",362.8211203,5,"BTI2",2,"BTI4",1
"643",377.8892768,6,"BTI2",2,"BTI6",1
"464",495.1341672,7,"BTI2",2,"BTI4",2
"587",498.8826559,8,"BTI2",2,"BTI5",2
"501",502.7973657,9,"BTI2",2,"BTI5",1
"4937",1134.520123,10,"BTI2",2,"LTI5",1
"5039",1143.69255,11,"BTI2",2,"LTI5",2
"5111",1146.940246,12,"BTI2",2,"LTI6",1
"4894",1162.768498,13,"BTI2",2,"LTI4",1
"4686",1173.728323,14,"BTI2",2,"LTI1",1
"4819",1297.830355,15,"BTI2",2,"LTI3",1
"4756",1311.287501,16,"BTI2",2,"LTI2",1
"2190",2554.250899,17,"BTI2",2,"LCO15",5
"2071",2556.330908,18,"BTI2",2,"LCO15",4
"2351",2557.126744,19,"BTI2",2,"LCO15",8
"2053",2558.539529,20,"BTI2",2,"LCO15",3
"2287",2559.409889,21,"BTI2",2,"LCO15",7
"1933",2560.577877,22,"BTI2",2,"LCO15",2
"1870",2562.736058,23,"BTI2",2,"LCO15",1
"2220",2565.280484,24,"BTI2",2,"LCO15",6
"1777",2576.578075,25,"BTI2",2,"LCO14",3
"1707",2579.505801,26,"BTI2",2,"LCO14",2
"1638",2581.441181,27,"BTI2",2,"LCO14",1
"2433",2588.172023,28,"BTI2",2,"LCO16",1
"1624",2604.129417,29,"BTI2",2,"LCO12",5
"1512",2606.961784,30,"BTI2",2,"LCO12",4
"1462",2610.038639,31,"BTI2",2,"LCO12",3
"1371",2611.537283,32,"BTI2",2,"LCO12",2
"1314",2613.180666,33,"BTI2",2,"LCO12",1
"1266",2633.798671,34,"BTI2",2,"LCO11B",3
"1195",2635.199366,35,"BTI2",2,"LCO11B",2
"1110",2636.812817,36,"BTI2",2,"LCO11B",1
"1018",2735.706561,37,"BTI2",2,"LCO10A",5
"942",2737.54825,38,"BTI2",2,"LCO10A",4
"854",2738.635589,39,"BTI2",2,"LCO10A",3
"791",2740.836602,40,"BTI2",2,"LCO10A",2
"724",2741.815883,41,"BTI2",2,"LCO10A",1
"4598",2823.864652,42,"BTI2",2,"LCO9C",5
"4535",2824.963381,43,"BTI2",2,"LCO9C",4
"4461",2826.17387,44,"BTI2",2,"LCO9C",3
"4376",2827.553478,45,"BTI2",2,"LCO9C",2
"4313",2828.564061,46,"BTI2",2,"LCO9C",1
"4196",2866.023213,47,"BTI2",2,"LCO9B",5
"4119",2867.798118,48,"BTI2",2,"LCO9B",4
"4117",2869.403081,49,"BTI2",2,"LCO9B",3
"4023",2871.234424,50,"BTI2",2,"LCO9B",2
"3942",2872.963028,51,"BTI2",2,"LCO9B",1
"3876",2971.117929,52,"BTI2",2,"LCO8A",1
"2597",3007.675521,53,"BTI2",2,"LCO17",2
"2527",3010.674465,54,"BTI2",2,"LCO17",1
"3810",3162.715005,55,"BTI2",2,"LCO4",1
"3731",3213.508992,56,"BTI2",2,"LCO3",1
"2942",3247.201016,57,"BTI2",2,"LCO19",5
"2862",3248.644293,58,"BTI2",2,"LCO19",4
"2818",3250.241689,59,"BTI2",2,"LCO19",3
"2989",3250.666033,60,"BTI2",2,"LCO2",1
"2730",3251.880193,61,"BTI2",2,"LCO19",2
"2670",3253.713916,62,"BTI2",2,"LCO19",1
"3220",3666.703281,63,"BTI2",2,"LCO20",3
"3150",3668.145202,64,"BTI2",2,"LCO20",2
"3124",3669.913943,65,"BTI2",2,"LCO20",1
"3473",3919.636945,66,"BTI2",2,"LCO21",3
"3379",3922.5029,67,"BTI2",2,"LCO21",2
"3331",3923.639525,68,"BTI2",2,"LCO21",1
"3672",4015.653259,69,"BTI2",2,"LCO21",6
"3619",4016.653875,70,"BTI2",2,"LCO21",5
"3510",4020.295733,71,"BTI2",2,"LCO21",4
"291",72.35653901,1,"BTI3",1,"BTI3",2
"179",89.48224793,2,"BTI3",1,"BTI2",2
"135",121.6101905,3,"BTI3",1,"BTI2",1
"33",190.953098,4,"BTI3",1,"BTI1",1
"409",285.3591296,5,"BTI3",1,"BTI4",1
"673",290.4976525,6,"BTI3",1,"BTI6",1
"614",410.6298314,7,"BTI3",1,"BTI5",2
"550",415.3313044,8,"BTI3",1,"BTI5",1
"448",423.6924061,9,"BTI3",1,"BTI4",2
"4964",1047.377477,10,"BTI3",1,"LTI5",1
"5002",1056.515878,11,"BTI3",1,"LTI5",2
"5107",1059.328381,12,"BTI3",1,"LTI6",1
"4870",1077.249275,13,"BTI3",1,"LTI4",1
"4656",1084.786501,14,"BTI3",1,"LTI1",1
"4799",1211.303139,15,"BTI3",1,"LTI3",1
"4742",1222.691597,16,"BTI3",1,"LTI2",1
"2182",2521.694787,17,"BTI3",1,"LCO15",5
"2371",2522.609657,18,"BTI3",1,"LCO15",8
"2102",2523.802038,19,"BTI3",1,"LCO15",4
"2343",2524.891497,20,"BTI3",1,"LCO15",7
"2013",2526.035823,21,"BTI3",1,"LCO15",3
"1963",2528.051588,22,"BTI3",1,"LCO15",2
"1876",2530.227841,23,"BTI3",1,"LCO15",1
"2241",2530.753959,24,"BTI3",1,"LCO15",6
"2479",2546.98384,25,"BTI3",1,"LCO16",1
"1810",2547.153814,26,"BTI3",1,"LCO14",3
"1743",2550.073696,27,"BTI3",1,"LCO14",2
"1667",2552.000171,28,"BTI3",1,"LCO14",1
"1615",2586.582522,29,"BTI3",1,"LCO12",5
"1516",2589.407844,30,"BTI3",1,"LCO12",4
"1456",2592.461306,31,"BTI3",1,"LCO12",3
"1356",2593.950218,32,"BTI3",1,"LCO12",2
"1339",2595.584401,33,"BTI3",1,"LCO12",1
"1234",2621.91793,34,"BTI3",1,"LCO11B",3
"1141",2623.314193,35,"BTI3",1,"LCO11B",2
"1069",2624.918472,36,"BTI3",1,"LCO11B",1
"1001",2739.218958,37,"BTI3",1,"LCO10A",5
"951",2740.987618,38,"BTI3",1,"LCO10A",4
"857",2742.037173,39,"BTI3",1,"LCO10A",3
"829",2744.174361,40,"BTI3",1,"LCO10A",2
"747",2745.108618,41,"BTI3",1,"LCO10A",1
"4551",2830.592733,42,"BTI3",1,"LCO9C",5
"4475",2831.658895,43,"BTI3",1,"LCO9C",4
"4427",2832.839967,44,"BTI3",1,"LCO9C",3
"4379",2834.192154,45,"BTI3",1,"LCO9C",2
"4283",2835.176842,46,"BTI3",1,"LCO9C",1
"4233",2875.908637,47,"BTI3",1,"LCO9B",5
"4154",2877.656936,48,"BTI3",1,"LCO9B",4
"4081",2879.230833,49,"BTI3",1,"LCO9B",3
"4021",2881.035461,50,"BTI3",1,"LCO9B",2
"3917",2882.731529,51,"BTI3",1,"LCO9B",1
"2626",2955.444242,52,"BTI3",1,"LCO17",2
"2524",2958.502956,53,"BTI3",1,"LCO17",1
"3859",2987.741359,54,"BTI3",1,"LCO8A",1
"3807",3183.285665,55,"BTI3",1,"LCO4",1
"2919",3186.200423,56,"BTI3",1,"LCO19",5
"2857",3187.669476,57,"BTI3",1,"LCO19",4
"2806",3189.295135,58,"BTI3",1,"LCO19",3
"2720",3190.95253,59,"BTI3",1,"LCO19",2
"2660",3192.805502,60,"BTI3",1,"LCO19",1
"3734",3237.500287,61,"BTI3",1,"LCO3",1
"3052",3277.021239,62,"BTI3",1,"LCO2",1
"3198",3598.730333,63,"BTI3",1,"LCO20",3
"3138",3600.196908,64,"BTI3",1,"LCO20",2
"3101",3601.984151,65,"BTI3",1,"LCO20",1
"3466",3848.055568,66,"BTI3",1,"LCO21",3
"3385",3850.966183,67,"BTI3",1,"LCO21",2
"3283",3852.121665,68,"BTI3",1,"LCO21",1
"3660",3942.894138,69,"BTI3",1,"LCO21",6
"3573",3943.911271,70,"BTI3",1,"LCO21",5
"3485",3947.614693,71,"BTI3",1,"LCO21",4
"243",72.35653901,1,"BTI3",2,"BTI3",1
"206",153.6731966,2,"BTI3",2,"BTI2",2
"125",183.2115309,3,"BTI3",2,"BTI2",1
"662",225.4117459,4,"BTI3",2,"BTI6",1
"64",248.705986,5,"BTI3",2,"BTI1",1
"365",270.6465485,6,"BTI3",2,"BTI4",1
"592",347.2332508,7,"BTI3",2,"BTI5",2
"529",350.07358,8,"BTI3",2,"BTI5",1
"441",413.8451757,9,"BTI3",2,"BTI4",2
"4921",981.2301801,10,"BTI3",2,"LTI5",1
"4989",990.4202746,11,"BTI3",2,"LTI5",2
"5051",993.9690626,12,"BTI3",2,"LTI6",1
"4829",1009.095491,13,"BTI3",2,"LTI4",1
"4624",1022.908902,14,"BTI3",2,"LTI1",1
"4763",1144.276149,15,"BTI3",2,"LTI3",1
"4699",1159.560357,16,"BTI3",2,"LTI2",1
"2388",2542.31563,17,"BTI3",2,"LCO15",8
"2137",2543.04583,18,"BTI3",2,"LCO15",5
"2283",2544.594487,19,"BTI3",2,"LCO15",7
"2063",2545.173997,20,"BTI3",2,"LCO15",4
"2020",2547.426865,21,"BTI3",2,"LCO15",3
"1950",2549.422215,22,"BTI3",2,"LCO15",2
"2266",2550.445254,23,"BTI3",2,"LCO15",6
"1877",2551.611711,24,"BTI3",2,"LCO15",1
"2452",2560.854225,25,"BTI3",2,"LCO16",1
"1813",2571.052747,26,"BTI3",2,"LCO14",3
"1745",2573.963958,27,"BTI3",2,"LCO14",2
"1700",2575.881698,28,"BTI3",2,"LCO14",1
"1633",2619.592137,29,"BTI3",2,"LCO12",5
"1556",2622.410262,30,"BTI3",2,"LCO12",4
"1470",2625.444398,31,"BTI3",2,"LCO12",3
"1400",2626.925115,32,"BTI3",2,"LCO12",2
"1337",2628.551387,33,"BTI3",2,"LCO12",1
"1223",2658.951509,34,"BTI3",2,"LCO11B",3
"1162",2660.343739,35,"BTI3",2,"LCO11B",2
"1134",2661.940538,36,"BTI3",2,"LCO11B",1
"1065",2786.237607,37,"BTI3",2,"LCO10A",5
"959",2787.960812,38,"BTI3",2,"LCO10A",4
"913",2788.986766,39,"BTI3",2,"LCO10A",3
"849",2791.083879,40,"BTI3",2,"LCO10A",2
"772",2791.990152,41,"BTI3",2,"LCO10A",1
"4603",2879.497791,42,"BTI3",2,"LCO9C",5
"4531",2880.544173,43,"BTI3",2,"LCO9C",4
"4444",2881.707272,44,"BTI3",2,"LCO9C",3
"4401",2883.042581,45,"BTI3",2,"LCO9C",2
"4295",2884.011466,46,"BTI3",2,"LCO9C",1
"4211",2926.634123,47,"BTI3",2,"LCO9B",5
"4136",2928.366385,48,"BTI3",2,"LCO9B",4
"4106",2929.921755,49,"BTI3",2,"LCO9B",3
"4014",2931.71025,50,"BTI3",2,"LCO9B",2
"3915",2933.386881,51,"BTI3",2,"LCO9B",1
"2569",2958.550354,52,"BTI3",2,"LCO17",2
"2508",2961.667184,53,"BTI3",2,"LCO17",1
"3841",3042.163378,54,"BTI3",2,"LCO8A",1
"2971",3179.928568,55,"BTI3",2,"LCO19",5
"2897",3181.42558,56,"BTI3",2,"LCO19",4
"2817",3183.08188,57,"BTI3",2,"LCO19",3
"2759",3184.75947,58,"BTI3",2,"LCO19",2
"2647",3186.632935,59,"BTI3",2,"LCO19",1
"3767",3239.716427,60,"BTI3",2,"LCO4",1
"3751",3295.638926,61,"BTI3",2,"LCO3",1
"2992",3336.299278,62,"BTI3",2,"LCO2",1
"3214",3584.137577,63,"BTI3",2,"LCO20",3
"3136",3585.633996,64,"BTI3",2,"LCO20",2
"3075",3587.443384,65,"BTI3",2,"LCO20",1
"3436",3828.795304,66,"BTI3",2,"LCO21",3
"3343",3831.76374,67,"BTI3",2,"LCO21",2
"3275",3832.943641,68,"BTI3",2,"LCO21",1
"3622",3922.041062,69,"BTI3",2,"LCO21",6
"3565",3923.080146,70,"BTI3",2,"LCO21",5
"3481",3926.865342,71,"BTI3",2,"LCO21",4
"468",143.4417631,1,"BTI4",1,"BTI4",2
"703",236.3488019,2,"BTI4",1,"BTI6",1
"53",270.5746686,3,"BTI4",1,"BTI1",1
"353",270.6465485,4,"BTI4",1,"BTI3",2
"274",285.3591296,5,"BTI4",1,"BTI3",1
"610",289.2155543,6,"BTI4",1,"BTI5",2
"518",307.2393022,7,"BTI4",1,"BTI5",1
"147",362.8211203,8,"BTI4",1,"BTI2",2
"91",394.3235479,9,"BTI4",1,"BTI2",1
"4925",882.0688311,10,"BTI4",1,"LTI5",1
"5098",887.3345823,11,"BTI4",1,"LTI6",1
"4643",888.6597682,12,"BTI4",1,"LTI1",1
"5007",890.483157,13,"BTI4",1,"LTI5",2
"4866",929.5244454,14,"BTI4",1,"LTI4",1
"4725",1031.024662,15,"BTI4",1,"LTI2",1
"4792",1048.968061,16,"BTI4",1,"LTI3",1
"2395",2291.514995,17,"BTI4",1,"LCO15",8
"2325",2293.785938,18,"BTI4",1,"LCO15",7
"2161",2294.850523,19,"BTI4",1,"LCO15",5
"2080",2297.009505,20,"BTI4",1,"LCO15",4
"2023",2299.290011,21,"BTI4",1,"LCO15",3
"2256",2299.610249,22,"BTI4",1,"LCO15",6
"1967",2301.24873,23,"BTI4",1,"LCO15",2
"2430",2302.133006,24,"BTI4",1,"LCO16",1
"1879",2303.456405,25,"BTI4",1,"LCO15",1
"1782",2327.183432,26,"BTI4",1,"LCO14",3
"1750",2330.073853,27,"BTI4",1,"LCO14",2
"1675",2331.972479,28,"BTI4",1,"LCO14",1
"1613",2394.812189,29,"BTI4",1,"LCO12",5
"1550",2397.605619,30,"BTI4",1,"LCO12",4
"1448",2400.585069,31,"BTI4",1,"LCO12",3
"1420",2402.042118,32,"BTI4",1,"LCO12",2
"1288",2403.645057,33,"BTI4",1,"LCO12",1
"1277",2444.479504,34,"BTI4",1,"LCO11B",3
"1191",2445.85667,35,"BTI4",1,"LCO11B",2
"1085",2447.42836,36,"BTI4",1,"LCO11B",1
"1060",2603.372771,37,"BTI4",1,"LCO10A",5
"971",2604.921065,38,"BTI4",1,"LCO10A",4
"901",2605.855854,39,"BTI4",1,"LCO10A",3
"822",2607.7971,40,"BTI4",1,"LCO10A",2
"739",2608.59659,41,"BTI4",1,"LCO10A",1
"2585",2690.432574,42,"BTI4",1,"LCO17",2
"2529",2693.579832,43,"BTI4",1,"LCO17",1
"4607",2703.535618,44,"BTI4",1,"LCO9C",5
"4523",2704.500472,45,"BTI4",1,"LCO9C",4
"4468",2705.588815,46,"BTI4",1,"LCO9C",3
"4397",2706.853149,47,"BTI4",1,"LCO9C",2
"4294",2707.756564,48,"BTI4",1,"LCO9C",1
"4241",2757.905802,49,"BTI4",1,"LCO9B",5
"4173",2759.565018,50,"BTI4",1,"LCO9B",4
"4116",2761.037585,51,"BTI4",1,"LCO9B",3
"4040",2762.752545,52,"BTI4",1,"LCO9B",2
"3960",2764.342278,53,"BTI4",1,"LCO9B",1
"3879",2889.534637,54,"BTI4",1,"LCO8A",1
"2958",2909.282025,55,"BTI4",1,"LCO19",5
"2864",2910.779036,56,"BTI4",1,"LCO19",4
"2833",2912.435385,57,"BTI4",1,"LCO19",3
"2725",2914.113035,58,"BTI4",1,"LCO19",2
"2689",2915.986583,59,"BTI4",1,"LCO19",1
"3792",3096.371561,60,"BTI4",1,"LCO4",1
"3748",3161.206654,61,"BTI4",1,"LCO3",1
"2996",3208.185297,62,"BTI4",1,"LCO2",1
"3200",3315.523977,63,"BTI4",1,"LCO20",3
"3153",3317.005968,64,"BTI4",1,"LCO20",2
"3063",3318.804719,65,"BTI4",1,"LCO20",1
"3452",3563.118994,66,"BTI4",1,"LCO21",3
"3390",3566.04314,67,"BTI4",1,"LCO21",2
"3273",3567.204397,68,"BTI4",1,"LCO21",1
"3640",3657.670995,69,"BTI4",1,"LCO21",6
"3579",3658.691051,70,"BTI4",1,"LCO21",5
"3480",3662.405632,71,"BTI4",1,"LCO21",4
"389",143.4417631,1,"BTI4",2,"BTI4",1
"653",348.8353487,2,"BTI4",2,"BTI6",1
"605",359.4868581,3,"BTI4",2,"BTI5",2
"56",365.9931247,4,"BTI4",2,"BTI1",1
"512",380.6763364,5,"BTI4",2,"BTI5",1
"301",413.8451757,6,"BTI4",2,"BTI3",2
"242",423.6924061,7,"BTI4",2,"BTI3",1
"145",495.1341672,8,"BTI4",2,"BTI2",2
"137",525.3043471,9,"BTI4",2,"BTI2",1
"4635",854.5848109,10,"BTI4",2,"LTI1",1
"4947",870.2738156,11,"BTI4",2,"LTI5",1
"5086",870.7896149,12,"BTI4",2,"LTI6",1
"5013",877.9215771,13,"BTI4",2,"LTI5",2
"4867",927.7433222,14,"BTI4",2,"LTI4",1
"4751",996.6002377,15,"BTI4",2,"LTI2",1
"4796",1034.484449,16,"BTI4",2,"LTI3",1
"2385",2156.559507,17,"BTI4",2,"LCO15",8
"2329",2158.824756,18,"BTI4",2,"LCO15",7
"2192",2161.252552,19,"BTI4",2,"LCO15",5
"2457",2163.171051,20,"BTI4",2,"LCO16",1
"2127",2163.425985,21,"BTI4",2,"LCO15",4
"2209",2164.631294,22,"BTI4",2,"LCO15",6
"2033",2165.719179,23,"BTI4",2,"LCO15",3
"1958",2167.657113,24,"BTI4",2,"LCO15",2
"1883",2169.872574,25,"BTI4",2,"LCO15",1
"1818",2195.843799,26,"BTI4",2,"LCO14",3
"1729",2198.720462,27,"BTI4",2,"LCO14",2
"1644",2200.607156,28,"BTI4",2,"LCO14",1
"1596",2273.720486,29,"BTI4",2,"LCO12",5
"1540",2276.49611,30,"BTI4",2,"LCO12",4
"1440",2279.441068,31,"BTI4",2,"LCO12",3
"1383",2280.882941,32,"BTI4",2,"LCO12",2
"1321",2282.470673,33,"BTI4",2,"LCO12",1
"1231",2328.967692,34,"BTI4",2,"LCO11B",3
"1148",2330.334101,35,"BTI4",2,"LCO11B",2
"1099",2331.889159,36,"BTI4",2,"LCO11B",1
"1008",2504.973082,37,"BTI4",2,"LCO10A",5
"955",2506.421207,38,"BTI4",2,"LCO10A",4
"878",2507.303495,39,"BTI4",2,"LCO10A",3
"804",2509.154193,40,"BTI4",2,"LCO10A",2
"741",2509.892896,41,"BTI4",2,"LCO10A",1
"2582",2547.377698,42,"BTI4",2,"LCO17",2
"2498",2550.534227,43,"BTI4",2,"LCO17",1
"4557",2608.705758,44,"BTI4",2,"LCO9C",5
"4509",2609.623531,45,"BTI4",2,"LCO9C",4
"4458",2610.668238,46,"BTI4",2,"LCO9C",3
"4385",2611.890614,47,"BTI4",2,"LCO9C",2
"4320",2612.755938,48,"BTI4",2,"LCO9C",1
"4198",2666.925161,49,"BTI4",2,"LCO9B",5
"4168",2668.540346,50,"BTI4",2,"LCO9B",4
"4086",2669.963973,51,"BTI4",2,"LCO9B",3
"4003",2671.634521,52,"BTI4",2,"LCO9B",2
"3957",2673.172808,53,"BTI4",2,"LCO9B",1
"2979",2766.2338,54,"BTI4",2,"LCO19",5
"2902",2767.726255,55,"BTI4",2,"LCO19",4
"2822",2769.377644,56,"BTI4",2,"LCO19",3
"2754",2771.052064,57,"BTI4",2,"LCO19",2
"2673",2772.922353,58,"BTI4",2,"LCO19",1
"3884",2807.064141,59,"BTI4",2,"LCO8A",1
"3799",3018.487828,60,"BTI4",2,"LCO4",1
"3750",3088.022025,61,"BTI4",2,"LCO3",1
"3043",3138.323768,62,"BTI4",2,"LCO2",1
"3225",3175.056453,63,"BTI4",2,"LCO20",3
"3151",3176.52486,64,"BTI4",2,"LCO20",2
"3099",3178.313526,65,"BTI4",2,"LCO20",1
"3444",3425.130791,66,"BTI4",2,"LCO21",3
"3355",3428.018973,67,"BTI4",2,"LCO21",2
"3291",3429.165089,68,"BTI4",2,"LCO21",1
"3657",3520.698172,69,"BTI4",2,"LCO21",6
"3600",3521.7033,70,"BTI4",2,"LCO21",5
"3498",3525.362451,71,"BTI4",2,"LCO21",4
